Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"1. In LISP, the function returns the list that results after the first element is removed (the rest f the list), is",a) car,b) last,c) cons,d) cdr,d,Explanation: None. 
Question 2,2. Output segments of Artificial Intelligence programming contain(s),a) Printed language and synthesized speech,b) Manipulation of physical object,c) Locomotion,d) All of the mentioned,d,Explanation: None. 
Question 3,3. LISP was created by:,a) John McCarthy,b) Marvin Minsky,c) Alan Turing,d) Allen Newell and Herbert Simon,a,Explanation: None. 
Question 4,4. Expert Ease was developed under the direction of:,a) John McCarthy,b) Donald Michie,c) Lofti Zadeh,d) Alan Turing,b,Explanation: None. 
Question 5,5. An Artificial Intelligence system developed by Terry A. Winograd to permit an interactive dialogue about a domain he called blocks-world.,a) SHRDLU,b) SIMD,c) BACON,d) STUDENT,a,Explanation: None. 
Question 6,"6. MLMenu, a natural language interface for the TI Explorer, is similar to:",a) Ethernet,b) NaturalLink,c) PROLOG,d) The Personal Consultant,b,Explanation: None. 
Question 7,7. Strong Artificial Intelligence is,a) the embodiment of human intellectual capabilities within a computer,b) a set of computer programs that produce output that would be considered to reflect intelligence if it were generated by humans,c) the study of mental faculties through the use of mental models implemented on a computer,d) all of the mentioned,a,Explanation: None. 
Question 8,8. The traditional way to exit and LISP system is to enter,a) quit,b) exit,c) bye,d) ok,b,Explanation: None. 
Question 9,9. In which of the following situations might a blind search be acceptable?,a) real-life situation,b) complex game,c) small search space,d) all of the mentioned,c,Explanation: None. 
Question 10,10. What is Artificial intelligence?,a) Putting your intelligence into Computer,b) Programming with your own intelligence,c) Making a Machine intelligent,d) Playing a Game,c,Explanation: Because AI is to make things work automatically through machine without using human effort. Machine will give the result with just giving input from human. That means the system or machine will act as per the requirement. 
Question 11,11. Which search method takes less memory?,a) Depth-First Search,b) Breadth-First search,c) Optimal search,d) Linear Search,a,"Explanation: Depth-First Search takes less memory since only the nodes on the current path are stored, but in Breadth First Search, all of the tree that has generated must be stored. "
Question 12,12. A heuristic is a way of trying,a) To discover something or an idea embedded in a program,b) To search and measure how far a node in a search tree seems to be from a goal,c) To compare two nodes in a search tree to see if one is better than the other is,d) All of the mentioned,d,"Explanation: In a heuristic approach, we discover certain idea and use heuristic functions to search for a goal and predicates to compare nodes. "
Question 13,13. How do you represent “All dogs have tails”?,a) _x: dog(x) àhastail(x),b) _x: dog(x) àhastail(y),c) _x: dog(y) àhastail(x),d) _x: dog(x) àhasàtail(x),a,"Explanation: We represent the statement in mathematical logic taking ‘x ‘as Dog and which has tail. We cannot represent two variable x, y for the same object Dog that has tail. The symbol “_ “represent all. "
Question 14,14. Which is not a property of representation of knowledge?,a) Representational Verification,b) Representational Adequacy,c) Inferential Adequacy,d) Inferential Efficiency,a,Explanation: There is nothing to go for Representational verification; the verification comes under Representational adequacy. 
Question 15,"1. A series of Artificial Intelligence systems, developed by Pat Langley to explore the role of heuristics in scientific discovery is ________",a) RAMD,b) BACON,c) MIT,d) DU,b,Explanation: None. 
Question 16,"2. A.M. turing developed a technique for determining whether a computer could or could not demonstrate the artificial Intelligence, Presently, this technique is called",a) Turing Test,b) Algorithm,c) Boolean Algebra,d) Logarithm,a,Explanation: None. 
Question 17,3. A Personal Consultant knowledge base contain information in the form of:,a) parameters,b) contexts,c) production rules,d) all of the mentioned,d,Explanation: None. 
Question 18,4. Which approach to speech recognition avoids the problem caused by the variation in speech patterns among different speakers?,a) Continuous speech recognition,b) Isolated word recognition,c) Connected word recognition,d) Speaker-dependent recognition,d,Explanation: None. 
Question 19,"5. Which of the following, is a component of an expert system?",a) inference engine,b) knowledge base,c) user interface,d) all of the mentioned,d,Explanation: None. 
Question 20,6. A computer vision technique that relies on image templates is:,a) edge detection,b) binocular vision,c) model-based vision,d) robot vision,c,Explanation: None. 
Question 21,"7. DARPA, the agency that has funded a great deal of American Artificial Intelligence research, is part of the Department of:",a) Defense,b) Energy,c) Education,d) Justice,a,Explanation: None. 
Question 22,8. Which of these schools was not among the early leaders in Artificial Intelligence research?,a) Dartmouth University,b) Harvard University,c) Massachusetts Institute of Technology,d) Stanford University,b,Explanation: None. 
Question 23,9. A certain Professor at the Stanford University coined the word ‘artificial intelligence’ in 1956 at a conference held at Dartmouth college. Can you name the Professor?,a) David Levy,b) John McCarthy,c) Joseph Weizenbaum,d) Hans Berliner,b,Explanation: None. 
Question 24,"10. In LISP, the function (copy-list <list>)",a) returns a new list that is equal to <list> by copying the top-level element of <list>,b) returns the length of <list>,c) returns t if <list> is empty,d) all of the mentioned,a,Explanation: None. 
Question 25,11. Who is the “father” of artificial intelligence?,a) Fisher Ada,b) John McCarthy,c) Allen Newell,d) Alan Turning,a,Explanation: None. 
Question 26,"12. In 1985, the famous chess player David Levy beat a world champion chess program in four straight games by using orthodox moves that confused the program. What was the name of the chess program?",a) Kaissa,b) CRAY BLITZ,c) Golf,d) DIGDUG,b,Explanation: None. 
Question 27,13. The explanation facility of an expert system may be used to:,a) construct a diagnostic model,b) expedite the debugging process,c) explain the system’s reasoning process,d) expedite the debugging process & explain the system’s reasoning process,d,Explanation: None. 
Question 28,"14. A process that is repeated, evaluated, and refined is called:",a) diagnostic,b) descriptive,c) interpretive,d) iterative,d,Explanation: None. 
Question 29,15. Visual clues that are helpful in computer vision include:,a) color and motion,b) depth and texture,c) height and weight,"d) color and motion, depth and texture",d,Explanation: None. 
Question 30,1. The conference that launched the AI revolution in 1956 was held at:,a) Dartmouth,b) Harvard,c) New York,d) Stanford,a,Explanation: None. 
Question 31,2. Texas Instruments Incorporated produces a low-cost LISP machine called:,a) The Computer-Based Consultant,b) The Explorer,c) Smalltalk,d) The Personal Consultant,b,Explanation: None. 
