Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of the following would be more appropriate to be replaced with question mark in the following figure ?,,a) Data Analysis,b) Data Science,c) Descriptive Analytics,b,Explanation: Data Science is a multidisciplinary which involves extraction of knowledge from large volumes of data that are structured or unstructured.
Question 2,2. Point out the correct statement:,a) Raw data is original source of data,b) Preprocessed data is original source of data,c) Raw data is the data obtained after processing steps,d) None of the Mentioned,a,Explanation: Accounting programs are the prototypical examples of data processing applications.
Question 3,3. Which of the following is performed by Data Scientist ?,a) Define the question,b) Create reproducible code,c) Challenge results,d) All of the Mentioned,d,"Explanation: A data scientist is a job title for an employee or business intelligence (BI) consultant who excels at analyzing data, particularly large amounts of data."
Question 4,4. Which of the following is most important language for Data Science ?,a) Java,b) Ruby,c) R,d) None of the Mentioned,c,Explanation: R is free software for statistical computing and analysis.
Question 5,5. Point out the wrong statement:,a) Merging concerns combining datasets on the same observations to produce a result with more variables,b) Data visualization is the organization of information according to preset specifications,c) Subsetting can be used to select and exclude variables and observations,d) All of the Mentioned,b,Explanation: Data formatting is the organization of information according to preset specifications.
Question 6,6. Which of the following approach should be used to ask Data Analysis question ?,a) Find only one solution for particular problem,b) Find out the question which is to be answered,c) Find out answer from dataset without asking question,d) None of the mentioned,b,Explanation: Data analysis has multiple facets and approaches.
Question 7,7. Which of the following is one of the key data science skill ?,a) Statistics,b) Machine Learning,c) Data Visualization,d) All of the Mentioned,d,Explanation: Data visualization is the presentation of data in a pictorial or graphical format.
Question 8,8. Which of the following is key characteristic of hacker ?,a) Afraid to say they don’t know the answer,b) Willing to find answers on their own,c) Not Willing to find answers on their own,d) All of the mentioned,b,Explanation: Hacker is an expert at programming and solving problems with a computer.
Question 9,9. Which of the following is characteristic of Processed Data ?,a) Data is not ready for analysis,b) All steps should be noted,c) Hard to use for data analysis,d) None of the mentioned,b,"Explanation: Processing include merging,summarizing and subsetting data."
Question 10,10. Raw data should be processed only one time.,TRUE,FALSE,none,none,b,Explanation: Raw data may only need to be processed once.
Question 11,1. Which of the following principle is incorrectly represented in the below figure ?,,a) Show Comparisons,b) Integrate Evidence,c) Describe Evidence,d,Explanation: Principles of Analytical graphs are sequentially shown in the stepwise manner.
Question 12,2. Point out the correct statement :,a) Least square is an estimation tool,b) Least square problems falls in to three categories,c) Compound least square is one of the category of least square,d) None of the Mentioned,a,Explanation: The Method of Least Squares is a procedure to determine the best fit line to data.
Question 13,3. How many principles of analytical graphs exist ?,a) 3,b) 4,c) 6,d) None of the Mentioned,c,Explanation: six Principles of Analytical Graphs is useful for data analysis.
