Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Number of elements in the Open IoT Architecture?,a) 6 elements,b) 8 elements,c) 7 elements,d) 3 elements,c,"Explanation: The 7 main elements are : sensor middleware (X-GSN), cloud data storage, scheduler, service delivery and utility manager, request definition, request presentation, configuration and monitoring."
Question 2,2. Global Sensor Network is built for _________,a) Reducing cost and time for development,b) Reducing cost and increasing time for development,c) Increasing cost and increasing time for development,d) Increasing cost and decreasing time for development,a,Explanation: GSN is developed on the observation that most of the requirements for the application development sensor network are same. Having each sensor network development using its own custom software not only increases the cost but also takes time for development and deployment. 
Question 4,"4. The huge number of devices connected to the Internet of Things has to communicate automatically, not via humans. What is this called?",a) Skynet,b) Bot 2 Bot,c) Machine 2 Machine,d) Intercloud,c,"Explanation: Devices are connected to other devices like phones e.t.c., which is called machine to machine."
Question 5,5. Internet of Things needs a lot of network connection. What is the proposed ñwhite Spaceî radio standard called?,a) Bluetooth,b) WiMax,c) Weightless,d) Zigbee,c,Explanation: White space is nothing but gaps that sit in the frequency band used to broad cast digital TV. The development of so called îWhiteless standardî for use of TV white space for IOT/M2M purpose.The main intention is to reduce the cost and power utilization.
Question 6,6. What is the sensor/protocol used in GSN?,a) HTTP protocol,b) CoAP protocol,c) MQTT protocol,d) XMPP protocol,b,Explanation: Constrained Application Protocol is a specialized web transfer protocol which is required for GSN in transferring data stream.
Question 7,7. Which is the core wrapper of GSN?,a) Serial,b) UDP,c) GPSTest,d) ZeroMQWrapper,d,Explanation: Wrappers are classified as core and wrappers in GSN. The ZeroMQWrapper is a core wrapper which allows for publishing stream elements that are produced by a Virtual Sensor.
Question 9,"9. Open IoT manages the registration, data acquisition, deployment of sensors and interconnected of objects, through which network?",a) GSN,b) X-GSN,c) LSM,d) HTTP,b,"Explanation: The core fundamental concept in X-GSN is the virtual sensor, which can represent not only physical devices, but in general any abstract or concrete entity that observes features of any kind."
Question 10,10. Which environment does Global Sensor Network works on?,a) C++,b) JAVA,c) HTML,d) C,b,Explanation: GSN is a JAVA environment that runs in one or more computers.
Question 11,11. ___________ is a community that is working together to establish an IoT architecture.,a) Eclipse IoT,b) Red Hat,c) Inter Cloud,d) Bot 2 Bot,a,Explanation: Eclipse IoT is a community that is working together to establish an IoT architecture based on open source technologies and standards.
Question 12,12. _________ provides a middleware and application container for IoT gateway.,a) Eclipse Kura,b) Red Hat,c) Inter Cloud,d) Bot 2 Bot,a,"Explanation: Eclipse Kura provides a general purpose middleware and application container for IoT gateway services and includes everything for the edge, such as an application container or runtime environment."
Question 13,13. _________ is a modular and cloud based platform.,a) Eclipse Kura,b) Red Hat,c) Inter Cloud,d) Eclipse Kapua,d,"Explanation: Eclipse Kapua is a module and cloud based platform that providesServices required for real time data management and analytics."
Question 15,15. _________ an open source stacks for gateways and the edge.,a) Eclipse Kapua,b) Red Hat,c) Inter Cloud,d) Eclipse Kura,d,"Explanation: Eclipse Kura, an open source stack for gateways and edge, and Eclipse Kapua, the first open source IoT cloud platform."
Question 16,1. What happens when service providers change their operating system and communication protocols?,a) Inoperability and complexity arises,b) Only complexity arises,c) Only Inoperability arises,d) Nothing arises,a,"Explanation: Complexity arises when service providers change their operating system and communication protocols, which results in inoperability. Service providers use standard protocols and conventional interfaces to facilitate information among diverse services."
Question 17,"2. In SOA, Service is termed as __________",a) Software service,b) Network service,c) Business service,d) Developer service,c,Explanation: Services are termed as business services. They are self-contained and logical.
Question 18,"3. Are SOA components loosely coupled.a) Trueb) FalseView Answer",,,,,a,Explanation: They are loosely coupled. That means every service is self-contained and exists alone logically.
Question 19,4. The SOA architecture is divided into how many layers?,a) 5 layers,b) 2 layers,c) 7 layers,"d) no layers ie., only one layer",b,"Explanation: The first which has direct relevance to the business as it carries out business functions. The second layer is the technical layer which talks about managing computer resources like database, web server etc. "
Question 20,5. Which layer in SOA delivers messages between applications?,a) ESB(Enterprise Service Bus),b) Service Broker,c) SOA registry,d) SOA supervisor,a,Explanation: ESB is a group of components/ software which helps us to send and receive messages between the disparate applications. It is usually shown as a huge plump pipe in the architecture.
Question 21,6. Which block is the central reference of meta-data for services?,a) ESB(Enterprise Service Bus),b) Service Broker,c) SOA registry,d) SOA supervisor,c,"Explanation: SOA registry is like reference database of services. It describes what each service does, where they are located, and how they can communicate."
Question 22,7. Which block ties work flow and SOA registry?,a) ESB(Enterprise Service Bus),b) Service Broker,c) Accounting package,d) SOA supervisor,b,Explanation: Service broker reads the work flow and takes services from the SOA registry and ties them together. Service brokers are normally middleware like EAI(Enterprise Application Integration) products.
Question 23,8. Which blocks deals with performance issues?,a) ESB(Enterprise Service Bus),b) Service Broker,c) SOA registry,d) SOA supervisor,d,Explanation: SOA supervisor is a traffic cop ensuring do not having issues. It deals with performance issues of the system so that appropriate service levels are met. If any of the services have performance problems it sends messages to the proper infrastructure to fix the issue.
Question 24,9. What are the three terminologies on which SOA service stands__________,"a)	Contract, Address and Building","b)	Contract, Address and Service","c)	Service, Contract and Building","d)	Service, Building and Address",a,"Explanation: Contract-It describes parameters and return values for a method.           Address-It is a URL which points to the location of the service.           Building-It determines how the communication is done."
Question 25,10. Which standard is preferable to achieve SOA?,a) Software service,b) Business service,c) Network service,d) Web service,d,"Explanation: In SOA we need services to be loosely coupled. A web service communicates using the SOAP protocol which is XML based, Which is very loosely coupled."
Question 26,11. SOA stands for _____________,a) Solution Oriented Architecture,b) Sector Oriented Architecture,c) Service Oriented Architecture,d) Source Oriented Architecture,c,"Explanation: Service Oriented Architecture (SOA) approach traditionally used to couple functionality of heavyweight corporate IT systems, are becoming application to embedded real world devices."
Question 27,"12. ________ is used to describe a perceived, quickly growing set of web based applications.",a) Web 4.0,b) Web 3.5,c) Web 2.0,d) Web 4.5,c,"Explanation: Web 2.0 to describe a perceived, quickly growing set of web based applications. A topic that has experienced extensive coverage involves the relationship between Web 2.0 and service oriented architectures."
Question 28,13. ________ is the philosophy of encapsulating application logic in services.,a) API,b) SOA,c) Both SOA and API,d) Neither SOA and API,b,Explanation: SOA is the philosophy of encapsulating application logic in services with a uniformly defined interface and making these publicly available via discovery mechanisms.
Question 29,14. ________ are a modern interpretation of service oriented architectures used to build distributed software systems.,a) SOA,b) API,c) Microservices,d) Web 2.0,c,Explanation: Microservices are a modern interpretation of service oriented architectures used to build distributed software systems. Services in the microservice architecture are processes.
Question 30,15. Services in a microservice architecture are ƒƒƒ. that communicates with each other over the network.,a) Microservices,b) SOA,c) API,d) Processes,d,Explanation: Services in the microservice architecture are processes that communicate with each other over the network in order to fulfill a goal. These services use technology agnostic protocols.
