Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which one is in a state of failure?,a) Solid,b) Liquid,c) Gas,d) Fluid,d,"Explanation: A fluid is a Tresca material with zero cohesion. In simple words, fluid is in a state of failure."
Question 2,"2. A small shear force is applied on an element and then removed. If the element regains itÕs original position, what kind of an element can it be?",a) Solid,b) Liquid,c) Fluid,d) Gaseous,a,"Explanation: Fluids (liquids and gases) cannot resist even a small shear force and gets permanently deformed. Hence, the element must be a solid element."
Question 3,"3. In which type of matter, one wonÕt find a free surface?",a) Solid,b) Liquid,c) Gas,d) Fluid,c,"Explanation: Solid molecules have a definite shape due to large inter-molecular forces. In liquids, molecules are free to move inside the whole mass but rarely escape from itself. Thus, liquids can form free surfaces under the effect of gravity. But, in case of gases, molecules tend to escape due to low forces of attraction. Thus, gases wonÕt form any free surface."
Question 4,"4. If a person studies about a fluid which is at rest, what will you call his domain of study?",a) Fluid Mechanics,b) Fluid Statics,c) Fluid Kinematics,d) Fluid Dynamics,b,"Explanation: Fluid Mechanics deals with the study of fluid at rest or in motion with or without the consideration of forces, Fluid Statics is the study of fluid at rest, Fluid Kinematics is the study of fluid in motion without consideration of forces and Fluid Dynamics is the study of fluid in motion considering the application forces."
Question 5,5. The value of the compressibility of an ideal fluid is,a) zero,b) unity,c) infinity,d) more than that of a real fluid,a,Explanation: Ideal fluids are incompressible which means they will have zero compressibility.
Question 6,6. The value of the Bulk Modulus of an ideal fluid is,a) zero,b) unity,c) infinity,d) less than that of a real fluid,c,"Explanation: Bulk modulus k is the reciprocal of compressibility fi.k = 1ÚfiIdeal fluids are incompressible which means fi = 0. Thus, k will be infinity."
Question 7,7. The value of the viscosity of an ideal fluid is,a) zero,b) unity,c) infinity,d) more than that of a real fluid,a,Explanation: Ideal fluids are non-viscous which means they will have zero viscosity.
Question 8,8. The value of the surface tension of an ideal fluid is,a) zero,b) unity,c) infinity,d) more than that of a real fluid,a,Explanation: Ideal fluids haze zero surface tension but real fluids have some finite value of surface tension.
Question 9,1. Which one of the following is the unit of mass density?,a) kg = m3,b) kg = m2,c) kg = m,d) kg = ms,a,"Explanation: Mass Density(p) is defined as the mass(m) per unit volume(V ), i.e., p = m Úv Thus, the unit of p is kg = m3."
Question 10,2. The specific gravity of a liquid has,a) the same unit as that of mass density,b) the same unit as that of weight density,c) the same unit as that of specific volume,d) no unit,d,Explanation: The specific gravity of a liquid is the ratio of two similar quantities (densities) which makes it unitless.
Question 11,3. The specific volume of a liquid is the reciprocal of,a) weight density,b) mass density,c) specific weight,d) specific volume,b,"Explanation: Specific volume(v) is defined as the volume(V ) per unit mass(m).v = vÚm = 1 / mÚv = 1Úpwhere p is the mass density."
Question 12,4. Which one of the following is the unit of specific weight?,a) N = m3,b) N = m2,c) N = m,d) N = ms,a,"Explanation: Specific weight(_) is defined as the weight(w) per unit volume(V ), i.e.,_ = w / vThus, unit of  is N = m3."
Question 13,5. Which one of the following is the dimension of mass density?,a) [M1 L-3 T0].,b) [M1 L3 T0].,c) [M0 L-3 T0].,d) [M0 L3 T0].,a,"Explanation: Mass Density(p) is defined as the mass(m) per unit volume(V ), i.e.,[p] = [m]/[v] = [m] /[L3] = [ML-3]."
Question 14,6. Which one of the following is the dimension of specific gravity of a liquid?,a) [M1 L-3 T0].,b) [M1 L0 T0].,c) [M0 L-3 T0].,d) [M0 L0 T0].,d,Explanation: The specific gravity of a liquid is the ratio of two similar quantities (densities) which makes it dimensionless.
Question 15,7. Which one of the following is the dimension of specific volume of a liquid?,a) [M1 L-3 T0].,b) [M-1 L3 T0].,c) [M-1 L-3 T0].,d) [M0 L3 T0].,b,"Explanation: Specific volume(v) is defined as the volume(V ) per unit mass(m). Thus,[v] = [V]/[m] = [L3]/[M] = [M-1L3]."
Question 16,8. Which one of the following is the dimension of specific weight of a liquid?,a) [ML-3 T -2].,b) [ML3 T-2].,c) [ML-2 T-2].,d) [ML2 T-2].,c,"Explanation: Specific weight(_) is defined as the weight(w) per unit volume(V ), i.e.,"
