Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"1.	________ is not use to make Portland Cement (PC)?","a)	Calcareous Rocks","b)	Argillocalcareous Rocks","c)	Argillaceous Rocks","d)	Sand",d,Explanation: Sand is mixed with Cement to make concrete instead of making cement. Materials which we get from these 3 rocks are useful to make healty PC.
Question 2,"2.	Which one doesn’t comes under Calcareous Rocks?","a)	Limestone","b)	Cement rock","c)	Chalk","d)	Marine shell deposits",b,"Explanation: Cement Rock comes in Argillocalcareous Rocks. And Calcareous Rocks have Limestone, Marl, Chalk, Marine Shell Deposits."
Question 3,"3.	What is the percentage of CLINKER in PC?","a)	2-3%","b)	4-6%","c)	2-6%","d)	3-5%",c,"Explanation: Portland cement is made by mixing substances containing CaCO3 with substances containing SiO2, Al2O3, Fe2O3 and heating them to a clinker which is subsequently ground to powder and mixed with 2-6 % gypsum."
Question 4,"4.	As the materials pass through the kiln their temperature is rised upto ____","a)	1300-1600 °C","b)	1100-1500 °C","c)	1300-1500 °C","d)	1100-1600 °C",a, Explanation: 1300-1600 °C is the best range to melt the raw materials for a healty PC. Below 1300 °C the materials whcih we added to make PC won’t melt perfectly and the result will be unhealty PC.
Question 5,"5.	What is the diameter and length of the kiln respectively?","a)	6m and 200m","b)	200m and 6m","c)	6m and 6m","d)	200m and 200m",a,Explanation: They are produced in a range of sizes and units with diameters up to 6 m and lengths up to 200 m have been made.
Question 6,"6.	What is the range of CaCO3 in Argillocalcareous Rocks?",a)  >75%,b) 40-75%,c) <45%,d) 75%,b,"Explanation: It is the standard value for in Argillocalcareous Rocks (40-75% CaCO3 such as clayey limestone, clayey marl)."
Question 7,"8.	 What is the diameter of Clinker for making of Portland Cement?","a)	.15-5 cm","b)	.15-5 m","c)	.3-4 cm","d)	.3-4 m",a,Explanation: As the materials pass through the kiln their temperature is rised upto 1300-1600 °C. The process of heating is named as “burning”. The output is known as “clinker” which is 0.15-5 cm in diameter.
Question 8,"9.	What is the composition of making the Mortar?","a)	P.C. + Water","b)	P.C. + Water + Sand","c)	P.C. + Water + Sand + Gravel","d)	Water + Sand + Gravel",b,"Explanation: Mortar is a mixture of 3 materials i.e. cement, water and sand (P.C. + sand + water = Mortar), used in building for holding bricks or stones together."
Question 9,"1.	What is wet process?","a)	Grinding and mixing of the raw materials in their dry state","b)	Grinding and mixing of the raw materials in their medium state","c)	Grinding and mixing of the raw materials in their wet state","d)	Grinding and mixing of the raw materials in their overheated state",c,Explanation: Grinding and mixing of the raw materials in their wet state is called wet process and grinding and mixing of the raw materials in their dry state is called dry process.
Question 10,2. What is the moisture content in slurry for wet process?,"a)	35-50%","b)	12%","c)	40-45%","d)	100%",a,Explanation: The moisture content in slurry for wet process is 35-50%. 12% is the moisture content for dry process.
Question 11,"4. Among the below statement, which one is correct for wet process?","a)	The amount of heat required is high, so the required fuel amount is high","b)	The amount of heat required is lesser, so the required fuel amount is less","c)	The amount of heat required is high, so the required fuel amount is less","d)	The amount of heat required is less, so the required fuel amount is high",a,"Explanation: The amount of heat required is higher, so the required fuel amount is higher for wet  process and vice-versa for dry process."
Question 12,5. The slurry with the desired lime content passes into the _____,"a)	Clinker","b)	Rotary kiln","c)	Slurry tank","d)	Cement silo",b,Explanation: The slurry with the desired lime content passes into the rotary kiln up to 8 m in diameter and length 230m.
Question 13,"6. The slurry, in its movement down the kiln, encounters a progressively higher temperature. At first, the water is driven off and ___  is liberated.","a)	SiO2","b)	CO2","c)	Gypsum","d)	CaO",b,"Explanation: At 900°C limestone decomposes, CaCO3.CaO + CO2 (endothermic reaction) CO2 is swept away by current air."
Question 14,"8. “When chalk is used, _______” Choose the most suitable option.","a)	It is finely broken up and dispersed in water in a wash mill","b)	It has to be blasted, then crushed, usually in two progressively smaller crushers","c)	It is sieved and fed into a rotating dish called a granulator","d)	The raw materials are crushed and fed into a grinding mill, where they are dried and reduced into fine powder",a,"Explanation: When chalk is used, it is finely broken up and dispersed in water in a wash mill. Similarly, the clay is also broken up and mixed with water, usually in a similar wash mill."
Question 15,"9. In the wet process, the kiln is ___________","a)	Horizontal","b)	Vertical","c)	Slightly inclined with vertical","d)	Slightly inclined with horizontal",c,Explanation: The kiln is slightly inclined with horizontal so that the slurry coming from slurry tank can free fall with the gravity into the next process.
Question 16,10. In the wet process of cement manufacturing raw material is heated to about _____________,"a)	650-900 °C","b)	900-1300 °C","c)	1300-1450 °C","d)	900-1050 °C",c,"Explanation: At 1300-1450 °C partial (20–30%) melting takes place, and belite reacts with calcium oxide to form alite."
Question 17,1. What is dry process?,a) Grinding and mixing of the raw materials in their dry state,b) Grinding and mixing of the raw materials in their wet state,c) Grinding and mixing of the raw materials in their medium state,d) Grinding and mixing of the raw materials in their super dry state,a,Explanation: Grinding and mixing of the raw materials in their dry state is known as dry process and grinding and mixing of the raw materials in their wet state is known as wet process.
Question 18,2. The raw materials is so hard (solid) that they ___ disintegrate by water.,a) do,b) may be,c) do not,d) may or may not,c,Explanation: The raw materials is so hard that they do not differentiate by water because the water might freeze in the mixture.
Question 19,"3. To obtain cement dry powder, lime stones and shales or their slurry, is burnt in a rotary kiln at a temperature between ___",a) 1100° and 1200°C,b) 1200° and 1300°C,c) 1300° and 1400°C,d) 1400° and 1500°C,d,Explanation: In this process calcareous material such as lime stone (calcium carbonate) and argillaceous material such as clay are ground separately to fine powder in the absence of water and then are mixed together in the desired proportions.
Question 20,4. The blended meal is sieved and fed into a rotating dish called a ___,a) Clinker,b) Kiln,c) Granulator,d) Raw meal,c,"Explanation: The blended meal is sieved and fed into a rotating dish called a granulator, water weighing about 12% of the meal being added at the same time."
Question 21,5. What is the moisture content in slurry for dry process?,"a)	35-50%","b)	12%","c)	40-45%","d)	100%",b,Explanation: 12% is the moisture content in slurry for dry process. The moisture content in slurry for wet process is 35-50%.
Question 22,"6. Among the below statement, which one is correct for dry process?","a)	The amount of heat required is high, so the required fuel amount is high","b)	The amount of heat required is less, so the required fuel amount is less","c)	The amount of heat required is high, so the required fuel amount is less","d)	The amount of heat required is less, so the required fuel amount is high",b,"Explanation: The amount of heat required is lesser, so the required fuel amount is less for dry  process and vice-versa for wet process."
Question 23,8. What is the diameter of hard pellets?,a) 10mm,b) 12mm,c) 15mm,d) 18mm,c,Explanation: Hard pellets about 15 mm in diameter are formed. The pellets are baked hard in a pre-heating grate by means of hot gases from the kiln.
Question 24,9. Pick up the correct statement from the following:,a)  Gypsum in cement decreases the setting time,"b) The first compound of cement which reacts with water, is C2S",c) Bulking of sand is less when its particles are fine,d) Dry process is less economically,a,"Explanation: Any residual would have a negative effect on the setting. The gypsum should be mixed under vacuum, if possible, and to the exact water/powder ratio. The gypsum should be sprinkled into the water."
Question 25,10. What is the percentage of cement produced in dry process?,a) 85%,b) 70%,c) 75%,d) 80%,c,Explanation: In this process calcareous material and argillaceous material are ground separately to fine powder in the absence of water and then are mixed together in the desired proportions. Dehydration zone requires a somewhat shorter distance than wet process.
Question 26,1. What is hydration of cement?,a) Chemical reaction of cement with acid,b) Chemical reaction of cement with water,c) Chemical reaction of cement with base,"d) Chemical reaction of cement with salt, and acid",b,"Explanation: As water comes into contact with cement particles, hydration reactions immediately starts at the surface of the particles."
Question 27,2. As the hydration proceeds the deposits of hydrated products on the original cement grains makes the diffusion of water to unhydrated nucleus ____,a) Easy,b) Very difficult,c) Very easy,d) Average,b,Explanation: It is difficult thus the rate of hydration decreases with time & as a result hydration may take several years.
Question 28,3. The development of first 28 days strength is on account of the hydration of __,a) C2S,b) C3S,c) C3A,d) C4AF,b,"Explanation: Higher C3S_higher early strength-higher heat generation (roads, cold environments). Higher CS_lower early strength-lower heat generation (dams)."
Question 29,4. Which compound is liberates higher heat?,a) C2S,b) C3S,c) C3A,d) C4AF,b,Explanation: C3S having a faster rate of reaction accompanied by greater heat generation developes early strength of the paste.
Question 30,5. Which compound is liberates lower heat?,a) C2S,b) C3S,c) C3A,d) C4AF,a,Explanation: C2S hydrates & hardens slowly so results in less heat generation & developes most of the ultimate strength.
Question 31,6. Which compound may lead to a rapid stiffening of the paste with a large amount of the heat generation?,a) C2S,b) C3S,c) C3A,d) C4AF,c,Explanation: C3A is characteristically fast reacting with water & may lead to a rapid stiffening of the paste with a large amount of the heat generation (Flash-Set)-(Quick-Set).
Question 32,7. In order to prevent this rapid reaction ___ is added to the clinker.,a) C4AF,b) Gypsum,c) Water,d) Extra cement,b,"Explanation: In order to prevent this rapid reaction gypsum is added to the clinker. Gypsum, C3A&water react to form relatively insoluble Calcium-Sulfo-Aluminates."
Question 33,8. For complete hydration of cement the w/c ratio needed is ____,a) More than 0.25,b) More than 0.25 but less than 0.35,c) More than 0.35 but less than 0.60,d) More than 0.60,c,"Explanation: A mix with a ratio of 0.45 may not mix thoroughly, and may not flow well enough to be placed. More water is therefore used than is technically necessary to react with cement. Water–cement ratios of 0.45 to 0.60 are more typically used."
Question 34,9. The minimum water to cement ratio for cement concrete to hydrate is ___,a) 0.65,b) 0.5,c) 0.38,d) 0.27,c,Explanation: Minimum water cement ratio is 0.38. It cannot be 35 kg. W/C ratio depends on the exposure condition of concrete but minimum water cement ratio is 0.38 for full hydration of concrete.
Question 35,10. Approximate percentage range of A2O3 in OPC is ___,a) 17-25,b) 3-8,c) 3- 10,d) 4-15,c,"Explanation: Percentage of A2O3 is 3-8, CaO has 60-67, SiO2 has 17-25, SO3 is 1-3, MgO has .1-4 and soda has .5-1.3."
Question 36,1. Which chemical compostion has highest content in OPC?,a) Alumina,b) Silica,c) Lime,d) Iron Oxide,c,Explanation: Lime forms nearly two-third (2/3) of the cement. Therefore sufficient quantity of the lime must be in the raw materials for the manufacturing of cement.
Question 37,2. Excess in lime causes ___,a) The cement to shrink and integrate,b) The cement to shrink and disintegrate,c) The cement to expand and integrate,d) The cement to expand and disintegrate,d,Explanation: Sufficient quantity of lime forms di-calcium silicate (C2SiO2) and tri-calcium silicate in the manufacturing of cement.
Question 38,3. Silica in excess causes ____,a) The cement to set slowly,b) The cement to set quickly,c) The cement to expand,d) The cement to disintegrate,a,Explanation: Silica gives strength to the cement. Silica in excess causes the cement to set slowly.
Question 39,4. Alumina in excess causes ____,a) Reduces the strength of the cement,b) Inceases the strength of the cement,c) No change,d) Sometimes increase or decrease the strength of the cement,a,"Explanation: Alumina supports to set quickly to the cement. It also lowers the clinkering temperature. Alumina in excess, reduces the strength of the cement."
Question 40,5. Which compound gives the colour to the cement?,a) Lime,b) Silica,c) Iron Oxide,d) Alumina,c,Explanation: Iron oxide pigments are in the form of particles ranging approximately from 0.1 to 1.0 micron. The difference in color between one pigment and another is due to the shape and surface structure of the particle.
Question 41,6. Which cement contains high percentage of C3S and less percentage of C2S?,a) Rapid Hardening Cement,b) Ordinary Portland Cement,c) Quick Setting Cement,d) Low Heat Cement,a,Explanation: This cement contains high percentage of C3S and less percentage of C3S. This is infact high early strength cement.
Question 42,"7. When concrete is to be laid under water, ____ is to used.",a) Rapid Hardening Cement,b) Ordinary Portland Cement,c) Quick Setting Cement,d) Low Heat Cement,c,"Explanation: When concrete is to be laid under water, quick setting cement is to used. This cement is manufactured by adding small percentage of aluminum sulphate (Al2SO4) which accelerates the setting action."
Question 43,8. Which of the following is correct for Low Heat Cement?,a) Suitable for use in cold weather areas,b) Heat of hydration is reduced by tri calcium aluminate content,c) This cement requires longer period of curing,d) This cement contains high aluminate %age usually between 35-55%.,b,Explanation: In this cement the heat of hydration is reduced by tri calcium aluminate content. It contains less percentage of lime than ordinary port land cement. It is used for mass concrete works such as dams etc.
Question 44,9. What is the percentage of iron oxide in white cement?,a) High,b) Very high,c) Medium,d) Very low,d,"Explanation: As iron oxide gives the grey colour to cement, it is therefore necessary for white cement to keep the content of iron oxide as low as possible."
Question 45,10. What is the percentage of air by volume in Air Entraining Cement?,a) 3-4,b) 10-11,c) 7-8,d) 9,a,Explanation: Entertainment of air also improves work ability and durability. It is recommended that air contents should be 03-04 % by volume.
Question 46,1. Which cement is used in sewage and water treatment plants?,a) Rapid Hardening Cement,b) Low Heat Cement,c) Sulphate Resisting Cement,d) Quick Setting Cement,c,Explanation: Cement with composition has very good resistance to sulphate attack. This type of cement is used in the construction of foundation in soil where subsoil contains very high proportions of sulphate .
Question 47,2. Which cement is used for mainly building construction where strength required with age?,a) Rapid Hardening Cement,b) Low Heat Cement,c) Portland Pozzolana Cement,d) Quick Setting Cement,c,Explanation: It gains very high compressive strength with age unlike other cement and it is very cheap and affordable.
