Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"1.	What is the thickness of the crust under the mountainous areas and in particular the Himalayas?","a)	50-55 km","b)	60-65 km","c)	70-75 km","d)	30-35 km",c,        Explanation: It is believed that the thickness of the crust under the Himalayas is 70 to 75 km and under the Hindukush it is said to be 60 km thick.
Question 2,"2.	The discontinuity which marks the lower boundary of the crust is","a)	Crust-Mantle discontinuity","b)	Oceanic discontinuity","c)	SIAL layer","d)	Mohorovicic discontinuity",d,      Explanation: Mohorovicic discontinuity marks the lower boundary of the crust which is the first layer of the Earth.
Question 3,"3.	The granite layer in the crust is also referred to as","a)	SIAL","b)	SIMA","c)	SLAM","d)	SILA",a,      Explanation: SIAL stands for Silicon and Aluminium and as per the name it is made up of the two elements and hence the name.
Question 4,"4.	The density of the oceanic layer in the crust is said to be","a)	3.00 g/cc","b)	2.50 g/cc","c)	1.90 g/cc","d)	2.00 g/cc",a,      Explanation: The oceanic crust is estimated to have a volume of 2.54*109 cc with an average density of 3.00 g/cc.
Question 5,"5.	The depth at which the Mohorovicic discontinuity occurs is","a)	90-100 km","b)	50-60 km","c)	70-80 km","d)	30-40 km",d,      Explanation: Mohorovicic discontinuity from seismic evidence is determined that it is approximately at a depth of 30-40 km.
Question 6,"6.	What is the speed attained by the P-waves in the C-layer under the Continental crust?","a)	6 to 7.6 km/sec","b)	3 to 4 km/sec","c)	5 to 6.3 km/sec","d)	1.8 to 2.5 km/sec",a,      Explanation: The C-layer is the lowermost layer of the continental crust and here the P-waves attain velocity as high as 6 to 7.6 km/sec.
Question 7,"7.	The layer under the continental crust with the density of 2.4 to 2.6 g/cc","a)	A-layer","b)	B-layer","c)	C-layer","d)	D-layer",b,      Explanation: The Middle layer or B-layer of the continental crust is relatively dense compared to A-layer and the density is said to be 2.4 to 2.6 g/cc.
Question 8,"8.	The expansion of SIMA is","a)	Silicon and Manganese","b)	Silicon and Magnesium","c)	Strontium and Manganese","d)	Strontium and Magnesium", ,      Explanation: Silicon and Magnesium. The C-layer under the continental crust is rich in Silicon and Magnesium and hence the layer is also sometimes called SIMA.
Question 9,"10.	The least dense layer among the layers under  the continental crust is","a)	A-layer","b)	B-layer","c)	C-layer","d)	D-layer",a,"      Explanation: The A or the upper layer is between 2 to 10 km thick and is of low density, 2.00 g/cc."
Question 10,"11.	The area not considered under the crust is","a)	Mountainous area","b)	Continental area","c)	Oceanic area","d)	Glacial area",d,"Explanation: The first the options, Mountainous, Continental and Oceanic areas are studied separately whereas Glacial area is not considered under study of the crust as such."
Question 11,"1.	The depth up to which the mantle is said to exist is ________","a)	2000 km","b)	1500 km","c)	2900 km","d)	1800 km",c,"      Explanation: The second layer, Mantle, lies beneath the crust and this zone starting from the lower boundary of the crust continues up to a depth of 2,900 km."
Question 12,"2.	The thickness of the 2 layers of the upper mantle is approximately said to be","a)	400 and 600 km","b)	300 and 500 km","c)	450 and 800 km","d)	300 and 400 km",a,      Explanation:  The upper mantle is further divided into two layers of 400 and 600 km thickness respectively.
Question 13,"4.	Which of the following is not true about Asthenosphere?","a)	It is present in the upper mantle","b)	It is in solid state","c)	It is the source of volcanic activity","d)	It is in plastic rather than solid state",b,"      Explanation: It is in solid state is not true and the remaining options are true and they are characteristics of the asthenosphere. In Greek, “asthenes” means without strength and hence the name. "
Question 14,"5.	Who was the first person to tell about the Core?","a)	Graham Bell","b)	Albert Einstein","c)	Isaac Newton","d)	R.D. Oldham",d,Explanation:  The existence of the core was suggested by R.D. Oldham in 1906 and subsequently confirmed by other seismologists.  
Question 15,"6.	The depth at which the core layer starts and ends respectively is ____________","a)	2900 and 6371 km","b)	2000 and 5371 km","c)	2500 and 4771 km","d)	2000 and 5000 km",a,Explanation:  The mantle extends up to the depth of 2900 km and from that depth it is the core that is said to be present and the radius of the Earth is 6371 km and hence the core is said to extend till 6371 km. 
Question 16,"7.	Which of the following is true about the inner core?","a)	It is believed to be a semi solid body","b)	It is believed to be a solid body","c)	It is believed to be a liquid body","d)	It is believed to be a gaseous body.",b,Explanation:  The inner core with a thickness of around 1790 km is believed to be a solid body. 
Question 17,"8.	The density of the Earth in the core immediately after the mantle is _______","a)	8 g/cc","b)	7.6 g/cc","c)	9.9 g/cc","d)	8.7 g/cc",c,"Explanation:  At the base of the mantle, density is inferred as 5.7 g/cc that jumps to 9.9 g/cc at the top of the core. "
Question 18,"9.	The layer which does not transmit the S-waves is _______","a)	Outer core","b)	Crust","c)	Mantle","d)	Inner core",a,Explanation:  The outer core behaves more like a liquid because the S-waves from the earthquake shocks reaching this zone are not transmitted through this zone at all.  
Question 19,"11.	The density of the Earth at its centre is said to be","a)	9.9 g/cc","b)	8.8 g/cc","c)	13 g/cc","d)	12.7 g/cc",c,Explanation:  The value of density reaches 12.7 g/cc at the boundary of the inner core and becomes 13 g/cc at the centre of the Earth.  
Question 20,"12.	The layer which is said to support the slow moving tectonic plates is","a)	Asthenosphere","b)	Lithosphere","c)	Mohorovic sphere","d)	Core layer",a,Explanation: The Asthenosphere is believed to be located entirely in the upper mantle and supports the slowly moving tectonic plates. 
Question 21,"13.	What is the thickness of the inner core?","a)	790 km","b)	1790 km","c)	2790 km","d)	3790 km",b,"Explanation:  The inner core, is believed to be in solid metallic state and is said have thickness of about 1790 km. "
Question 22,"14.	The layer which is believed to be the source of volcanic activity is","a)	Inner core","b)	Outer core","c)	Asthenosphere","d)	Mohorovicic layer",c,Explanation: The asthenosphere is believed to be the source of much volcanic activity and many other processes. It is is said be to located completely in the upper mantle.
