Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of the following is a defined quantity?,a) Pressure,b) Polarity,c) Money,d) Length,d,"Explanation: The SI units are based on 7 defined quantities namely length, mass, time, electric current, thermodynamic temperature, amount of substance and also on the luminous intensity."
Question 2,2. The basic unit for luminous intensity is,a) Ampere,b) Candela,c) Coulomb,d) Radian,b,Explanation: The unit for luminous intensity is candela and its symbol is cd.
Question 3,3. Which of the following is a correct relation?,a) Giga>Mega>Tera,b) Mega>Tera>Giga,c) Tera>Mega>Giga,d) Tera>Giga>Mega,d,"Explanation: Tera Ð 1012             Giga Ð 109              Mega Ð 106."
Question 4,4. Charge is,a) Unipolar,b) Bipolar,c) Tripolar,d) Non Ð Polar in nature,b,Explanation: Charge is bipolar since it can be expressed in terms of positive and negative.
Question 5,5. Separation of charge creates,a) Current,b) Voltage,c) Resistance,d) Friction,b,Explanation: An electric force called voltage is created by separation of charge where as an           electric fluid called current is created by motion of charge.
Question 6,7. If charge q = 3t2 + 2 then current is given by,a) 6t + 2,b) 3t2,c) 6t,d) 3t2 + 2,c,Explanation: I = dq/dt  = d/dt(3t2 + 2) = 6t.
Question 7,8. If energy w = 200t2+ 99 et + 2 then calculate at 0.1 sec,a) 148.52,b) 149.41,c) 149.95,d) 148.39,b,"Explanation: p=dw/dt                         =400t +99et                         =400(0.1) + 99e(0.1)                         =149.41"
Question 8,10. ÔPositive PowerÕ meaning ___________,a) Power is being delivered to circuit,b) Power is being extracted from circuit,c) No power supply,d) Input and output powers are equal,a,"Explanation: P > 0 means +ve Power	Being delivered                        P < 0 means Ðve Power	Being extracted."
Question 9,1) The symbol used for representing Independent sources,a) Diamond,b) Square,c) Circle,d) Triangle,c,"Explanation:  Independent sources are represented by circle               Dependent sources are represented by Diamond."
Question 10,2. Controlled sources are also known as,a)  Independent sources,b) Dependent sources,c) Ideal sources,d) Voltage sources,a,Explanation:  Voltage V = dw/dq and its SI unit is Volt.
Question 11,4. Inductor is _______________ element.,a) Active,b) Passive,c) Linear,d) Polar,b,Explanation: Passive element means it could not generate electricity.
Question 12,7. The opposing capacity of materials against the current flow is,a) Conductance,b) Inductance,c) Susceptance,d) Resistance,d,Explanation: The opposing capacity of materials against the current flow is resistance.
Question 13,8. The conductance of a 923½ resistance is,a) 1.08 * 10-3 mho,b) 1.08 * 10-4 mho,c) 1.02 * 10-3 mho,d) 1.02 * 10-4 mho,a,Explanation: c=1/R =1/923 = 1.08 * 10-3 mho
Question 14,9. The current passing through a circuit is 7.2A and the power at the terminals is 27 watts.,       Existence is ___________ ohms.,a)  0.5402,b) 0.5208,c) 0.5972,b,"Explanation:   p = vi                             = (iR) i                             = i2 R                          R = P/i2                                          =27/ (7.2)2                                      = 0.5208½."
Question 15,"10. Relation between power, voltage and conductance",a)  V = P2.G,b)  V = P2/G,c)  P = v2/G,d)  P = V2 G,d,"Explanation:  P = vi                            = v (v/R)                            = v2/R                            = v2G."
Question 16,1.KCL is based on the fact that,a) There is a possibility for a node to store energy.,b) There cannot be an accumulation of charge at a node.,c) Charge accumulation is possible at node,d) Charge accumulation may or may not be possible.,b,"Explanation: Since the node is not a circuit element, any charge which enters node must leave immediately."
Question 17,3. The algebraic  sum of voltages around any closed path in a network is equal to ____________,a) Infinity,b) 1,c) 0,d) Negative polarity,c,"Explanation: According to KVL, the sum of voltages around the closed path in a network is zero."
Question 18,7. All _____________ are loops but _______________ are not meshes,"a) Loops, Meshes","b) Meshes, loops","c) Branches, loops","d) Nodes, Branches",b,Explanation: A mesh cannot be divided further in loops.
Question 19,9. The basic laws for analyzing an electric circuit are :-,a) EinsteinÕs theory,b) Newtons laws,c) KirchhoffÕs laws,d) Faradays laws,c,Explanation: KirchhoffÕs laws are used for analyzing an electric circuit.
Question 20,10. A junction whell two (or) more than two network elements meet is known as a ______________,a) Node,b) Branch,c) Loop,d) Mesh,a,Explanation: Node is a junction where two or more than two network elements meet.
Question 21,1.Dependent sources are _____________ types.,a) 3,b) 2,c) 4,d) 1,c,Explanation: Dependent sources are 4 types. Voltage controlled voltage/current source and current controlled current/voltage source.
Question 22,"2. In case of a dependent voltage/current source, the value of this voltage/current source depends on _________",a) Voltage/current sources of an external circuit,b) Voltage/current source present somewhere in the circuit,c) Only on voltage sources,d) Only on current sources,b,Explanation: The name dependent itself tells us that they are dependent on some other source. A dependent voltage/current source depends on the value of the voltage/current source present somewhere in the circuit itself.
Question 23,4.The value of the voltage controlled current source ia=_va  given _=0.3 and va=9.5mV.,a) 2.5 mA,b) 2.85 mA,c) 1.75 mA,d) 1.2 mA,b,Explanation: ia= 0.3*9.5*10-3=2.85mA.
Question 24,"6. The value of the current controlled voltage source ,given _=0.8 and ia=9.5mA, is ___________",a) 8mV,b) 7.6mV,c) 0.0011mV,d) 0.0051mV,b,Explanation: va=_ia 
Question 25,7. In a VCIS which is the controlled source and which one is the dependent source?,"a) V-contorller, I-dependent","b) V-dependent, I-controller",c) Both V and I are controllers,d) Both V and I are dependent,a,"Explanation: VCIS: Voltage-controlled current source. ia=_va, current value depends on the voltage value so voltage source is the controller and current is the dependent source."
Question 26,8. In an ICVS which is the controlled source and which one is the dependent source?,"a) V-controller, I-dependent","b) V-dependent, I-controller",c) Both V and I are controllers,d) Both V and I are dependent,b,"Explanation: ICVS :Current-controlled voltage source. va=_ia , voltage value depends on the current value so current source is the controller and voltage is the dependent source."
Question 27,9. What is the other name for Dependent sources?,a) Uncontrolled sources,b) Time response elements,c) Steady state elements,d) Controlled sources,d,Explanation: Dependant sources are also known as Controlled sources as there are controlled by other elements present in the circuit.
Question 28,1.  Where voltage division problem arises,a) Series connected resistors,b) Parallel connected resistors,c) When resistors are equal,d) Both series and parallel resistors.,a,"Explanation:  In series, voltage is the difference and current same."
Question 29,2. Where current division problem arises,a) Series connected resistors,b) Parallel connected resistors,c) When resistors are equal,d) Both series and parallel resistors.,b,Explanation:  In parallel voltage is same and current is the difference.
Question 30,"3. If there are 3 Resistors R1, R2 and R3 in series and V is total voltage and I is total current    then Voltage across R2 is",a) V R3/ R1 + R2 + R3,b) V R2/ R1 + R2 + R3,c) V R1/R1 + R2 + R3,d) V,b,"Explanation:   V2 =I R2       = V R2/ R1 + R2 + R3."
Question 31,"6. For a parallel connected resistor R1, R2 and a voltage of V volts. Current across the first resistor is given by",a) I R1,b) I R2,c) I R1 / R1 + R2,d) I R2 / R1 + R2,d,"Explanation:                 I1 = V / R1   R = R1. R2 / R1  + R2     = I .    R1. R2 / R1 . R1 + R2   I1 = I R2 / R1 + R2. "
Question 32,"7.  R1 = 1½, R2 = 3½, R3 = 5½ and R4 = 7½ connected in series. Total voltage = 20V, Current I, V2 =?","a) I = 1.23, V2 = 3.75","b) I = 1.25, V2 = 3.75","c) I = 1.15, V2= 3.73","d) I = 1.16, V2 = 3.72",b,"Explanation:                          I = 20/ 1 + 3 + 5 + 7 = 1.25A    V2 = V. R2 / R1 + R2 + R3 + R4     = 20(3)/16   = 3.75V."
Question 33,"8. R1 = 1½, R2 = 3½, R3 = 5½ and R4 = 7½ connected in parallel. Total Current = 23A. Then V, I1 , I2  =?","a) 12.26v, 1.725, 2.875","b) 12.23v, 2.875, 1.725","c) 11.26v, 1.95, 1.74","d) 11.23v, 1.74, 1.95",a,"Explanation:                 V = I/R        V = I (R1  + R2) R1  R2  = 12.26v         I1 = IR2/ R1  + R2 = 1.725A        I2   = IR1/ R1  + R2         = 2.875A."
Question 34,10. Why is current division necessary?,a) In series current is the same,b) In parallel current differs,c) Because the voltage is also different,d) Because of KirchhoffÕs laws.,b,Explanation: In parallel current differs.
Question 35,1. ____________ helps in current measurement by placing it in ____________ with the circuit element.,"a) Voltameter, Parallel","b)  Ammeter, series","c)  Voltmeter, series","d)  Ammeter, parallel",b,"Explanation: In series, current is same. So Ammeter is placed in series and is used to measure current."
Question 36,2. An ideal voltmeter has ___________ equivalent resistance and ideal ammeter has ___________ equivalent resistance.,"a)  Unity, Unity","b)  Zero, infinite","c)  Infinite, Zero","d)  Zero, Zero",c,Explanation: An ideal voltmeter has Infinite equivalent resistance and ideal ammeter has zero equivalent resistance.
Question 37,3. Continuous voltages (or) current signals are measured using,a)  Tachometers,b)  Sonometers,c)  Analog meters,d)  Digital meters,d,Explanation: Digital meters are used to measure current (or) voltage signals at discrete points in time known as sampling times.
Question 38,"5. A 20mv, 1mA dÕArsonval movement is used in an ammeter whose full-scale reading is 10 mA. Determine RA.",a) 2.222½,b) 6.667½,c) 5.92½,d) 3.333½,a,"Explanation: 1 mA flowing through coil implies that 9mA must be diverted through RA.          V = ir      20 * 10-3 = 9 * 10-3 RA      RA= 2.222½."
Question 39,"6. A 25mv, 2mA dÕArsonval movement is to be used in voltmeter whose full scale reading is 100v. The resistance inserted by 100v meter into circuit is ___________",a) 1 * 105½,b) 1 * 106½,c) 1 * 104½,d) 1 * 103½,a,"Explanation:          v = iR                               R = v/i                                  = 100/1mA                                  = 100,000½."
Question 40,7. An ideal voltmeter functions as __________ circuit,a) A short, b) An open,c) A power,d) An infinite,b,Explanation: An ideal voltmeter offers an infinite equivalent resistance. So acts as an open circuit.
Question 41,8. An ideal ammeter functions as __________ circuit,a) A short,b) An open,c) A power,d) An infinite,a,Explanation: An ideal ammeter offers a zero equivalent resistance. So acts a short circuit.
Question 42,"9. A 100mv, 5mA dÕArsonval movement is to be used in an ammeter whose full-scale reading is 1A. Calculate RA.",a) 0.7 ohms,b) 0.5 ohms,c) 0.1 ohms,d) 0.2 ohms,c,"Explanation: 5mA is flowing through the coil which implies 995mA are diverted through RA.                                  V = iR                                     = 100 * 10-3                                     = 995 * 10-3 RA                                 RA  = 0.100½."
Question 43,"10. A 122mv, 12mA dÕArsonval movement is to be used in voltmeter whose full scale reading is 120v. The resistance inserted by 120v _____________",a) 1200½,b) 12000½,c) 1000½,"d) 10,000½",d,"Explanation:              R =120/12 * 10-3                            = 10,000½."
Question 44,1. The Wheatstone Bridge is mainly used to measure ______________,a) Currents,b) Voltages,c) Node potentials,d) Resistances,d,Explanation: Resistances can be measured by various methods. Wheatstone bridge is one such method. In this method resistances in the range of 1½ to 1 M½ can be measured.
Question 45,4. Lower resistances are difficult to measure using Wheatstone bridge circuit because of ____________,a) Leakage currents,b) I2R effects,c) Power dissipation,d) Thermal breakdown,b,"Explanation: A standard Wheatstone bridge couldnÕt measure lower resistances because of thermoelectric voltages which are generated at the junctions of the dissimilar metals and also because of thermal heating effects- that is, i2R effects."
Question 46,"5. If P/Q=1, unknown resistance S=1000½ and R could be varied from 0 to 100½ then the bridge could be ___________",a) A balanced circuit,b) A rectified circuit,c) An unbalanced circuit,d) An identical circuit,c,"Explanation: P/Q=R/S. If P/Q=1 then according to given range of R and S, the bridge circuit could never be a balanced one."
Question 47,6. The other name for Delta connection is ___________,a) Star connection,b) Pi connection,c) T connection,d) Y connection,b,Explanation: Delta connection is also known as Pi connection because the Æ can be shaped into ¹ without disturbing the electrical equivalence of both the structures.
Question 48,8. If R2 = RC RA / (RA +RB +RC ) then R3  equals?,a) RA RB / (RA +RB +RC ),b) RC RA / (RA +RB +RC ),c) RB RC / (RA +RB +RC ),d) RX RA / (RA +RB +RC ),a,Explanation: R3 = RA RB / (RA +RB +RC ).
Question 49,"9. Convert the given Delta circuit to star circuit and give the Ra , Rb and Rc values.","a) Ra=5½, Rb = 4.5½, Rc=4.67½","b) Ra=4½, Rb=4.30½, Rc=4.66½","c) Ra=3½, Rb=4½, Rc =5½","d) Ra=5.2½, Rb=4.2½, Rc =4.89½",b,Explanation: By using the standard formulae the delta circuit can be converted into star circuit.
Question 50,12. The star and delta networks would be electrically equal if resistances measured between any pair of terminals __________,a) Is different,b) Greater in star,c) Greater in delta,d) Is equal,d,Explanation: The star and delta networks would be electrically equal if a resistance measured between any pair of terminals is same.
Question 51,13. A Wheatstone bridge is balanced when the galvanometer shows __________ reading.,a)  0A,b) 1A,c) Infinity,d) -1A,a,Explanation: A Wheatstone bridge is balanced when the galvanometer shows 0A reading when resistors obey P/Q=R/S.
Question 52,14.  __________ are difficult to measure using Wheatstone bridge.,a) Higher resistances,b) Currents,c) Lower resistances,d) Voltages,c,Explanation: Specifically Kelvin Bridge is used for measuring lower resistances.
Question 53,1. Nodal analysis is mainly based on __________,a) KCL,b) KVL,c) Wheatstone bridge principle,d) FaradayÕs electric laws,a,Explanation:  Nodal analysis or Node-Voltage method is done by identifying the currents at the node and thereby forming equations.
Question 54,"2. If there are n nodes, then how many node-voltage equations are required?",a) n,b) n+1,c) n-1,d) 1,c,Explanation: If there are n nodes then n-1 nodal equations are required to describe the circuit.
Question 55,4. A supernode is between _____________,a) Essential node and reference node,b) Two reference nodes,c) Two essential nodes,d) Essential node and neutral path,c,Explanation:  A supernode is between two essential nodes.
Question 56,8. If there are 5 nodes then the no of nodal equations are ___________,a) 5,b) 0,c) 1,d) 4,d,Explanation: If there are n nodes then n-1 nodal equations are required to describe the circuit.
Question 57,9. If there are (N-2+3) Node-Voltage equations then the number of nodes in the circuit are __________,a) N+2,b) N+1,c) N,d) N-1,a,"Explanation: If there are n nodes then n-1 nodal equations are required to describe the circuit. So, given N-2+3 i.e. N+1 nodal equations and it implies N+2 nodes."
Question 58,10. The reference node is also known as __________,a) Essential node,b) Principle node,c) Datum node,d) Neutral node,c,Explanation: The node taken for reference in the network is known as reference node or datum node.
Question 59,"11. If there are 9 nodes, then how many node-voltage equations are required?",a) 9,b) 10,c) 8,d) 1,c,Explanation: If there are n nodes then n-1 nodal equations are required to describe the circuit.
Question 60,12. There are 13 branches in a complicated network and nearly 8 nodes. How many equations are required to solve the circuit in node-voltage method?,a) 7,b) 13,c) 5,d) 6,a,Explanation: Branches number is not required in this method. Only nodes number is required.
Question 61,1. The loop which does not contain any other inner loop is known as _____________,a) A node,b) A mesh,c) A branch,d) A super mesh,b,Explanation: A mesh is defined as a loop which does not contain any other loop within it.
Question 62,"2. If there are 6 branches and 4 essential nodes, how many equations are required to describe a circuit in mesh-current method?",a) 3,b) 6,c) 4,d) 2,a,"Explanation: In Mesh-Current method, b-(n-1) equations are required to describe the circuit. b= the number of branches and n= the number of essential nodes."
Question 63,4. A Super Mesh analysis could be done when there is a common _____________ between any two loops.,a) Voltage source,b) Current source,c) Resistor,d) Both voltage and current source,b,Explanation: A Super Mesh analysis could be done when there is a common current source between any two loops.
Question 64,7. The Mesh-Current method is applicable only for ___________,a) Non-linear networks,b) Equivalent networks,c) Non-planar networks,d) Planar networks,d,Explanation: The Mesh-Current method is applicable only for Planar networks. A network is said to be planar if there are no crossovers in it and it can be drawn freely on a plane surface.
Question 65,10. If 4 equations are required to describe a circuit by Mesh-Current method and there are n nodes. How many branches are there in the network?,a) n+5,b) n+3,c) n,d) n-1,b,"Explanation: Standard formulae: b-(n-1)                             Given b-(n-1) =4 -> b=4+ (n-1) =n+3."
Question 66,"11. If there are 16 branches and 5 essential nodes, how many equations are required to describe a circuit in mesh-current method?",a) 12,b) 16,c) 21,d) 9,a,"Explanation: In Mesh-Current method, b-(n-1) equations are required to describe the circuit. b=the number of branches and n= the number of essential nodes."
Question 67,13.  Mesh analysis is best suitable for _____________,a) Current sources,b) Voltage sources,c) Complex elements,d) Unilateral elements,a,Explanation: Mesh analysis is best suitable for Current sources.
Question 68,1. Which method is best for voltage sources?,a) Mesh analysis,b) Nodal analysis,c) Superposition principle,d) Differentiation method,b,"Explanation: Every voltage source connected to the reference node reduces the equations to be solved. Thus, the node-voltage method is best for voltage sources."
Question 69,2. When there is a current source between two loops which method is preferred?,a) Mesh-voltage analysis,b) Node-current analysis,c) Supermesh,d) Supernode,c,Explanation: Supermesh is taken into consideration when there is a current source n between two loops and is considered as one single loop.
Question 70,"6. If there are b branches and n nodes, then how many node-voltage equations are required?",a) n,b) b+1,c) n-1,d) b,c,Explanation: If there are n nodes then n-1 nodal equations are required to describe the circuit. Branches do nothing in this case.
Question 71,9. When there is a voltage source between two nodes which method is preferred?,a) Mesh-voltage analysis,b) Node-current analysis,c) Supermesh,d) Supernode,d,Explanation: Supernode is taken into consideration when there is a voltage source n between two nodes.
Question 72,10. Which is the best-preferred method to calculate currents flowing in the circuit?,a) Mesh-voltage analysis,b) Node-current analysis,c) Superposition principle,d) Duality principle,a,"Explanation: By KVL, currents can be easily found out in mesh-voltage method."
Question 73,1. By using source transformation voltage source in series resistor is replaced by __________,a) Voltage source in series with a resistor,b) Current source in parallel with a resistor,c) Voltage source in parallel with a resistor,d) Current source in series with a resistor,b,"Explanation: In Source transformation, a voltage source in series with a resistor is replaced by a current source in parallel with the same resistor and vice versa."
Question 74,2. Source Transformation is  _____________,a) Unilateral,b) Unique,c) Bilateral,d) Complicated,c,"Explanation: In Source transformation, a voltage source in series with a resistor is replaced by a current source in parallel with the same resistor and vice versa. So, it is bilateral."
Question 75,3. If there are two resistors in parallel and in series with a voltage source then ___________,a) Parallel resistor has no effect,b) Series resistor has no effect,c) Both has their respective effects,d) Both has no effect on the voltage source,a,"Explanation: In source transformation, the voltage source in series with a resistor to be replaced by a current source in parallel with the same resistor and vice versa. So other resistors are redundant and have no effect."
Question 76,"7. If there is a 12A current source in series with 2½ and in parallel with a 4½ resistor, then voltage V=?",a) 24V,b) 48V,c) 3V,d) 6V,b,Explanation: 2½ resistor is redundant. 12*4=48V.
Question 77,13. Source transformation technique is mainly based on __________ law.,a) NewtonÕs,b) KirchhoffÕs,c) OhmÕs,d) EinsteinÕs,c,"Explanation: OhmÕs law: V=iR. By using this, the voltage/ current sources are reduced."
Question 78,"14. In source transformation,",a) Voltage sources remain same,b) Current sources remain same,c) Both voltage and current sources undergo change,d) Resistances/Impedances remain same,d,"Explanation: In source transformation, only the particular voltage/current sources change whereas the resistances remain same."
Question 79,"15. If there are five 20V voltage sources in parallel, then in source transformation __________",a)  All are considered,b) Only one is considered,c) All are ignored,d) Only 2 are considered,b,"Explanation: In parallel, voltages are same. So, only is considered and rest are ignored."
Question 80,9. TheveninÕs equivalent circuit consists of a ____________,a) Voltage source in series with a resistor,b) Current source in parallel with a resistor,c) Voltage source in parallel with a resistor,d) Current source in series with a resistor,a,Explanation: TheveninÕs equivalent circuit contains a Voltage source in series with a resistor.
Question 81,10. NortonÕs equivalent circuit consists of a _____________,a) Voltage source in series with a resistor,b) Current source in parallel with a resistor,c) Both voltage and current sources,d) Current source in series with a resistor,b,Explanation: NortonÕs equivalent circuit consists of a Current source in parallel with a resistor.
Question 82,11. TheveninÕs voltage is equal to ____________,a) Short circuit voltage,b) Open circuit current,c) Open circuit voltage,d) Short circuit current,c,Explanation: TheveninÕs voltage is equal to open circuit voltage.
Question 83,12. NortonÕs current is equal to ____________,a) Short circuit voltage,b) Open circuit current,c) Open circuit voltage,d) Short circuit current,d,Explanation: NortonÕs current is equal to Short circuit current.
Question 84,13. TheveninÕs resistance RTh = ___________,a) VTh/ISC,b) VSC/ITh,c) VTh/ITh,d) VSC /ISC,a,Explanation: TheveninÕs resistance is defined as the ratio of open circuit voltage to the short circuit current across the terminals of the original circuit.
Question 85,14. What is the expression forthe theveninÕs current if there is an external resistance in series with the RTh?,a) VTh/ITh,b) VTh/ (RTh-R),c) VTh/ (RTh+R),d) VTh/RTh,c,Explanation: ITh= VTh/ (RTh+R).
Question 86,1. Which of the following is the example to describe the efficiency of power transfer?,a) Communication systems,b) Power utility systems,c) Instrumentation systems,d) Telecom systems,b,"Explanation: Power utility systems are good examples for this case as they are concerned with the generation, transmission and distribution of power in large quantities."
Question 87,2. In a network maximum power transfer occurs when __________,a) RTh= -RL,b) RTh/RL =0,c) RTh= RL,d) RTh+RL= 1,c,Explanation: Maximum power transfer occurs when load resistance equals the theveninÕs resistance.
Question 88,3. Maximum power in terms of the theveninÕs voltage and load resistance __________,a) (VTh) 2 /4RL,b) (VTh) 2 *4RL,c) (VTh) 2 +4RL,d) 4RL/ (VTh) 2,a,Explanation: Pmax= v*i= i*R*i= i2RL = (VTh/(RTh+RL))2*RL.    Max power occurs when RL=RTh. 
Question 89,6. The Superposition principle is obeyed by ____________,a) Linear networks,b) Non-linear networks,c) Lateral networks,d) Trilateral networks,a,Explanation: A linear system obeys Superposition Principle. In a linear network parameters are constant i/e/ wonÕt change with voltage and current. 
Question 90,10. If there are 5 sources in a network out of which 3 are dependent and 2 are independent. For superposition principle ___________ sources are considered.,a) 5,b) 3,c) 2,d) 0,c,Explanation: Only independent sources are considered while using Superposition principle. Dependent sources are never deactivated while using this principle.
Question 91,"14. In AC networks, maximum power is delivered when  __________",a) ZL*ZS*=0,b) ZL+ZS*=1,c) ZL=-ZS*,d) ZL=ZS*,d,Explanation: Max power is delivered when load impedance equals complex conjugate of the source impedance.
Question 92,15. Superposition principle states that at a time __________ source(S) acts.,a) All the given sources,b) Only voltage sources,c) Only one source,d) Only current sources,c,Explanation: Only one source acts at a time. Remaining sources are non-operative during this period.
Question 93,1. Op-amp was introduced by __________,a) Fairchild,b) Maxwell,c) Rutherford,d) Sahani,a,Explanation: Op-amp was introduced by Fairchild semiconductor in 1968.
Question 94,2. The number of terminals in an Op-amp ______________,a) 6,b) 2,c) 5,d) 3,c,"Explanation: Inverting input, the Non-inverting input, Output, Positive power supply, Negative power supply."
Question 95,3. The Op-amp is a type of ___________,a) Differential amplifier,b) Integrated amplifier,c) Isolation amplifier,d) Feedback amplifier,a,Explanation: The Op-amp is a type of differential amplifier.
Question 96,"5. When the input voltage difference is small in magnitude, the Op-amp behaves as ____________",a) Non-linear device,b) Linear device,c) Complex device,d) Bipolar device,b,Explanation: When _vp-vn_is small then Op-amp acts as a linear device as the output voltage is a linear function of input voltages. 
Question 97,6. If the output voltage is not a linear function of input voltage then ____________,a) Op-amp acts a linear device,b) Op-amp acts as a non-linear device,c) Op-amp acts a polar device,d) Op-amp acts as an inverter,b,Explanation: If output voltage is not a linear function of input voltage then Op-amp acts as a non-linear device.
Question 98,1. The opamp in the Inverting circuit is in __________,a) Linear region,b) Saturation,c) Cut-off region,d) Non-linear region,a,Explanation: We assume that the opamp is in linear region.
Question 99,"2. In an Inverting Amplifier circuit, the output voltage vo is expressed as a function of ____________",a) Input current,b) Output current,c) Source voltage,d) Source current,c,Explanation: The goal of an inverting circuit is to express output voltage vo as a function of source voltage vs.
Question 100,3. The other name for Gain is ____________,a) Scaling factor,b) Output,c) Amplifying factor,d) Scaling level,a,Explanation: The gain is also known as scaling factor and it is the ratio of Rf/Rs in case of an Inverting amplifying circuit.
Question 101,"4. If VCC = 12V and vs=1mV, then Rf/Rs   is _____________",a) >12000,b) <12000,c) 12000,d) 1,b,Explanation: Rf/Rs    ² _VCC/vs_.
Question 102,"5. In the expression vo= -Avn, A is called ______________",a) Closed loop gain,b) Closed loop fault,c) Open loop fault,d) Open loop gain,d,Explanation: A is called open loop gain.
Question 103,6. The circuits of an inverting and Non-Inverting amplifying comprises of __________ and _______ number of resistors.,"a) 3, 2","b) 2, 3","c) 2, 2","d) 3, 3",b,"Explanation: Inverting amplifying circuit- Rs, Rf.	          Non-Inverting amplifying circuit Ð Rs, Rf, Rg."
Question 104,7. The condition for a Non-inverting amplifying circuit to operate in linear region operation  _____________,a) (Rs+Rf)/Rs < _VCC/vg_,b) (Rs+Rf)/Rs ­ _VCC/vg_,c) (Rs+Rf)/Rs > _VCC/vg_,d) (Rs+Rf)/Rs = _VCC/vg_,a,Explanation: Assume that opamp is ideal. The condition for the linear region operation in a Non-inverting amplifying circuit is (Rs+Rf)/Rs <_VCC/vg_.
Question 105,"8. If Rs= 3½, Rf= 6½ then the relation between vo and vg in case of a Non-Inverting amplifying circuit.",a) vo= 9vg,b) vo= 6vg,c) vo= 3vg,d) vo= vg,c,Explanation:  vo= ((Rs+Rf)/Rs) *vg.
