Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of the following deals with how food is adjudged by the consumer?,a) Food microbiology,b) Product Development,c) Sensory Analysis,d) Food physics,c,Explanation:  Sensory Analysis deals with how the food is adjudged  by a consumer.
Question 2,"2. Industry lobbying, local to international rules, Quality and food safety etc  includes which component of the food industry?",a) R&D,b) Financial Services,c) Regulation,d) Wholesale and distribution,c,"Explanation:  Food regulation ensures Industry lobbying, local to international rules, Quality and food safety. "
Question 3,3.  Which of the following does NOT constitute 90% of dry weight of any food?,a) Carbohydrates,b) Fibres,c) Proteins,d) Fats,b,"Explanation:  Carbohydrates, fats and protein constitute 90% of dry weight of any food. "
Question 4,4. Which sentence is untrue with respect to the human body?,a) Unconsumed water broken _ fats,b) Carbohydrates broken _ Sugars,c) Proteins broken down _ Amino acids,d) Fats broken down _ Fatty acids and glycerol,a,Explanation: Water isn’t converted into anything inside the body. It is just a carrier and removes toxins from the body via sweat and urine. 
Question 5,5.  Which provides energy very slowly?,a) Carbohydrates,b) Fats,c) Proteins,d) Fibers,b,"Explanation: Carbohydrates provide quick energy. Proteins are for body growth. Fibres do not provide energy as they don’t have any calorific value. Hence, fats slowly provide energy. "
Question 6,6. Which of the following is untrue?,a) A gram of carbohydrate or protein contains 4 calories,b) A gram of fat contains 9 calories,c) A gram of fat contains 5 calories,d) None of the mentioned,c,Explanation: 4 calories make a gram of carbohydrate or protein and 9 calories make a gram of fat. 
Question 7,"7. Storage requirements and stability, product attributes conductive to product sale etc. The above activities refer to which step of the food industry?",a) Production,b) Manufacture,c) Distribution,d) Marketing,c,"Explanation: Storage requirements and storage stability, product attributes conductive to product sale etc refer to Distribution of food products. "
Question 8,"8. With respect to the definition of an allied industry, which is an allied industry with the food industry?",a) Explosives Industry,b) Packaging Industry,c) Jute Industry,d) Leather Industry,b,Explanation: Non-food components and for marketing manufacturing companies are called allied industries. Packaging industry needed for food packaging is one of them. 
Question 9,2.  Which of the following is the general formula for carbohydrates?,a) Cm(H2o)n,b) Cm+1(H2o)n,c) Cm(H2o)n+1,d) Cm-1(H2o)n,a,Explanation: Cm(H2o)n is the formula for Carbohydrates.
Question 10,4. Which of the following is not a function of Carbohydrates?,a) Storage of energy,b) Fuel for metabolism,c) Structural components,d) None of the mentioned,d,"Explanation:  Carbohydrates store energy (starch/glycogen) , are a fuel for metabolism-glucose and are structural components- cellulose. "
Question 11,5.  Mina is a diabetics patience. One day she is tempted to eat junk food. Which is a relatively a better food product to eat – pasta or candy? Why?,a) Pasta- contains primary carbohydrates which increases blood sugar level comparatively slowly and to a lesser level,b) Pasta- contains secondary carbohydrates which increases blood sugar level comparatively slowly and to a lesser level,c) Candy – contains primary carbohydrates which increases blood sugar level comparatively slowly and to a lesser level,d) Candy- contains secondary carbohydrates which increases blood sugar level comparatively slowly and to a lesser level,b,Explanation: Pasta contains secondary carbohydrates which increases blood sugar level comparatively slowly and to a lesser level. 
Question 12,7. Sham is over-weight. Which of the following carbohydrates is he consuming maximum?,a) Refined,b) Unrefined,c) Glycogen,d) None of the mentioned,a,Explanation: Refined carbohydrates are the carbohydrates that are highly processed. Hence they’re stripped off of the initial minerals although the number of calories remain constant. 
Question 13,8. This carbohydrate is used during intense exercising. Which among the following is it?,a) Starch,b) Sucrose,c) Fructose,d) Glycogen,d,Explanation: Glycogen is stored in the liver by the body and used during intense exercising.
Question 14,9. Which of the following is correct?,a) Sucrose is made of galactose and glucose,b) Lactose is made up of glucose and fructose,c) Lactose is made up of galactose and fructose,d) Sucrose is made up of glucose and fructose,d,Explanation: Sucrose is made up of glucose and fructose.
Question 15,10. Fruits contain fructose which is a primary carbohydrate. These increase the blood sugar level. Why are fruits still recommended to be eaten?,a) They have exceptionally low Glycemic Index,b) They have exceptionally highly Glycemic Index,c) They’re secondary carbohydrates,d) None of the mentioned,a,Explanation: There are certain exceptions to the Glycemic Index. Fruits are one of them. It is low for fruits. 
Question 16,11. What is Glycemic Index of carbohydrates?,a) It shows which other nutrient it is being ingested with,b) It shows how quickly a carbohydrate is digested,c) It shows how quickly a carbohydrate increases blood sugar level,d) None of the mentioned,c,Explanation: Glycemic Index shows how quickly a carbohydrate increases blood sugar level.
Question 17,1. Which of the following is a function of insoluble fiber only?,a) Regulating blood sugar,b) Regulating the pH of the body,c) Adding bulk to stool,d) Lowering cholesterol,c,Explanation: Only insoluble fibers add bulk to stool. 
Question 18,2. Reduction of absorption of certain minerals is due to the presence of the following:-,a) Insoluble fiber,b) Phytate,c) Soluble fiber,d) None of the mentioned,b,Explanation: Phytate reduces the absorption of certain minerals.  
Question 19,3. What is the main action of dietary fibers?,a) To ensure proper functioning of the liver,b) To secrete hormones,c) To maintain pH,d) To make changes to how nutrients and chemicals are absorbed,d,Explanation: The main action of dietary fibers is to change how nutrients and chemicals are absorbed. 
Question 20,5.  Which of the following sentences is untrue?,a) Free aldehyde or ketone group are called reducing sugars,b) Maltose is a reducing sugar,c) Sucrose is a non-reducing sugar,d) Non of the mentioned,d,Explanation: All the above sentences are true.  
