Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Choose the correct option in terms of Issues related to professional responsibility,a) Confidentiality,b) Intellectual property rights,c) Both Confidentiality & Intellectual property rights,d) Managing Client Relationships,c,"Explanation: Engineers should normally respect the confidentiality of their employers or clients irrespective of whether or not a formal confidentiality agreement has been signed.They should be aware of local laws governing the use of intellectual property such  as patents, copyright, etc."
Question 2,2. “Software engineers should not use their technical skills to misuse other people’s computers.”Here the term misuse refers to:,a) Unauthorized access to computer material,b) Unauthorized modification of computer material,c) Dissemination of viruses or other malware,d) All of the mentioned,d,Explanation: None.
Question 3,3. Explain what is meant by PRODUCT with reference to one of the eight principles as per the ACM/IEEE Code of Ethics ?,a) The product should be easy to use,b) Software engineers shall ensure that their products and related modifications meet the highest professional standards possible,c) Software engineers shall ensure that their products and related modifications satisfy the client,d) It means that the product designed /created should be easily available,b,Explanation: None.
Question 4,4. Identify an ethical dilemma from the situations mentioned below:,a) Your employer releases a safety-critical system without finishing the testing of the system,b) Refusing to undertake a project,c) Agreement in principle with the policies of senior management,d) All of the mentioned,a,Explanation: None.
Question 5,5. Identify the correct statement: “Software engineers shall,a) act in a manner that is in the best interests of his expertise and favour.”,b) act consistently with the public interest.”,c) ensure that their products only meet the SRS.”,d) all of the mentioned,b,Explanation: Software engineers shall act in a manner that is in the best interests of their client and employer consistent with the public interest and shall ensure that their products and related modifications meet the highest professional standards possible.Thus options a & c are ruled out.
Question 6,6. Select the incorrect statement: “Software engineers should,a) not knowingly accept work that is outside your competence.”,b) not use your technical skills to misuse other people’s computers.”,c) be dependent on their colleagues.”,d) maintain integrity and independence in their professional judgment.”,c,Explanation:None.
Question 7,7. Efficiency in a software product does not include ________,a) responsiveness,b) licensing,c) memory utilization,d) processing time,b,Explanation: Licensing of a software product comes under corporate part of the software company.
Question 8,"8. As per an IBM report, “31%of the project get cancelled before they are completed, 53% overrun their cost estimates by an average of 189% and for every 100 projects, there are 94 restarts”.What is the reason for these statistics ?",a) Lack of adequate training in software engineering,b) Lack of software ethics and understanding,c) Management issues in the company,d) All of the mentioned,a,"Explanation: Option b & c are a part of Software Engineering as a subject,hence option a covers them both."
Question 9,9. The reason for software bugs and failures is due to,a) Software companies,b) Software Developers,c) Both Software companies and Developers,d) All of the mentioned,c,"Explanation: Software companies are responsible for making policies and providing working atmosphere for the software development, so in turn these companies become a part of software development process.Bugs from developers side is no new thing. Thus option c answers the question."
Question 10,1. Which of these are not among the eight principles followed by Software Engineering Code of Ethics and Professional Practice ?,a) PUBLIC,b) PROFESSION,c) PRODUCT,d) ENVIRONMENT,d,"Explanation: Rest all are clauses for software ethics, environment does not focus on specific clause nor its of importace related to question."
