Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The ______ format is usually used to store data.,a) BCD,b) Decimal,c) Hexadecimal,d) Octal,a,Explanation: The data usually used by computers have to be stored and represented in a particular format for ease of use. 
Question 2,2. The 8-bit encoding format used to store data in a computer is ______,a) ASCII,b) EBCDIC,c) ANCI,d) USCII,b,Explanation: The data to be stored in the computers have to be encoded in a particular way so as to provide secure processing of the data. 
Question 3,3. A source program is usually in _______,a) Assembly language,b) Machine level language,c) High-level language,d) Natural language,c,Explanation: The program written and before being compiled or assembled is called as a source program.
Question 4,4. Which memory device is generally made of semiconductors?,a) RAM,b) Hard-disk,c) Floppy disk,d) Cd disk,a,Explanation: Memory devices are usually made of semiconductors for faster manipulation of the contents.
Question 5,"5. The small extremely fast, RAM’s are called as _______",a) Cache,b) Heaps,c) Accumulators,d) Stacks,a,Explanation: These small and fast memory devices are compared to RAM because they optimize the performance of the system and they only keep files which are required by the current process in them 
Question 6,6. The ALU makes use of _______ to store the intermediate results.,a) Accumulators,b) Registers,c) Heap,d) Stack,a,"Explanation: The ALU is the computational center of the CPU. It performs all the mathematical and logical operations. In order to perform better, it uses some internal memory spaces to store immediate results."
Question 7,7. The control unit controls other units by generating ____,a) Control signals,b) Timing signals,c) Transfer signals,d) Command Signals,b,"Explanation: This unit is used to control and coordinate between the various parts and components of the CPU."
Question 8,"8. ______ are numbers and encoded characters, generally used as operands.",a) Input,b) Data,c) Information,d) Stored Values,b,Explanation: None. 
Question 9,9. The Input devices can send information to the processor.,a) When the SIN status flag is set,b) When the data arrives regardless of the SIN flag,c) Neither of the cases,d) Either of the cases,a,Explanation: The input devices use buffers to store the data received and when the buffer has some data it sends it to the processor. 
Question 10,10. ______ bus structure is usually used to connect I/O devices.,a) Single bus,b) Multiple bus,c) Star bus,d) Rambus,a,"Explanation: BUS is a bunch of wires which carry address, control signals and data. It is used to connect various components of the computer."
Question 11,11. The I/O interface required to connect the I/O device to the bus consists of ______,a) Address decoder and registers,b) Control circuits,"c) Address decoder, registers and Control circuits",d) Only Control circuits,c,Explanation: The I/O devices are connected to the CPU via BUS and to interact with the BUS they have an interface.
Question 12,12. To reduce the memory access time we generally make use of  ______,a) Heaps,b) Higher capacity RAM’s,c) SDRAM’s,d) Cache’s,d,Explanation: The time required to access a part of the memory for data retrieval. 
Question 13,13. ______ is generally used to increase the apparent size of physical memory.,a) Secondary memory,b) Virtual memory,c) Hard-disk,d) Disks,b,Explanation: Virtual memory is like an extension to the existing memory.
Question 14,14. MFC stands for ___________,a) Memory Format Caches,b) Memory Function Complete,c) Memory Find Command,d) Mass Format Command,b,Explanation: This is a system command enabled when a memory function is completed by a process.
Question 15,15. The time delay between two successive initiation of memory operation _______,a) Memory access time,b) Memory search time,c) Memory cycle time,d) Instruction delay,c,Explanation: The time is taken to finish one task and to start another.
Question 16,1. The decoded instruction is stored in ______,a) IR,b) PC,c) Registers,d) MDR,a,"Explanation: The instruction after obtained from the PC, is decoded and operands are fetched and stored in the IR. "
Question 17,"2. The instruction -> Add LOCA, R0 does _______",a) Adds the value of LOCA to R0 and stores in the temp register,b) Adds the value of R0 to the address of LOCA,c) Adds the values of both LOCA and R0 and stores it in R0,d) Adds the value of LOCA with a value in accumulator and stores it in R0,c,Explanation: None. 
Question 18,3. Which registers can interact with the secondary storage?,a) MAR,b) PC,c) IR,d) R0,a,Explanation: MAR can interact with secondary storage in order to fetch data from it.
Question 19,4. During the execution of a program which gets initialized first?,a) MDR,b) IR,c) PC,d) MAR,c,Explanation: For the execution of a process first the instruction is placed in the PC. 
Question 20,5. Which of the register/s of the processor is/are connected to Memory Bus?,a) PC,b) MAR,c) IR,d) Both PC and MAR,b,Explanation: MAR is connected to the memory BUS in order to access the memory 
Question 21,6. ISP stands for _________,a) Instruction Set Processor,b) Information Standard Processing,c) Interchange Standard Protocol,d) Interrupt Service Procedure,a,Explanation: None. 
Question 22,7. The internal Components of the processor are connected by _______,a) Processor intra-connectivity circuitry,b) Processor bus,c) Memory bus,d) Rambus,b,Explanation: The processor BUS is used to connect the various parts in order to provide a direct connection to the CPU.  
