Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of these truly defines Software design ?,a) Software design is an activity subjected to constraints,b) Software Design specifies nature and composition of software product,c) Software Design satisfies client needs and desires,d) All of the mentioned,d,Explanation: Software design explains all of the statements as its definition.
Question 2,2. Which among these is false ?,a) A process is collection of related tasks that transforms set of inputs to set of output,b) A design notation is a symbolic representational system,"c) A design heuristic is a rule proceeding guidance, with guarantee for achieving  some end",d) Software design method is orderly procedure for providing software design solutions,b,Explanation: A heuristic is a rule followed but there is no guarantee that we get output.
Question 3,3. Which of these describes stepwise refinement ?,a) Nicklaus Wirth described the first software engineering method as stepwise refinement,b) Stepwise refinement follows its existence from 1971,c) It is a top down approach,d) All of the mentioned,d,Explanation: It is top down approach and not bottom up.
Question 4,4. What is incorrect about structural design ?,a) Structural design introduced notations and heuristics,b) Structural design emphasis on procedural decomposition,c) The advantage is data flow representation,d) It follows Structure chart,c,Explanation: The biggest drawback or problem is data flow diagram of structure design.
Question 5,5. What is solution for Structural design ?,a) The specification model following data flow diagram,b) Procedures represented as bubbles,c) Specification model is structure chart showing procedure calling hierarchy  and flow of data in and out of procedures,d) Emphasizing  procedural decomposition,c,Explanation: It is solution to central problem. Rest others are problems.
Question 6,6. Which of these are followed by latest versions of structural design?,a) More detailed and flexible processes,b) Regular Notations,c) Wide support by CASE(Computer Aided Software Engineering),"d) Wide support by CASE, More detailed and flexible processes",d,Explanation: Notations used are more specialized and sophisticated one.
Question 7,7. The incorrect method for structural design is?,a) Transition of problem models to solution models,b) Handling of larger and more complex products,c) Designing Object oriented systems,d) More procedural approach,b,Explanation: It does not account for larger and complex products.
Question 8,8. What are followed by design task?,"a) Choosing specific classes, operations",b) Checking model’s completeness,c) Following design task heuristics,d) All of the mentioned,d,Explanation: All of these tasks are followed by design task.
Question 9,9. Which of these analysis are not acceptable ?,a) Object oriented design is far better approach compared to structural design,b) Object oriented design always dominates structural design,c)  Object oriented design are given more preference than structural design,d) Object oriented uses more specific notations,b,Explanation: Though object oriented design is considered far better approach but it never dominates structural approach.
Question 10,10. Which these does not represent object oriented design ?,a) It follows regular procedural decomposition in favor of class and object decomposition,b) Programs are thought of collection of objects,c)  Central model represents class diagrams that show the classes comprising a program and their relationships to one another,d) Object-oriented methods incorporates Structural methods,a,Explanation: It does not follow regular procedural decomposition.
Question 11,1. Software Design consists of ?,a) Software Product Design,b) Software Engineering Design,c) Software Product & Engineering Design,d) None of the mentioned,c,Explanation: Software design consists of product and engineering design.
Question 12,2. Which of these is true ?,a) Analysis – Solving problem,b) Design – Understanding problem,c) Analysis & Design,d) None of the mentioned,d,Explanation: Analysis- Understanding problem Resolution – Solving problem.
Question 13,3. Which of these are followed in case of software design process ?,a) Analysis occurs at start of product design with a product idea,b) Analysis occurs at the end of engineering design with the SRS,c) Product design resolution produces the design document,d) Engineering design resolution produces the SRS,a,"Explanation: Only statement one is true rest all are false. Analysis is at start of design, Product design resolution produces SRS."
Question 14,4. Which of these is not in sequence for generic  problem solving strategy ?,a) Understand the problem,b) Generate candidate solutions,c) Iterate if no solution is adequate,d) None of the mentioned,c,Explanation: Iteration is done at last stage.
Question 15,5. Which of these is not in sequence for generic design process ?,a) Analyze the Problem,b) Evaluate candidate solutions,c) Finalize the Design,d) None of the mentioned,b,Explanation: Evaluation is followed after Generation of candidate solutions.
Question 16,6. Why do you think iteration is important for design ?,a) To frequently reanalyze the problem,b) To generate and improve solutions only once for better output,c) All of the mentioned,d) None of the mentioned,a,Explanation: It has to follow both in order to complete iteration process.
