Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Subdivision/layout plan which shall be drawn on a scale of not less than _______,a) 1:100,b) 1:500,c) 1:1000,d) 1:50,b,"Explanation: As per National Building Code, scale for Layout plan is specified as 1:500. In this plan, location of all proposed and existing roads, dimensions of plot along with building line, locations of sewer and drainage line etc. are mandatory."
Question 2,2. The plan of the buildings and elevations and sections accompanying the notice,shall be drawn to a scale _____,a) 1:10,b) 1:50,c) 1:100,c,Explanation: This plan includes floor plans which shows the use or occupancy of all parts of the building. Hence this parts needs to be large enough for the Engineers to understand well. Therefore NBC have specified scale of 1:100.
Question 3,"3. A _____ line usually parallel to the plot boundaries and laid down in each case by the Authority, beyond which nothing can be constructed towards the site boundaries.",a) Building line,b) Control line,c) Property line,d) Plot line,a,"Explanation: Building line or Set-back is provided to avoid traffic congestion in front of the building. Buildings like mall, multi-complexes, factories, etc. which attract large number of vehicles, should have be set-back a further distance apart from the building line. This line after this extra margin is called as Control Line. "
Question 4,4. The ratio of the total floor area inclusive of all the floors to the area of the plot on which building stands is known as _____,a) Groundage,b) Plot area,c) Floor area,d) Built-up area,d,Explanation: It is also known as the Floor Space Index (FSI) or Floor Area Ratio (FAR). The value of built-up area is determined by local authorities and it may be different for different areas for different buildings of the town. Floor area means built up area excluding area of walls.
Question 5,5. The aggregate area of doors and windows shall not be less than _____ of the floor area of room.,a) 1/10,b) 1/9,c) 1/7,d) 1/6,c,"Explanation: As per IS code, if the area is less than the specified area, occupants of the building will not receive enough lighting and ventilation. The area of such openings excluding area of doors should be minimum 1/10  of the floor area for dry-hot climate and minimum 1/6 of the area for wet-hot climate. "
Question 6,6. The placing of various rooms or units of a structure in proper correlation of their functions and in due proximity with each other is known as _____,a) Aspect,b) Prospect,c) Circulation,d) Grouping,d,"Explanation: Grouping is the proper arrangement of rooms according to their functions leads to better planning of a building. It is observed that grouping leads to saving in unnecessary movements, proper correlation, easy control and overall economy."
Question 7,7. The term ______ is used to mean the external views as seen from certain rooms of the building.,a) Aspect,b) Prospect,c) Elegance,d) Roominess,b,Explanation: Prospect is dictated by the surrounding peculiarities of the site of the project. This can help us to conceal some unwanted views and reveal the beauty of the building.
Question 8,8. The area on the earth which lies between the zones of cancer and Capricom is known as the _______,a) Tropic zone,b) Frigid zone,c) Torrid zone,d) Arctic zone,a,"Explanation: Topic zone lies between zone of cancer (i.e. 231/2  degree north latitude) and Capricom (i.e. 231/2  degree south latitude). The typical features of tropical countries are burning sun, fixed seasons and rainfall which is heavy, moderate and with storm."
Question 9,9. Landscape architecture comes under in which principle of planning?,a) Function,b) Form,c) Aesthetic,d) Elegance,c,Explanation: Aesthetic plays major role in the architectural landscaping. It includes the appearance of the building and overall beauty. Whereas function and form are both same which deals with the utility of the rooms according to their functions.
Question 10,10. When building bye-laws came into force?,a) April 1984,b) July 1983,c) April 1983,d) July 1972,a,Explanation: Building bye-laws came into force on April 1984. This local law was framed by the subordinate authority. Its specifications are designed to minimum safeguard to the workers during construction; to the health and comfort of users; and to provide enough safety to the public in general.
Question 11,"1. Burnings sun, fixed seasons and rainfall which is heavy, moderate and with storm are the typical features of _______",a) Cancer zone,b) Capricom zone,c) Torrid zone,d) Tropical zone,d,Explanation: The area on earth which lies between the zone of cancer and Capricom is known as the tropics. Whole part of India is considered to be typically tropical climate.
Question 12,2. The tropical climate which consists of heat waves hot winds and low humidity comes under which climatic conditions?,a) Hot-wet,b) Hot-dry,c) Cool-dry,d) Rainy,b,Explanation: Hot-dry places are cool in winter. The maximum day temperature in summer will be about 27°C to 42°C and the night temperature will be moderate say about 15°C to 25°C.
Question 13,3. Which city of Maharashtra experiences Hot-dry climatic conditions.,a) Nagpur,b) Hyderabad,c) Mumbai,d) Nashik,a,"Explanation: Ahmedabad, Nagpur and similar other places situated away from the coastal regions are the typical example of experiencing hot dry climate. These regions are famous for highest temperature records in India during summer season."
Question 14,4. Which type of climate consists of high humidity throughout the year and even in the dry season with variations in day and night temperatures.,a) Hot wet,b) Hot dry,c) Cool dry,d) Rainy,a,Explanation: The temperature ranges in hot season and cold season or 25°C to 30°C and 10°C to 22°C respectively. Bombay which is situated near the sea is a typical example of experiencing hot wet or humid climate. 
