Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"1.	In sedimentation analysis the soil fraction should be of what micron size, so as to be kept in a liquid medium (water).","a)	75","b)	83","c)	57","d)	70",a,Explanation:  According to Indian standards the soil fraction is set as 75 micron to be used in a liquid medium.
Question 2,"2.	The sedimentation analysis is done with the help of________","a)	Hydrometer and Pipette","b)	Sieve",c)      All of the mentioned,"d)	None of the mentioned",a,Explanation: Both hydrometer and pipette method can be used for taking sedimentation analysis.
Question 3,"3.	The time for a  particle to settle, of diameter 0.06 through a height of 10 cm is_________","a)	25.8 s","b)	42 m 59 s","c)	3 m 52 s","d)	42.8 s",a,Explanation: Based on the time of settlement of particles of various diameters it is found that minimum time of 25.8 s is needed for a particle to settle of diameter 0.006 mm.
Question 4,"4.	 Which of the following assumptions is wrong, with respect to sedimentation analysis?","a)	The soil particles are spherical","b)	Particle settle independent of other particles do not have any effect on its velocity of settlements","c)	Soil particles has different specific gravity","d)	The walls of jar, in which the suspension is kept do not affect the settlement",c,"        Explanation: In sedimentation analysis, soil particle has average specific gravity."
Question 5,"5.	The sedimentation analysis is based on _________ law.","a)	Stoke","b)	Cullman’s","c)	Rankine’s","d)	None of the mentioned",a,"Explanation: The sedimentation analysis is based on stokes law according to which the velocity at which the grains settles down depend on shape, size, weight of grain."
Question 6,"6.	In the formula, f=105√(300 _/(g-1)Vw),the factor _ depends on__________","a)	Pressure","b)	Velocity","c)	Temperature","d)	Specific gravity",c,"Explanation: Since _=viscosity of water/liquid, it can be affected by temperature."
Question 7,"7.	The lower limit of particle size allowed in sedimentation analysis is________","a)	0.0002 mm","b)	0.04 mm","c)	0.074 mm","d)	0.0004 mm",a,Explanation: The particle smaller than 0.0002 mm is affected by Brownian movement and stokes  law remains no longer valid. 
Question 8,"8.	1 poise  is equivalent to _________","a)	0.5 NS/m2","b)	0.1 NS/ m2","c)	10-4 K NS/ m2","d)	0.8 NS/ m2",b,"Explanation: As,1 poise =1/10 NS/ m2                      1 poise =0.1 NS/ m2."
Question 9,"9.	The unit weight of water in v=(2/g)r2(Vs-Vw/_) is taken as________","a)	9.81 kn/m2","b)	98.1 n/m2","c)	0.981 kn/m2","d)	9.81 n/m3",a,Explanation:The constant value of unit weight of water/liquid is taken as _w=9.81 kn/m2.
Question 10,"10.	Viscosity of water/liquid (_) is expressed in________","a)	KN-s/m3","b)	Ns/m2","c)	KN-s/m2","d)	Ns/m",c,Explanation: The viscosity of distilled water in sedimentation analysis is taken as 0.00855 KN-s/m2.
Question 11,"1.	Which of the following, cannot be used as a dispersing agent?","a)	Sodium oxalate","b)	Sodium polyphosphate","c)	Sodium silicate","d)	Sodium oxide",d,"Answer: dExplanation: sodium oxide cannot be used as a dispersing agent in preparing soil suspension."
Question 12,"2.	The process of removal of organic matter and calcium compounds in dispersion method is__________","a)	Pretreatment","b)	Sedimentation","c)	Evaporation","d)	None of the mentioned",a,"Answer: aExplanation: Pretreatment is the process of removal of organic matter and calcium compounds in dispersion method."
Question 13,"3.	Which of the following are used as a standard sedimentation method in laboratory?","a)	Sedimentation analysis method","b)	Hydrometer method","c)	Pipette method","d)	Sand replacement method",c,"Answer: cExplanation: Pipette method is used as a standard sedimentation method than hydrometer in laboratory."
Question 14,"4.	The dispersing agent which are added to soil in pipette method  may also be referred to",as__________,"a)	Deflocculating agent","b)	Calgon","c)	Mechanical agent",a,"Answer: aExplanation: To have a proper dispersion of the soil, Deflocculating agent is used as a dispersing agent."
Question 15,"5.	In pipette method of sedimentation analysis, the soil is treated with__________ to remove organic matter in           it.","a)	Hydrochloric acid","b)	Sodium oxalate","c)	Hydrogen peroxide","d)	Sodium silicate",c,"Answer: cExplanation: The soil is treated with hydrogen peroxide to remove organic matter."
Question 16,"6.	In pipette analysis apparatus  ,the water outlet is present at __________","a)	Top","b)	Bottom","c)	Middle","d)	Slightly above bottom",c,"Answer: cExplanation: The water outlet is present at middle of the pipette analysis apparatus."
Question 17,"7.	The recommended time interval  for the drainage in pipette analysis is__________","a)	1/2,1,2,4,8,15, and 30 min","b)	2,4,6,12,20 and 30 min","c)	1,8,16,24 min","d)	24,30,34,40,46 min",a,"Answer: aExplanation: The time interval for drainage of water in pipette analysis is _, 1,2,4,8, 15 and 30 min."
Question 18,"8.	Which of the following is not a disadvantage, in using the pipette method for sedimentation analysis?","a)	The apparatus is very simple","b)	Requires very accurate weight","c)	It requires more time","d)	The method of process is simple",d,"Answer: dExplanation: In pipette method, the method of process is simple."
Question 19,"9.	The volume (or) capacity of boiling tube taken in pipette method is about__________","a)	750 ml","b)	1000 ml","c)	500 ml","d)	800 ml",c,"Answer: cExplanation: The boiling tube of 500 ml capacity is used in pipette analysis apparatus."
Question 20,"10.	The dispersing agents in  soil particle, may act as__________","a)	Cementing agent","b)	Separating agent","c)	Soluble agent","d)	Deflocculating  agent",a,"Answer: aExplanation: The dispersing agents that are mixed with soil particle act as a cementing soluble to withhold the particles present."
Question 21,"11.	The Sodium hexametaphosphate used in  soil suspension  may be also called__________","a)	Deflocculating agent","b)	Calgon","c)	Aggregate","d)	None of the mentioned",b,"Answer: bExplanation: Sodium hexametaphosphate, which is used in preparing soil suspension is also called as calgon."
Question 22,"1.	In hydrometer method, the sampling depth h is kept at a constant  of__________","a)	14 cm","b)	9 cm","c)	8 cm","d)	10 cm",d,"Answer: dExplanation:  The sampling depth (h) in hydrometer method is taken as 10 cm."
Question 23,"2.	 In calibration of hydrometer reading ,the reduced reading are designated as__________","a)	RS","b)	RH","c)	RR","d)	RL",b,"Answer: bExplanation: The reducing reading is designated as RH, which is used for calibration of hydrometer."
Question 24,"3.	The dispersing agent correction in hydrometer reading is always__________","a)	Positive","b)	Both negative and positive","c)	Negative","d)	Equal",c,"Answer: cExplanation: The addition of dispersing agent in water increases its water level, therefore the dispersing correction is always negative."
Question 25,"4.	The hydrometer method differs from pipette method on the basis of which of the following?","a)	Principle of test","b)	Taking the observation","c)	Method of procedure","d)	None of the mentioned",b,"Answer: bExplanation: In sedimentation analysis the hydrometer method differs from pipette method in the method of taking the observation."
Question 26,"5.	The corrections which are applied to the hydrometer reading ,in  hydrometer method is_______","a)	Meniscus correctionc and Dispersing agent correction","b)	Magnitude correction",c)      All of the mentioned,"d)	None of the mentioned",a,"Answer: aExplanation:  Both meniscus and dispersing agent correction are applied to a hydrometer reading."
Question 27,"6.	The meniscus correction in hydrometer reading is___________","a)	Always positive","b)	Always negative","c)	Negative sometime","d)	Positive sometime",a,"Answer: aExplanation: The actual reading to be taken at water level will be more; hence the meniscus correction will be always positive."
