Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The main objective of transportation is?,a) Economical transport of goods,b) Economical transport of passengers,c) To generate revenue,d) Safe economical and efficient transport of goods and passengers,d,"Explanation: The main objective of a good transportation system is to provide safe economical, efficient transportation for the facility of passengers and transport of goods."
Question 2,2. The factors influencing the cost of transportation are?,a) Supply,b) Demand,c) Both supply and demand,d) Cost of land,c,Explanation: Increased productivity of various items such as agricultural and their distribution can lower the cost of products. The cost of transportation substantially reduces the prices.
Question 3,3. Which is the most flexible type of transportation available?,a) Roadway,b) Railway,c) Waterway,d) Airway,a,"Explanation: The other 3 types of transport systems have to depend upon the roads to reach their destination point from the terminals that is railway station, harbours and airports."
Question 4,4. The transportation system that requires a low initial investment among the following is?,a) Roadway,b) Railway,c) Harbour,d) Airport,a,Explanation: The Roadway requires a cheaper initial investment when compared to the other 3 networks and it is the only system that provides equal facility for everyone in the society.
Question 5,5. The PMGSY aims to connect all villages under population of 500 by which year?,a) 2003,b) 2004,c) 2005,d) 2007,d,Explanation: The PMGSY aims to connect all the villages of population above 1000 by 2003 and population below 500 by 2007 it later became a part of bharat nirman programme.
Question 6,6. The road density in India in km per 100 sq. km land area in 2008 is?,a) 100,b) 110,c) 129,d) 150,c,Explanation: The road density is mean length of state roads per 100km2 so it is highly uneven in India.
Question 7,7. The PMGSY was launched in the year?,a) 2000,b) 2002,c) 2003,d) 2004,a,Explanation: The PMGSY was launched in the year 2000. The main aim of this programme was to connect the rural roads by the year 2007.
Question 8,8. The current road length in India is in which position in the world?,a) 1st,b) 2nd,c) 3rd,d) 4th,b,"Explanation: The total roadway length in India is around5, 532,482km in march 2015 which is the 2nd largest network in the world."
Question 9,9. The current highway development works in India are undertaken by?,a) NHAI,b) Govt. of India,c) State governments,d) NHDP,a,"Explanation: The highway works all across the country are undertaken by NHAI, It was formed in 1988 and it has mandate to follow all the NHDP (national highway development programme) which is implemented in phases."
Question 10,10. The scope of highway engineering is divided into how many parts.,a)  One,b) Two,c) Three,d) Four,b,Explanation: The scope of highway engineering is divided into 2 parts called phases and details. In these phases overall review is given and in the details it is planned in detail.
Question 11,1. The main features of the roman road do not include the following?,a) They were built straight,b) They were strong,c) They excavated soft soil till hard strata was obtained,d) The total thickness was 0.75m to 1.2m,b,Explanation: The romans built roads by excavating till the hard strata they were much stronger than required for animal drawn carts that time.
