Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Who among these is an ancient linguist of India?,a) Patanjali,b) Tista Bagchi,c) Noam Chomsky,d) Kshetresa Chandra Chattopadhyaya,a,"Explanation: Linguistics is the study of language. Patanjali, the ancient linguist of India, considered it as a human expression uttered out by speech organs. The other three are modern linguists belonging to 19th and 20th century. "
Question 2,"2.  To which of these people, language is a means to interpret human experience?",a) Anthropologist,b) Sociologist,c) Philosopher,d) Students of literature,c,"Explanation: Language means different things to different people. To an anthropologist, it is a form of cultural behaviour whereas to a sociologist, it is a means of communication between members of a social group. Students of literature may consider it as an artistic medium, while those of philosophy may consider it a means to interpret human experience. "
Question 3,"4. Which of these words are based on the phenomena, ‘Onomatopoeia ‘?",a) Cuckoo,b) Book,c) Door,d) Blackboard,a,"Explanation: Language is arbitrary, that is there is no logical link between any gjven feature of a language and its meaning. The only exception is in the case of onomatopoeia, where the words imitate the sounds of their referents. Here, cuckoo is the sound made by the bird which is how the bird got its name."
Question 4,5. Which of these is not a type of linguistics?,a) Historical,b) Personal,c) Comparative,d) Synchronic,b,"Explanation: Linguistics is a scientific study of language. It can be divided into three types namely : Historical or Diachronic Linguistics, Synchronic Linguistics and Comparative Linguistics. "
Question 5,6. Which of these finds out how a certain set of people use a language at a given time?,a) Diachronic Linguistics,b) Comparative Linguistics,c) Synchronic Linguistics,d) Historical Linguistics,c,Explanation: Synchronic Linguistics finds out how a certain set of people use a language at a given time. Historical or Diachronic Linguistics studies the link between language and history. Comparative Linguistics studies the comparison between two or more languages. 
Question 6,7. Which of these is not a level of language?,a) Phonology,b) Grammar,c) Running,d) Semantics,c,"Explanation: R.H. Robins recommends three levels of structure of language.  These are phonology, grammar and semantics. "
Question 7,8. Which of these terms refers to the study of speech sounds of a given language and their function within the sound system of that language?,a) Phonetics,b) Phonology,c) Syntax,d) Morphology,b,Explanation: Phonology refers to the study of speech sounds of a given language and their function within the sound system. Phonetics is the study of speech process. Syntax and Morphology are sub-levels of the grammatical system.
Question 8,"9. Which of these is the study of meaning of words, and the development of the meaning of words?",a) Morphemics,b) Phonetics,c) Semantics,d) Syntax,c,"Explanation: Semantics is the study of the meaning of words, and the developments of the meaning of words. The smallest unit of semantics is semene, which is the minimum functional unit of meaning. "
Question 9,10.   ,What are (1) and (2) ?,a) 1) – Phonetics and 2) – Phonology,b) 1) – Syntax and 2) – Morphology,c) 1) – Syntax and 2) – Phonetics,b,"Explanation: Grammatical level can be divided into 2 broad levels. These are Syntax and Morphology.  Syntax is the science to study and lay down the rules regarding the grammatical arrangement of words in a sentence. Morphology is the study and analysis of the structure, form and classes of words."
Question 10,1. Which of these terms refer to the study of speech process?,a) Phonology,b) Phonetic substances,c) Phonetics,d) Semantics,c,"Explanation: Phonetics is the study of speech processes. It includes the anatomy, neurology and pathology of speech. It also includes the articulation, classification and perception of speech sounds. "
Question 11,2.  Which of these is not a type of phonetics?,a) Articulatory,b) Personal,c) Acoustic,d) Auditory,b,"Explanation: Phonetics can be divided into three main branches. These are Articulatory phonetics, Accoustic phonetics and Auditory phonetics. "
Question 12,4. Which of these terms refer to the study of hearing and perception of speech sounds?,a) Articulatory phonetics,b) Accoustic phonetics,c) Auditory phonetics,d) Laboratory phonetics,c,Explanation: Auditory phonetics is the study of hearing and perception of speech sounds. Articulatory phonetics deals with the movement of speech organs whereas Accoustic phonetics deals with the physical properties of speech sounds.
Question 13,6. What is the term used for ingressive air-sounds produced?,a) Claps,b) Snap,c) Clicks,d) Beats,c,"Explanation: Normally, speech sounds are produced on egressive pulmonic air-stream during exhilaration. In few cases, ingressive air sounds are also made. Such speech sounds are called clicks."
Question 14,7. Which of these refer to the sound features of a language?,a) Morphemics,b) Phonetic substances,c) Phonetics,d) Syntax,b,"Explanation: Phonetic substances refer to the sound features of a language, as studied by articulatory, accoustic and auditory phonetics. Morphemics is the synchronic study of words. "
Question 15,8. What does the phonetic symbol d represent?,a) Voiced bilabial plosive,b) Voiceless palatal plosive,c) Voiced alveolor plosive,d) Voiced dental fricative,c,Explanation: The symbol d refers to Voiced alveolor plosive. The symbol b refers to Voiced bilabial plosive and c refers to Voiceless palatal plosive.
Question 16,9. What is the full form of IPA?,a) Indian Phonetic Alphabet,b) International Phonetic Alphabet,c) International Phonetic Agreement,d) Indian Phonetic Agreement,b,"Explanation: IPA is International Phonetic Alphabet which provides a uniform international medium for studying and transcribing sounds of all languages of the world. In case of English, it assists in creating international intelligibility in pronunciation. "
Question 17,10. What does the sign /  /  represent?,a) Phonetic transcription,b) Centralization,c) Voiced bilabial nasal,d) Rising- falling pitch,a,Explanation: Phonetic transcription is represented by /   /.  Centralization is represented by “. Voiced bilabial nasal is represented by m. 
Question 18,2. What is a consonant called when it is placed at the end of a syllable?,a) Releasing consonant,b) Arresting consonant,c) Dental consonant,d) Alveolar consonant,b,"Explanation: When a consonant is placed at the end of a syllable, it is called an arresting consonant. When it is placed at the beginning of a syllable, it is called a releasing consonant. "
