Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,3 5 11 14 17 21,21,17,14,3,C, Each of the numbers except 14 is an odd number.The number '14' is the only EVEN number.
Question  2,8 27 64 100 125 216 343,27,100,125,343,B, The pattern is 23 33 43 53 63 73. But 100 is not a perfect cube.
Question 3,10 25 45 54 60 75 80,10,45,54,75,C, Each of the numbers except 54 is multiple of 5.
Question 4,396 462 572 427 671 264,396,427,671,264,B, In each number except 427 the middle digit is the sum of other two.
Question 5,6 9 15 21 24 28 30,28,21,24,30,A, Each of the numbers except 28 is a multiple of 3.
Question 6,1 4 9 16 23 25 36,9,23,25,36,B, Each of the numbers except 23 is perfect square.
Question 7,1 4 9 16 20 36 49,1,9,20,49,C, The pattern is 12 22 32 42 52 62 72. But instead of 52 it is 20 which to be turned out.
Question 8,2 5 10 17 26 37 50 64,50,26,37,64,D, (1*1)+1  (2*2)+1  (3*3)+1  (4*4)+1  (5*5)+1  (6*6)+1  (7*7)+1  (8*8)+1But 64 is out of pattern.
Question 9,10 14 16 18 21 24 26,26,24,21,18,C, Each of the numbers except 21 is an even number.
Question 10,16 25 36 72 144 196 225,36,72,196,225,B, Each of the numbers except 72 is a perfect square.
Question 11,331 482 551 263 383 362 284,263,383,331,551,B, In each number except 383 the product of first and third digits is the middle one.
Question 12,835 734 642 751 853 981 532,751,853,981,532,A, In each number except 751 the difference of third and first digit is the middle one.
Question 13,41 43 47 53 61 71 73 81,61,71,73,81,D, Each of the numbers except 81 is a prime number.
Question 14,3 5 7 12 17 19,19,17,5,12,D, Each of the numbers is a prime number except 12.
Question 15,Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months 8 months and 7 months respectively. What was the ratio of their investments?,5:07:08,0.868101852,38:28:21,None of these,B, Let their investments be Rs. x for 14 months Rs. y for 8 months and Rs. z for 7 months respectively.Then 14x : 8y : 7z = 5 : 7 : 8.Now 14x/8y = 5/7 ‰àÕ 98x = 40y‰àÕ y = 49x/20And 14x/7z = 5/8‰àÕ 112x = 35z‰àÕ z = 112x/35 = 16x/5So x : y : z = x : 49x/20 : 16x/5 ---- (Multiple by 20)‰àÕ 20 : 49 : 64.
Question 16,Three partners A  B  C start a business . B's Capital is four times C's capital and twice A's capital is equal to thrice B's capital . If the total profit is Rs 16500 at the end of a year Find out B's share in it.,Rs. 4000,Rs. 5000,Rs. 6000,Rs. 7000,C, Suppose C's capital = x thenB's capital = 4x (Since B's Capital is four times C's capital)A's capital = 6x ( Since twice A's capital is equal to thrice B's capital)A:B:C =6 x : 4x : x= 6 : 4 : 1B's share = 16500 * (4/11) = 1500*4 = 6000.
Question 17,Kamal started a business investing Rs 9000. After five months Sameer joined with a capital of Rs 8000. If at the end of the year they earn a profit of Rs. 6970 then what will be the share of Sameer in the profit ?,Rs 2380,Rs 2300,Rs 2280,Rs 2260,A, Now as per question Kamal invested for 12 months and Sameer invested for 7 months.So Kamal: Sameer = (9000*12):(8000*7)= 108 : 56= 27 : 14Sameer Ratio in profit will be =(6970*14/41)=Rs 2380.
Question 18,P and Q invested in a business. The profit earned was divided in the ratio 2 : 3. If P invested Rs 40000 the amount invested by Q is,Rs. 40000,Rs. 50000,Rs. 60000,Rs. 70000,C, Let the amount invested by Q = q.40000 : q = 2 : 3.=> 40000/q = 2/3.=> q = 40000 * (3/2) = Rs. 60000.
Question 19,If 4 (P's Capital ) = 6 ( Q's Capital ) = 10 ( R's Capital )  then out of the total profit of Rs 4650  R will receive,Rs. 600,Rs. 700,Rs. 800,Rs. 900,D, LetP's capital = pQ's capital = q andR's capital = r.Then4p = 6q = 10r=> 2p = 3q = 5r=>q = 2p/3r = 2p/5P : Q : R = p : 2p/3 : 2p/5 (multiple by 15)= 15 : 10 : 6R's share = 4650 * (6/31) = 150*6 = Rs. 900.
Question 20,A B C rent a pasture. A puts 10 oxen for 7 months B puts 12 oxen for 5 months and C puts 15 oxen for 3 months for grazing. If the rent of the pasture is Rs. 175 how much must C pay as his share of rent?,Rs. 45,Rs. 50,Rs. 55,Rs. 60,A, A : B : C = (10 * 7) : (12 * 5) : (15 * 3) = 70 : 60 : 45 = 14 : 12 : 9.C's rent = Rs.(175 * 9/35) = Rs. 45.
