Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Section 9 of the Banking Regulation Act prohibits the banking Companies from holding any immovable property except for its own use for a period of not more property. The RBI may extend this period for a further period of ______:,2 years,4 years,5 years,6 years,C,No explanation
Question 2,Which of the following stock exchange is derecognized by SEBI on 19.11.2014 on the allegations of serious irregularities in its functioning?,Bombay Stock Exchange,Delhi Stock Exchange,Calcutta Stock Exchange,Bangalore Stock Exchange,B,No explanation
Question 3,Which of the following is not a function of General Insurance?,Cattle Insurance,Crop Insurance,Fire Insurance,Medical Insurance,D,No explanation
Question 4,Liability- side of the balance-sheet comprises:,Capital and reserve,Long-term liabilities,Current liabilities,All of the above,D,No explanation
Question 5,Minimum cash reserves fixed by law constitute ___,A percentage of aggregate deposits of the bank,A percentage of aggregate loans and advances of the bank,A percentage of capital & reserves of the bank,None of these,A,No explanation
Question 6,Which of the following organizations/ agencies has sought an emergency fund of Rs.1000 crore from banks to tackle acute liquidity crisis which is coming in the way to give loans to micro borrowers?,Regional Rural & Cooperative Banks,RBI,Micro Finance Institutions,NABARD,D,No explanation
Question 7,"Which of the following types of accounts are known as ""Demat Accounts""?",Zero Balance Accounts,Accounts which are opened to facilitate repayment of a loan taken from the bank. No other business can be conducted from there,Accounts in which shares of various companies are traded in electronic form,Accounts which are operated through internet banking facility,C,No explanation
Question 8,Mortgage is a:,Security on movable property for a loan,Security on immovable property for a loan,Concession on immovable property,Facility on immovable property,B,No explanation
Question 9,___ assumed charge as the Minister of State for Micro Small & Medium Enterprises (MSME) on 11th November 2014.,Gopal Singh,Veerabhadra Singh,Manoj Tiwari,Giriraj Singh,D,No explanation
Question 10,Identify the well known person related to Banking field in India from the following?,Mrs. Meira Kumar,Mrs. Kiran Shaw,Mr. Arun Jaitley,Dr. D Subbarao,D,No explanation
Question 11,Currency notes deposited in the currency chest are the property of ____?,Respective bank,RBI,SBI,Government of India,B,No explanation
Question 12,A fixed deposit receipt is kept with the bank for its safety is known as ___?,Safe custody,Safe deposit,Locker,Valid safe deposit,A,No explanation
Question 13,Who among the following is the primary regulator of Banking business?,Reserve Bank of India,Central Government,State Government,Parliament,E,No explanation
Question 14,The main business of banks is to accept deposits from the public. However a bank can refuse to permit opening an account on behalf of _______:,Undesirable persons,Artificial persons,Arrested persons,Convicted persons,A,No explanation
Question 15,If a company which is not a non - banking financial company wants to collect public deposits it is governed by ___ Act,RBI Act 1934,Banking companies Act,Companies Act 1956,Central Government,C,No explanation
Question 16,Companies whose main business is not financing or lending are permitted to accept deposits under section 45(s) of RBI Act only from:,Public,Relatives in the from of loans,Friends,None of these,A,No explanation
Question 17,Every Banking company is required to use the word Bank in its name and no company other than a Banking company can use the words Bank Banker or Banking as a part of its name as per:,Section 7 of Banking Regulation Act,Section 7 of RBI Act,Section 7 of SEBI Act,Section 7 of Nationalization Act,A,No explanation
Question 18,In India it is necessary to have license from the RBI for opening a new branch. This is a requirement under ____ Act,Section 22 of banking Regulation Act,Section 22 of RBI Act,Section 22 of NABARD,KYC Guidelines by RBI,A,No explanation
Question 19,Section 6(A) of B.R. Act has given the list of ancillary services which can be rendered by a Bank under the Banking Regulation Act. in the event that a Bank wants to undertake any other services (other than the list):,The bank can seek authority from the RBI,Board of directors of that Bank can decide the business suitable to the bank,It can be decided by the Bank in the shareholders meeting,Bank can do so if that business is notified by the Central Government as the lawful business of a Banking company,D,No explanation
Question 20,Banking Companies are prohibited under Sec 8 of banking Regulation Act to sell and purchase securities. Yet Banks are selling securities (of the customer) which are under pledge as permitted by:,Indian Contract Act,SARFAESI Act,Government Notification,Banking Regulation Act,D,No explanation
Question 21,Cryptocurrency is a _______ .,Plastic Money.,Digital Medium of Exchange,Digital payment,Both A & B,B,No explanation
Question 22,Computer Emergency Response Team India comes under ___________.,Ministry of Communications and Information Technology,Ministry of Commerce.,RBI,Department of Information & Technology.,A,No explanation
Question 23,Which country did not participated in the 44th World Economic Forum ?,India,Israel,Iran,None of these,D,No explanation
Question 24,Which panel is scrutinizing applications for new bank licences.,P Chidamabram,C.N.R. Rao Panel,Bimal Jalan Panel,Raghuram Rajan,C,No explanation
Question 25,Which one is not the most common objective of Banking regulations ?,Systematic Risk Reduction,Credit Allocation,Prudential Objectives,Market Discipline,D,No explanation
Question 26,Which statement is not correct about Capital Adequacy Ratio ?,It is a thermometer of Bank‰Ûªs Health.,It is the ratio of its Capital to its Risk.,It can indicate the Capacity of the Bank‰Ûªs ability to absorb the possible losses.,A good CAR makes vulnerable to the Depositors and lose faith in the banking system.,C,No explanation
Question 27,In which year India become a member of Financial Action Task Force ?,1978,2000,2010,1994,C,No explanation
Question 28,__________ was appointed by PM in July 2012 to look into taxation of IT sector.,Rangachary committee,Bimal Jalan Committee,C N R Rao Committee,Damodran Committee,A,No explanation
Question 29,In April 2013 A Bill has been introduced in the Lok Sabha to raise the authorised capital of the Regional Rural Banks to Rs _____ .,1000 Crore,500 Crore,2500 Crore,5 Crore,B,No explanation
Question 30,In Take Out Financing there is/are how many parties involve ?,One,Two,Three,Four,C,No explanation
Question 31,In India main Products of Retail Banking are ________.,Loan products,Card Products,Deposit Products,All of these,D,No explanation
Question 32,Microcredit is defined as _____.,It is the small credit given to poor.,It is the instalment given by Farmers against Loan.,It is the amount given by Govt. for Small Industries Development.,None of these.,A,No explanation
Question 33,Priority Sector does not includes the _____.,Agricultural Finance,Education Loans,Housing loans,Life Insurance Policy,D,No explanation
Question 34,Kelkar Committee Gave recommendations on ___________.,Tax Structure Reforms,Delisting in Share market,Broad Frame work of Insurance Sector,Company Law Reforms,A,No explanation
Question 35,Which one is not the Government Securities ?,T- Bill.,Floating rate Bonds,Dated Securities,Call/Put Option Bonds.,A,No explanation
Question 36,Your Perfect banking Partner is the punch line of ______ Bank.,Bank of Maharastra,UTI Bank,BOB,Federal Bank,D,No explanation
Question 37,Head office of Bank of Maharashtra is located at ________.,New Delhi,Bhopal,Pune,Mumbai,C,No explanation
Question 38,In which year Credit Guarantee Corporation created ?,1975,1971,1975,2001,B,No explanation
Question 39,A draft issued by the bank has been lost by the payee. He sends a letter to the issuing bank to stop payment. Bank will:,Note caution and will advice the payee to contact purchaser of the draft,Not act on the request,Stop payment,Performs no action,A,No explanation
Question 40,Mutual funds are required to be registered with:,AMFI,SEBI,IBA,RBI,B,No explanation
Question 41,What is Yield Curve Risk?,It is a line of graph plotting the yield of all maturities of a particular instrument.,Yield curve changes its slope and shape from time to time.,Yield curve can be twisted to the desired direction through the intervention of RBI.,All of the above,D,No explanation
Question 42,The biggest international financial centre in the world:,Frankfurt,Geneva,London,New York,C,No explanation
Question 43,The expansion of BIFR in the context of the Indian Industry is:,Board for Industrial and Financial Reconstruction,Bureau for Industrial and Financial Reconstruction,Board for Investment and Financial Reconstruction,Bureau for Investment and Financial Reconstruction,A,No explanation
Question 44,The largest financial conglomerate of India is:,HDFC Bank,ICICI Bank,IFCI,SBI,D,No explanation
Question 45,Under which of the following methods of depreciation amount of depreciation varies every year?,Written Down Value Method,Straight Line Method,Amount of depreciation does not vary on year to year basis,Either a or b,A,No explanation
Question 46,Usually the validity period of an Income Tax Refund Order is:,1 month,2 months,3 months,6 months,C,No explanation
Question 47,"Which of the following is true about ""White Card""?",It is related to companies producing milk products,It does not carry on its face the brand of the issuer,It is meant to covert blank money into the economy,It is a card that provides white money,B,No explanation
Question 48,First bank in India to launch its interactive banking service through Dish TV:,HSBC,ICICI Bank,HDFC Bank,Axis Bank,C,No explanation
Question 49,First Indian Governor of the RBI:,C.D. Deshmukh,Sachindra Ray,S. Mukherjee,D.I.G. Patel,A,No explanation
Question 50,CGTMSE (Credit Guarantee Fund Trust for Micro and Small Enterprises) has been set up on the recommendations of:,Narashimham Committee,Ghosh Committee,Chore Committee,Kapoor Committee,D,No explanation
Question 51,The primary relationship between the banker and the customer is that of:,Trustee and beneficiary,Debtor and Creditor,Principal and agent,Lesser and lessee,B,No explanation
Question 52,A debt becomes time-barred after:,One year,Two and a half year,Three years,Five years,C,No explanation
Question 53,In the matter of handling bills of exchange for collection the relationship between customer and the bank is:,Trustee and the beneficiary,Principal and agent,Bailor and Bailee,All of the above,B,No explanation
Question 54,Hypothecation is:,A transaction of conditional sale,A legal transaction whereby goods may be made available as security for a debt,Transfer of ownership by the borrower to the lender,None of the above,B,No explanation
Question 55,Payment of a cheque may be countermanded by the ___,Payee,True owner,Drawee,Drawer,D,No explanation
Question 56,J.S. Verma Committee Report relates to:,Strengthening of weak banks,Corporate Governance,Bank Mechanization,None of the above,A,No explanation
Question 57,A Usance Bill when presented for acceptance has to be accepted/ dishonoured within:,24 hours,36 hours,48 hours,60 hours,C,No explanation
Question 58,Invoice is a:,Accounting document,Legal document,Commercial document,None of the above,C,No explanation
Question 59,When does a person become insolvent?,When he left with no property of his own,When he declares an insolvent by the Court,When he terminates from a job he was holding,When he declares himself to be an insolvent,B,No explanation
Question 60,When two parties make an arrangement to exchange future cash flows it is called:,Options,Arbitrage,Swap,Futures,C,No explanation
Question 61,Which of the following banks enjoys the reputation of being at the top in market capitalization among all the private banks?,ICICI Bank,HDFC Bank,Axis Bank,IDBI Bank,B,No explanation
Question 62,Claused Bill of Landing is one which indicates:,Remaining constant in project cost,Decrease in Project Cost,Escalation in Project Cost,None of the above,C,No explanation
Question 63,Insurance cover for bank deposits in our country is provided by:,SBI,GIC,LICI,DICGC,D,No explanation
Question 64,Loan of very small amounts given to low income groups is called:,Cash credit,Micro credit,Simple overdraft,No frills loans,B,No explanation
