Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,If quartile range is 24 then quartile deviation is,48,12,24,72,B,No Explanation
Question 2,If mean absolute deviation of set of observations is 8.5 then value of quartile deviation is,7.08,9.08,10.2,11.2,A,No Explanation
Question 3,Sum of all squared deviations is divided by total number of observations to calculate,population deviation ,population variance ,sample deviation ,sample variance ,B,No Explanation
Question 4,If for a distribution difference of first quartile and median is greater than difference of median and third quartile then distribution is classified as,absolute open ended,positively skewed,negatively skewed ,not skewed at all,B,No Explanation
Question 5,For recorded observation ratios measured by absolute variation are considered as,non-relative measures ,relative measures ,high uniform measures ,low uniform measures ,B,No Explanation
Question 6,If arithmetic mean is multiplied to coefficient of variation then resulting value is classified as,coefficient of deviation ,coefficient of mean ,standard deviation ,variance,C,No Explanation
Question 7,Way of getting information from measuring observation whose outcomes occurrence is on chance is called,beta experiment ,random experiment ,alpha experiment ,gamma experiment ,B,No Explanation
Question 8,Probability of second event in situation if first event has been occurred is classified as,series probability ,conditional probability ,joint probability ,dependent probability ,B,No Explanation
Question 9,If vertical lines are drawn at every point of straight line in frequency polygon then by this way frequency polygon is transformed into,width diagram ,length diagram ,histogram ,dimensional bar charts ,C,No Explanation
Question 10,Analysis of labor turnover rates performance appraisal training programs and planning of incentives are examples of role of,statistics in personnel management ,statistics in finance ,statistics in marketing ,statistics in production ,A,No Explanation
Question 11,If standard deviation of population is 35 and sample size is 9 then standard deviation of sampling distribution is,12.67,11.67,13.67,14.67,B,No Explanation
Question 12,If arithmetic mean is considered as average of deviations then resultant measure is considered as,close end deviation,mean absolute deviation ,mean deviation ,variance deviation ,B,No Explanation
Question 13,If positive square root is taken of population variance then calculated measure is transformed into,standard root ,standard deviation ,standard variance ,sample variance ,B,No Explanation
Question 14,Focus groups individual respondents and panels of respondents are classified as,pointed data sources ,itemized data sources ,secondary data sources ,primary data sources ,D,No Explanation
