Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,The most important goal of business communication is_________.,favorable relationship between sender and receiver,organizational goodwill,receiver response,receiver understanding,D,No explanation
Question 2,Down ward communication flows from_________ to_________.,Upper to lower,Lower to upper,Horizontal,Diagonal,A,No explanation
Question 3,Horizontal communication takes place between_________.,superior to subordinate,subordinate to superior,employees with same status,none of these,C,No explanation
Question 4,Appeals and representations are used in_________communication.,horizontal,downward,upward,grapevine,C,No explanation
Question 5,The study of communication through touch is_________.,chronemics,haptics,proxemics,semantics,B,No explanation
Question 6,The formal greeting with which a business letter begins is called,reference,subject,salutation,body copy,C,No explanation
Question 7,The following is (are) non-verbal communication,Facial expression,Appearance,Posture,All of the above,D,No explanation
Question 8,The handshake that conveys confidence is,Limp,Firm,loose,double,B,No explanation
Question 9,Communication is the task of imparting ________,training,information,knowledge,message,B,No explanation
Question 10,The following is the permanent records for business,Business letters,Ledgers,Production reports,All of the above,A,No explanation
Question 11,Body of a letter is divided into ________ parts.,1,2,3,4,C,No explanation
Question 12,When working to create and maintain a favorable relationship with a receiver a sender should,do just what the receiver expects,impress the receiver by using technical terms,stress mutual interests and benefits,use positive wording,D,No explanation
Question 13,As per Newman and Summer Communication is the Exchange of,Facts,opinion,emotions,all the above,D,No explanation
Question 14,The ________ body of the presentation should be broken into short and clear units,Main,middle,upper,lower,A,No explanation
Question 15,Which of the following terms best describes the grapevine as a communication pattern?,Diagonal,Informal,Serial,Verbal,B,No explanation
Question 16,The following is (are) the most effective ways of communication.,Verbal,Non Verbal,Written,All the above,C,No explanation
Question 17,The _________ of business letter is called layout.,Body,content,pattern,all the above,C,No explanation
Question 18,Interaction between three to twelve people who share a common goal a sense of commitment and who attempt to influence one another is known as,business communication,small-group communication,personal communication,rhetorical communication,B,No explanation
Question 19,When a group agrees to support and commit to the decision of the group they have reached,a consensus,a census,a solution,an analysis,A,No explanation
Question 20,Goals help us to __________.,Communicate,work,Success,motivate,A,No explanation
Question 21,An effective oral presentation process follows _________ steps.,3,4,5,6,A,No explanation
Question 22,Business letters produce immediate effect because they are:,interesting,brief,formal,informal,D,This question is already available on Examveda.com
Question 23,Set off the list of Do and Donts by using ___________.,Body,letter heads,Bullets,Formal,C,No explanation
Question 24,The envelope indicated that there was _________ but in fact there was only a letter inside,an enclosure,a sender,A salutation,an indent,A,No explanation
Question 25,Form letters are also known as:,circular letters,formal letters,bad news letters,persuasive sales letters,D,No explanation
Question 26,Our address and phone number are shown on our_________,letterhead,snailmail,postage,salutation,A,No explanation
Question 27,In block text format you do not_________each paragraph,indent,punctuation,margin,transition x,A,No explanation
Question 28,A memorandum (memo) is considered a brief form of written communication for:,internal use,external use,formal use,legal use,A,No explanation
Question 29,Simplicity in writing means essentially:,the use of simple sentences,the use of simple words,the use of simple tense,plainness,D,No explanation
Question 30,Good business letters are characterized by the following personal quality of the writer:,seriousness,sincerity,formality,Humour,B,No explanation
Question 31,Which of the following is a correct dateline for a business letter?,August 20 1998,20-Aug-98,August 20 1998,Aug 20 1998,C,No explanation
Question 32,The most modern letter style is,modified-block,full-block,simplified,block,C,No explanation
Question 33,Effective professional correspondence uses an appropriate style clear and concise language and,the passive voice,the active voice,open punctuation,mixed punctuation,B,No explanation
Question 34,Modern business letters are usually written in:,indented style,semi-block style,simplified style,full-block style,D,No explanation
Question 35,Persuasive messages should be written in the __________ order.,indirect,passive,direct,ndecisive,A,No explanation
Question 36,Which of the following is not part of a cover letter?,salutation,return address,references,close,C,No explanation
Question 37,The first goal in writing a business letter is to get the recipients ..........,address,attention,services,trade,A,No explanation
Question 38,In developing the plan for a persuasive message,consider primarily the writer's perspective,try to predict the reader's reaction,cover the pros and cons equally,all of the above,B,No explanation
Question 39,A good business letter is simple and straightforward without being simplistic or ..........,panoramic,paternal,patriotic,patronizing,D,No explanation
Question 40,The conclusion or ending paragraph should bring the communication to a polite and ......... close.,businesslike,interminable,measurable,subtle,A,No explanation
Question 41,Which of the following is not one of the three major types of appeals discussed in the text?,logic based,emotion based,psychology based,character based,C,No explanation
Question 42,Letters that please the receiver are called,Yes letters,routine letters,invitation letters,good-news letters,D,No explanation
Question 43,The central appeal in a persuasive letter,emphasizes how the reader will benefit from the request,is introduced early on in the message,is presented in you-viewpoint language,all of the above,D,No explanation
Question 44,Form letters are also known as,formal letters,circular letters,persuasive sales letters,bad news letters,C,No explanation
Question 45,A memorandum (memo) is considered a brief form of written communication for,legal use,formal use,internal use,external use,C,No explanation
