Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Basic objective of cost accounting is ________,tax compliance.,financial audit.,cost ascertainment.,profit analysis.,C,No explanation
Question 2,Process costing is suitable for ________.,hospitals,oil reefing firms,transport firms,brick laying firms,B,No explanation
Question 3,Cost classification can be done in ________.,two ways,three ways,four ways,several ways,D,No explanation
Question 4,The cost which is to be incurred even when a business unit is closed is a _____.,imputed cost,historical cost,sunk cost,shutdown cost,D,No explanation
Question 5,Direct expenses are also called ________.,major expenses,chargeable expenses,overhead expenses,sundry expenses,B,No explanation
Question 6,Indirect material used in production is classified as ________.,office overhead,selling overhead,distribution overhead,factory overhead,D,No explanation
Question 7,Warehouse rent is a part of ________.,prime cost,factory cost,distribution cost,production cost,C,No explanation
Question 8,Indirect material scrap is adjusted along with ________.,prime cost,factory cost,labour cost,cost of goods sold,B,No explanation
Question 9,Tender is an _______.,estimation of profit,estimation of cost,estimation of selling price,estimation of units,C,No explanation
Question 10,Total of all direct costs is termed as ________.,prime cost,works cost,cost of sales,cost of production,A,No explanation
Question 11,Audit fess is a part of _______.,works on cost,selling overhead,distribution overhead,administration overhead,D,No explanation
Question 12,Cost accounting concepts include all the following except ________.,planning,controlling,profit sharing,product costing,C,No explanation
Question 13,Toy manufacturing industry should use _______.,unit costing,process costing,batch costing,multiple costing,C,No explanation
Question 14,Cost unit of a sugar industry can be ________.,per litre,per tonne,per acre,per metre,B,No explanation
Question 15,The ascertainment of costs after they have been incurred is known as _________.,marginal costing,historical costing,sunk cost,notional cost,B,No explanation
Question 16,Over time is ________.,actual hours being more than normal time,actual hours being more than standard time,standard hours being more than actual hours,actual hours being less than standard time,A,No explanation
Question 17,Time keeping refers to _______.,time spent by worker on their job,time spent by workers in the factory,time spent by workers without work,time spent by workers off their job,B,No explanation
Question 18,Labour productivity can NOT be measured by comparing ________.,actual time with standard time,total output with total man hours,added value for the product with total wage cost,total wage and total output,D,No explanation
Question 19,Given that for a job standard time is 8 hrs actual time taken is 6 hrs and the time rate is Rs 2 per hr What is the total wages under Halsey premium plan?,Rs. 12,Rs. 14,Rs. 16,Rs. 18,B,No explanation
