Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,
Question 1,What affective activities are required to make people attracted towards occupations?,realistic oriented,investigation oriented,social oriented,artistic oriented,B,No explanation,
Question 2,A plan offering a 75% base salary along with 25% incentives is classified as,combination plan,non commission plan,competitive plan,noncompetitive plan,A,No explanation,
Question 3,New performance 'appraisal systems' and incentives usage is part of,mobilize commitment,consolidation of gains,creating guiding coalition,reinforcement of new programs,D,No explanation,
Question 4,Financial payments above and over a regular base pay for employees are called,ethnocentric allowances,mobility premiums,hardship allowances,Foreign Service premiums,D,No explanation,
Question 5,Types of 'appraisal interviews' are,tell-and-listen,tell- and-sell,problem solving,all of above,D,No explanation,
Question 6,In traditional focus providing opportunities for learning is part of,training and development,performance appraisal,recruiting and placement,human resource planning,A,No explanation,
Question 7,If company defines authority and communication channels for employees it is performing,staffing function,organizing function,leading function,controlling function,B,No explanation,
Question 8,Employees abroad supply services or having outside vendors that company's own employees previously did in-house is known as,outsourcing,offshoring,alternative staffing,none of above,B,No explanation,
Question 9,In a career development focus information about individual interests and preferences is a part of,training and development,performance appraisal,recruiting and placement,human resource planning,D,No explanation,
Question 10,A company's ' HR' department can create an advisory relationship through,line authority,staff authority,hiring authority,all of above,B,No explanation,
Question 11,Communications and employs' participation is part of,company's plan,strategic plan,vision,mission,A,No explanation,
Question 12,When employee's high expectations confront reality of boring job it is called,promotions,transfers,reality shock,formal training,C,No explanation,
Question 13,'strategy' that employees seek for interesting jobs and greater advancement opportunities is known as,promotions,transfers,reality shock,formal training,B,No explanation,
Question 14,In a career development focus addition of development plans is a part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,B,No explanation,
Question 15,An employer's refusal to provide work opportunities is classified as,grievance procedure,lock out,injunction,strike procedure,B,No explanation,
Question 16,'piecework' pay plan is often called,individual pay plan,group pay plan,extrinsic rewards,intrinsic rewards,A,No explanation,
Question 17,Factor which influence 'bonuses' are,eligibility,fund size,individual performance,all of above,D,No explanation,
Question 18,Validity test that focused on comparing test scores of already existing employees to a measure of their job performance is,concurrent validity,predictive validity,criterion validity,content validity,A,No explanation,
Question 19,Adding 'incentives' to job is included in,intrinsic motivation,extrinsic motivation,outsourced motivation,in-house motivation,B,No explanation,
Question 20,Large inventories can be best classified as,potential opportunities,potential Threats,potential Strengths,potential Weaknesses,D,No explanation,
Question 21,In a career development providing support in employee's development plans is regarded as,an individual role,a managerial role,employer role,line manager's role,B,No explanation,
Question 22,Communicating leadership' involves,personal competencies,interpersonal competencies,business management,both A and C,B,No explanation,
Question 23,'Coaching of employees' does not include,planning,preparation,follow-up,compensating employees,D,No explanation,
Question 24,In talent management end to end process workforce compensation management leads to,succession planning,performance management,learning management systems,e-recruiting,B,No explanation,
Question 25,Assistance to top level management for strategic plans is provided by,transactional HR group,corporate HR group,embedded HR group,center of expertise,B,No explanation,
Question 26,A marketing concept holding a society's long-term interest belongs to,realistic orientation,investigation oriented,societal orientation,art oriented,C,No explanation,
Question 27,Providing personal development opportunities shifting of an employee from one job to another without altering their job designation considered as a,promotion,transfer,reality shock,formal training,B,No explanation,
Question 28,Anchoring jobs and slotting other jobs accordingly is called,benchmarking jobs,evaluating pay scales,evaluating pay grades,evaluating internal equity,A,No explanation,
Question 29,A 'quantitative technique' in job evaluation processes is,job classification,alternative ranking method,aligned reward strategy,point method,D,No explanation,
Question 30,Each band in 'broad banding' contains,wide range of jobs,lesser range of job,only one type of job,unspecified job description,A,No explanation,
Question 31,All incentive plans focused on,performance,skills,tenure,particular knowledge,A,No explanation,
Question 32,"In 'ABC' approach which is used in formulating hypothesis ""C"" stands for",compensating,communication,counseling,consequences,D,No explanation,
Question 33,Teaching of current employees with skills needed to perform effectively on job is,training,negligent training,both A and B,learning,A,No explanation,
Question 34,A company's HR team is responsible for,training of supervisors,monitor the appraisal system affectivity,training the employees,all of above,D,No explanation,
Question 35,Reward of performance must have some value for employee an example of,expectancy,instrumentality,valence,de-expectancy,C,No explanation,
Question 36,Professional competence and consistency is exhibited by,effective mentors,performance manager,appraisal manager,professional training,A,No explanation,
Question 37,Data of benefits like employees insurance and other fringe benefits can be collected through,benchmark surveys,salary surveys,primary survey,secondary survey,B,No explanation,
Question 38,Modifying selection procedures for senior employees is a step towards,keeping retirees,keeping employees,retirement benefits,talent management,A,No explanation,
Question 39,Re-assignment of work related to job in another part of organization at similar position is called,promotions,transfers,reality shock,formal training,B,No explanation,
Question 40,Steps involves in employer's movement for performance management is,total quality,appraisal issues,strategic planning,all of above,D,No explanation,
