Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,In value chain analysis coordination acquiring and assembling of resources to produce a product is classified as,resourcing,value acquiring,production,value acquaintance,C,No explanation
Question 2,Examining of past performance exploring alternative and planning future is,learning,alternating,examining,deciding,A,No explanation
Question 3,Time that a company takes to create and produce a new product is classified as,management factor,time factor,customer factor,chain factor,B,No explanation
Question 4,Purpose of management accounting is to,past orientation,help banks make decisions,help managers make decisions,help investors make decision,C,No explanation
Question 5,An accounting approach in which expected benefits exceed expected cost is classified as,benefit approach,cost approach,cost-benefit approach,accounting approach,C,No explanation
Question 6,Flow of goods and services from start of gathering materials until delivery of products is known as,flow chart analysis,supply chain analysis,resource chain analysis,acquiring analysis,B,No explanation
Question 7,Step by step business functions in which product or services must have customer usefulness is classified as,value chain,useful chain,product chain,services chain,A,No explanation
Question 8,Decisions regarding usage of material kind and changes in plant processing are a part of,past management,future management,help management,cost management,D,No explanation
Question 9,Function of management accountant who works as business partner comes under category of,asset function,investment function,line function,staff function,D,No explanation
Question 10,An officer responsible for financial operations of organization is considered as,chief financial officer,chief manager,chief line function,chief staff function,A,No explanation
Question 11,Decision making step which consists of organization goals predicting alternatives and communicating goals is called,organization,alternation,planning,valuing,C,No explanation
Question 12,An availability of financial information to oversee operations and system of accounting is known as,manager ship,controllership,proprietorship,functional line,B,No explanation
Question 13,An availability of after sale support to existing or potential customers in value chain analysis is known as,customer services,utility services,resource services,acquiring services,A,No explanation
Question 14,Quantitative expression of decided plan and coordination for plan implementation is known as,cost format,decided plan,coordination plan,budget,D,No explanation
Question 15,In management accounting an emphasis and focus must be,future oriented,past oriented,communication oriented,bank oriented,A,No explanation
Question 16,Strategy that interlinks technology and people to enhance relationships in all business functions is classified as,technology management,people management,customer relationship management,resource management,C,No explanation
Question 17,Experimentation and generation of ideas related to new product or services are included in,addressing management,research and development,value development,service provider,B,No explanation
Question 18,Philosophy in which management works to improve value chain of products to exceed customer expectations is classified as,quality,management chain,customer chain,cost chain,A,No explanation
Question 19,Cash management investments long and short term financing are included in,proprietorship,functional line,treasury,controllership,C,No explanation
Question 20,In financial accounting investors banks suppliers and government agencies are classified as,external parties,internal parties,environmental parties,transactional parties,A,No explanation
Question 21,Marketing production and management of distribution comes under category of,staff management,line management,marketing management,production management,B,No explanation
Question 22,Function of plant manager in which he is responsible for new assets investment is termed as,line function,staff function,asset function,investment function,A,No explanation
Question 23,Process of analyzing and reviewing financial records to check integrity of company financial reports is a/an,internal audit,external audit,functional audit,treasury audit,A,No explanation
Question 24,Type of accounting which reports financial and non-financial data about cost of material and acquiring of resources is classified as,material accounting,cost accounting,supplies accounting,business accounting,B,No explanation
Question 25,An approach in which managers use resources to increase customer value is classified as,help management,cost management,past management,future management,B,No explanation
Question 26,An engineering of products or detailed planning of products or services is called,product design,research steps,useful chain,value added,A,No explanation
Question 27,Type of accounting which measures reports and analysis non-financial and financial information to help in decision making is called,financial accounting,management accounting,cost accounting,decision accounting,B,No explanation
Question 28,Type of accounting which reports to external parties of organization is known as,cost accounting,decision accounting,financial accounting,management accounting,C,No explanation
Question 29,Human resource management IT management and management accountants are categorized under,marketing management,production management,staff management,line management,C,No explanation
Question 30,In cost benefit approach type of costs include,cost of ongoing operations,investments in physical assets,training of managers,all of above,D,No explanation
Question 31,In financial accounting an emphasis and focus is considered as,communication oriented,bank oriented,future oriented,past oriented,D,No explanation
Question 32,In value chain analysis selling and promotion to prospective customers is classified as,researching,marketing,acquaintance,usefulness,B,No explanation
