Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. What is operating system?,a) collection of programs that manages hardware resources,b) system service provider to the application programs,c) link to interface the hardware and application programs,d) all of the mentioned,d,Explanation: None.
Question 2,"2. To access the services of operating system, the interface is provided by the",a) System calls,b) API,c) Library,d) Assembly instructions,a,Explanation: None.
Question 3,3. Which one of the following is not true?,a) kernel is the program that constitutes the central core of the operating system,b) kernel is the first part of operating system to load into memory during booting,c) kernel is made of various modules which can not be loaded in running operating system,d) kernel remains in the memory during the entire computer session,c,Explanation: None.
Question 4,4. Which one of the following error will be handle by the operating system?,a) power failure,b) lack of paper in printer,c) connection failure in the network,d) all of the mentioned,d,Explanation: None.
Question 5,5. The main function of the command interpreter is,a) to get and execute the next user-specified command,b) to provide the interface between the API and application program,c) to handle the files in operating system,d) none of the mentioned,a,Explanation: None.
Question 6,"6. By operating system, the resource management can be done via",a) time division multiplexing,b) space division multiplexing,c) both time and space division multiplexing,d) none of the mentioned,c,Explanation: None.
Question 7,"7. If a process fails, most operating system write the error information to a ______",a) log file,b) another running process,c) new file,d) none of the mentioned,a,Explanation: None.
Question 8,"8. Which facility dynamically adds probes to a running system, both in user processes and in the kernel?",a) DTrace,b) DLocate,c) DMap,d) DAdd,a,Explanation: None.
Question 9,9. Which one of the following is not a real time operating system?,a) VxWorks,b) Windows CE,c) RTLinux,d) Palm OS,d,Explanation: None.
Question 10,10. The OS X has ____________,a) monolithic kernel,b) hybrid kernel,c) microkernel,d) monolithic kernel with modules,b,Explanation: None.
Question 11,"1. The systems which allows only one process execution at a time, are called",a) uniprogramming systems,b) uniprocessing systems,c) unitasking systems,d) none of the mentioned,b,"Explanation: Those systems which allows more than one process execution at a time, are called multiprogramming systems. Uniprocessing means only one processor."
Question 12,"2. In operating system, each process has its own",a) address space and global variables,b) open files,"c) pending alarms, signals and signal handlers",d) all of the mentioned,d,Explanation: None.
Question 13,"3. In Unix, Which system call creates the new process?",a) fork,b) create,c) new,d) none of the mentioned,a,Explanation: None.
Question 14,4. A process can be terminated due to,a) normal exit,b) fatal error,c) killed by another process,d) all of the mentioned,d,Explanation: None.
Question 15,5. What is the ready state of a process?,a) when process is scheduled to run after some execution,b) when process is unable to run until some task has been completed,c) when process is using the CPU,d) none of the mentioned,a,"Explanation: When process is unable to run until some task has been completed, the process is in blocked state and if process is using the CPU, it is in running state."
Question 16,6. What is interprocess communication?,a) communication within the process,b) communication between two process,c) communication between two threads of same process,d) none of the mentioned,b,Explanation: None.
Question 17,7. A set of processes is deadlock if,a) each process is blocked and will remain so forever,b) each process is terminated,c) all processes are trying to kill each other,d) none of the mentioned,a,Explanation: None.
Question 18,8. A process stack does not contain,a) Function parameters,b) Local variables,c) Return addresses,d) PID of child process,d,Explanation: None.
Question 19,9. Which system call returns the process identifier of a terminated child?,a) wait,b) exit,c) fork,d) get,a,Explanation: None.
Question 20,10. The address of the next instruction to be executed by the current process is provided by the,a) CPU registers,b) Program counter,c) Process stack,d) Pipe,b,Explanation: None.
Question 21,1. A Process Control Block(PCB) does not contain which of the following :,a) Code,b) Stack,c) Bootstrap program,d) Data,c,Explanation: None.
Question 22,2. The number of processes completed per unit time is known as __________,a) Output,b) Throughput,c) Efficiency,d) Capacity,b,Explanation: None.
Question 23,3. The state of a process is defined by:,a) the final activity of the process,b) the activity just executed by the process,c) the activity to next be executed by the process,d) the current activity of the process,d,Explanation: None.
Question 24,4. Which of the following is not the state of a process?,a) New,b) Old,c) Waiting,d) Running,b,Explanation: None.
Question 25,5. The Process Control Block is:,a) Process type variable,b) Data Structure,c) A secondary storage section,d) A Block in memory,b,Explanation: None.
Question 26,6. The entry of all the PCBs of the current processes is in:,a) Process Register,b) Program Counter,c) Process Table,d) Process Unit,c,Explanation: None.
Question 27,7. The degree of multiprogramming is:,a) the number of processes executed per unit time,b) the number of processes in the ready queue,c) the number of processes in the I/O queue,d) the number of processes in memory,d,Explanation: None.
Question 28,9. The objective of multiprogramming is to :,a) Have some process running at all times,b) Have multiple programs waiting in a queue ready to run,c) To minimize CPU utilization,d) None of the mentioned,a,Explanation: None.
Question 29,1. Which of the following do not belong to queues for processes ?,a) Job Queue,b) PCB queue,c) Device Queue,d) Ready Queue,b,Explanation: None.
Question 30,2. When the process issues an I/O request :,a) It is placed in an I/O queue,b) It is placed in a waiting queue,c) It is placed in the ready queue,d) It is placed in the Job queue,a,Explanation: None.
Question 31,3. When a process terminates :,a) It is removed from all queues,"b) It is removed from all, but the job queue",c) Its process control block is de-allocated,d) Its process control block is never de-allocated,a,Explanation: None.
Question 32,4. What is a long-term scheduler ?,a) It selects which process has to be brought into the ready queue,b) It selects which process has to be executed next and allocates CPU,c) It selects which process to remove from memory by swapping,d) None of the mentioned,a,Explanation: None.
Question 33,"5. If all processes I/O bound, the ready queue will almost always be ______ and the Short term Scheduler will have a ______ to do.","a) full,little","b) full,lot","c) empty,little","d) empty,lot",c,Explanation: None.
Question 34,6. What is a medium-term scheduler ?,a) It selects which process has to be brought into the ready queue,b) It selects which process has to be executed next and allocates CPU,c) It selects which process to remove from memory by swapping,d) None of the mentioned,c,Explanation: None.
Question 35,7. What is a short-term scheduler ?,a) It selects which process has to be brought into the ready queue,b) It selects which process has to be executed next and allocates CPU,c) It selects which process to remove from memory by swapping,d) None of the mentioned,b,Explanation: None.
Question 36,8. The primary distinction between the short term scheduler and the long term scheduler is :,a) The length of their queues,b) The type of processes they schedule,c) The frequency of their execution,d) None of the mentioned,c,Explanation: None.
Question 37,9. The only state transition that is initiated by the user process itself is :,a) block,b) wakeup,c) dispatch,d) none of the mentioned,a,Explanation: None.
Question 38,"10. In a time-sharing operating system, when the time slot given to a process is completed, the process goes from the running state to the :",a) Blocked state,b) Ready state,c) Suspended state,d) Terminated state,b,Explanation: None.
Question 39,11. In a multiprogramming environment :,a) the processor executes more than one process at a time,b) the programs are developed by more than one person,c) more than one process resides in the memory,d) a single user can execute many programs at the same time,c,Explanation: None.
Question 40,"12. Suppose that a process is in “Blocked” state waiting for some I/O service. When the service is completed, it goes to the :",a) Running state,b) Ready state,c) Suspended state,d) Terminated state,b,Explanation: None.
Question 41,13. The context of a process in the PCB of a process does not contain :,a) the value of the CPU registers,b) the process state,c) memory-management information,d) context switch time,d,Explanation: None.
Question 42,14. Which of the following need not necessarily be saved on a context switch between processes ?,a) General purpose registers,b) Translation lookaside buffer,c) Program counter,d) All of the mentioned,b,Explanation: None.
Question 43,15. Which of the following does not interrupt a running process ?,a) A device,b) Timer,c) Scheduler process,d) Power failure,c,Explanation: None.
Question 44,1. Which process can be affected by other processes executing in the system?,a) cooperating process,b) child process,c) parent process,d) init process,a,Explanation: None.
Question 45,"2. When several processes access the same data concurrently and the outcome of the execution depends on the particular order in which the access takes place, is called",a) dynamic condition,b) race condition,c) essential condition,d) critical condition,b,Explanation: None.
Question 46,"3. If a process is executing in its critical section, then no other processes can be executing in their critical section. This condition is called",a) mutual exclusion,b) critical exclusion,c) synchronous exclusion,d) asynchronous exclusion,a,Explanation: None.
Question 47,4. Which one of the following is a synchronization tool?,a) thread,b) pipe,c) semaphore,d) socket,c,Explanation: None.
Question 48,5. A semaphore is a shared integer variable,a) that can not drop below zero,b) that can not be more than zero,c) that can not drop below one,d) that can not be more than one,a,Explanation: None.
Question 49,6. Mutual exclusion can be provided by the,a) mutex locks,b) binary semaphores,c) both mutex locks and binary semaphores,d) none of the mentioned,c,Explanation: Binary Semaphores are known as mutex locks.
Question 50,"7. When high priority task is indirectly preempted by medium priority task effectively inverting the relative priority of the two tasks, the scenario is called",a) priority inversion,b) priority removal,c) priority exchange,d) priority modification,a,Explanation: None.
Question 51,8. Process synchronization can be done on,a) hardware level,b) software level,c) both hardware and software level,d) none of the mentioned,c,Explanation: None.
Question 52,9. A monitor is a module that encapsulates,a) shared data structures,b) procedures that operate on shared data structure,c) synchronization between concurrent procedure invocation,d) all of the mentioned,d,Explanation: None.
Question 53,"10. To enable a process to wait within the monitor,",a) a condition variable must be declared as condition,b) condition variables must be used as boolean objects,c) semaphore must be used,d) all of the mentioned,a,Explanation: None.
