Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The IETF standards documents are called,a) RFC,b) RCF,c) ID,d) None of the mentioned,a,"Explanation: Request For Comments."
Question 2,"2. In the layer hierarchy as the data packet moves from the upper to the lower layers, headers are",a) Added,b) Removed,c) Rearranged,d) Modified,a,"Explanation: Every layer adds its own header to the packet from previous layer."
Question 3,3. The structure or format of data is called,a) Syntax,b) Semantics,c) Struct,d) None of the mentioned,a,"Explanation: Semantics defines how a particular pattern to be interpreted, and what action is to be taken based on that interpretation."
Question 4,4. Communication between a computer and a keyboard involves ______________ transmission,a) Automatic,b) Half-duplex,c) Full-duplex,d) Simplex,d,"Explanation: Data flows in single direction."
Question 5,5. The first Network,a) CNNET,b) NSFNET,c) ASAPNET,d) ARPANET,d,"Explanation: None."
Question 6,6. The _______ is the physical path over which a message travels,a) Path,b) Medium,c) Protocol,d) Route,b,"Explanation: Message travel from sender to reciever via a medium using a protocol."
Question 7,7. Which organization has authority over interstate and international commerce in the communications field?,a) ITU-T,b) IEEE,c) FCC,d) ISOC,c,"Explanation: None."
Question 8,8. Which of this is not a network edge device?,a) PC,b) Smartphones,c) Servers,d) Switch,d,"Explanation: Network egde devices refer to host systems, which can host applications like web browser."
Question 9,9. A set of rules that governs data communication,a) Protocols,b) Standards,c) RFCs,d) None of the mentioned,a,"Explanation: None."
Question 10,10. Three or more devices share a link in ________ connection,a) Unipoint,b) Multipoint,c) Point to point,d) None of the mentioned,b,"Explanation: None."
Question 11,"1. When collection of various computers seems a single coherent system to its client, then it is called",a) computer network,b) distributed system,c) networking system,d) none of the mentioned,b,"Explanation: None."
Question 12,2. Two devices are in network if,a) a process in one device is able to exchange information with a process in another device,b) a process is running on both devices,c) PIDs of the processes running of different devices are same,d) none of the mentioned,a,"Explanation: None."
Question 13,3. Which one of the following computer network is built on the top of another network?,a) prior network,b) chief network,c) prime network,d) overlay network,d,"Explanation: None."
Question 14,4. In computer network nodes are,a) the computer that originates the data,b) the computer that routes the data,c) the computer that terminates the data,d) all of the mentioned,d,"Explanation: None."
Question 15,5. Communication channel is shared by all the machines on the network in,a) broadcast network,b) unicast network,c) multicast network,d) none of the mentioned,a,"Explanation: None."
Question 16,6. Bluetooth is an example of,a) personal area network,b) local area network,c) virtual private network,d) none of the mentioned,a,"Explanation: None."
Question 17,7. A __________ is a device that forwards packets between networks by processing the routing information included in the packet.,a) bridge,b) firewall,c) router,d) all of the mentioned,c,"Explanation: None."
Question 18,"8. A list of protocols used by a system, one protocol per layer, is called",a) protocol architecture,b) protocol stack,c) protocol suit,d) none of the mentioned,b,"Explanation: None."
Question 19,9. Network congestion occurs,a) in case of traffic overloading,b) when a system terminates,c) when connection between two nodes terminates,d) none of the mentioned,a,"Explanation: None."
Question 20,10. Which one of the following extends a private network across public networks?,a) local area network,b) virtual private network,c) enterprise private network,d) storage area network,b,"Explanation: None."
Question 21,1. Which of this is not a constituent of residential telephone line?,a) A high-speed downstream channel,b) A medium-speed downstream channel,c) A low-speed downstream channel,d) None of the mentioned,c,"Explanation: The third part is ordinary two way telephone channel."
Question 22,2. In DSL telco provides these services,a) Wired phone access,b) ISP,c) All of the mentioned,d) None of the mentioned,c,"Explanation: The same company which provides phone connection is also its ISP in DSL."
Question 23,3. The function of DSLAM is,a) Convert analog signals into digital signals,b) Convert digital signals into analog signals,c) Amplify digital signals,d) None of the mentioned,a,"Explanation: The DSLAM located in telco’s Central Office does this function."
Question 24,4. The following term is not associted with DSL,a) DSLAM,b) CO,c) Splitter,d) CMTS,d,"Explanation: Cable modem termination system is used in cable internet access."
Question 25,5. HFC contains,a) Fibre cable,b) Coaxial cable,c) Both Fibre cable and Coaxial cable,d) None of the mentioned,c,"Explanation: None."
Question 26,6. Choose the statement which is not applicable for cable internet access,a) It is a shared broadcast medium,b) It includes HFCs,c) Cable modem connects home PC  to Ethernet port,d) Analog signal is converted to digital signal in DSLAM,d,"Explanation: In cable access analog signal is converted to digital signal by CMTS."
Question 27,7. Among the optical-distribution architectures that is essentially switched ehternet is,a) AON,b) PON,c) NON,d) None of the mentioned,a,"Explanation: Active optical networks are essentially switched ehternets."
Question 28,8. StarBand provides,a) FTTH internet access,b) Cable access,c) Telephone access,d) Satellite access,d,"Explanation: None."
Question 29,9. Home Access is provided by,a) DSL,b) FTTP,c) Cable,d) All of the mentioned,d,"Explanation: None."
Question 30,10. ONT is connected to splitter using,a) High speed fibre cable,b) HFC,c) Optical cable,d) None of the mentioned,c,"Explanation: None."
Question 31,11. These factors affect transmission rate in DSL,a) The gauge of the twisted-pair line,b) Degree of electrical interfernece,c) Shadow fading,d) Both The gauge of the twisted-pair line and Degree of electrical interfernece,d,"Explanation: Because DSL is made of twisted wire copper pair."
Question 32,1. The number of layers in Internet protocol stack,a) 5,b) 7,c) 6,d) None of the mentioned,a,"Explanation: None."
Question 33,2. The number of layers in ISO OSI reference model,a) 5,b) 7,c) 6,d) None of the mentioned,b,"Explanation: None."
Question 34,3. This layer is an addition to OSI model when compared with TCP IP model,a) Application layer,b) Presentation layer,c) Session layer,d) Both Session and Presentation layer,d,"Explanation: None."
Question 35,4. Application layer is implemented in,a) End system,b) NIC,c) Ethernet,d) None of the mentioned,a,"Explanation: None."
Question 36,5. Transport layer is implemented in,a) End system,b) NIC,c) Ethernet,d) None of the mentioned,a,"Explanation: None."
Question 37,6. The functionalities of presentation layer includes,a) Data compression,b) Data encryption,c) Data description,d) All of the mentioned,d,"Explanation: None."
