Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. A relational database consists of a collection of,a) Tables,b) Fields,c) Records,d) Keys,a,Explanation: Fields are the column of the relation or tables.Records are each row in relation.Keys are the constraints in a relation . 
Question 2,2. A ________ in a table represents a relationship among a set of values.,a) Column,b) Key,c) Row,d) Entry,c,Explanation: Column has only one set of values.Keys are constraints and row is one whole set of attributes.Entry is just a piece of data.  
Question 3,3. The term _______ is used to refer to a row.,a) Attribute,b) Tuple,c) Field,d) Instance,b,Explanation: Tuple is one entry of the relation with several attributes which are fields. 
Question 4,4. The term attribute refers to a ___________ of a table.,a) Record,b) Column,c) Tuple,d) Key,b,Explanation: Attribute is a specific domain in the relation which has entries of all tuples. 
Question 5,"5. For each attribute of a relation, there is a set of permitted values, called the ________ of that attribute.",a) Domain,b) Relation,c) Set,d) Schema,a,Explanation: The values of the attribute should be present in the domain.Domain is a set of values permitted . 
Question 6,"6. Database __________  which is the logical design of the database, and the database _______ which is a snapshot of the data in the database at a given instant in time.","a) Instance, Schema","b) Relation, Schema","c) Relation, Domain","d) Schema, Instance",d,Explanation: Instance is a instance of time and schema is a representation. 
Question 7,"7.Course(course_id,sec_id,semester)","Here the course_id,sec_id and semester are __________ and course is a _________","a) Relations, Attribute","b) Attributes, Relation","c) Tuple, Relation",b,"Explanation: The relation course has a set of attributes course_id,sec_id,semester . "
Question 8,"8. Department (dept name, building, budget) and Employee (employee_id , name, dept name,salary)",Here the dept_name attribute appears in both the relations .Here using common attributes in relation schema is one way of relating ___________ relations.,a) Attributes of common,b) Tuple of common,c) Tuple of distinct,c,Explanation: Here the relations are connected by the common attributes. 
Question 9,9. A domain is atomic if elements of the domain are considered to be ____________ units.,a) Different,b) Indivisbile,c) Constant,d) Divisible,b,Explanation: None. 
Question 10,10. The tuples of the relations can be of ________ order.,a) Any,b) Same,c) Sorted,d) Constant,a,Explanation: The values only count .The order of the tuples does not matter. 
Question 11,1. Which one of the following is a set of one or more attributes taken collectively to uniquely identify a record?,a) Candidate key,b) Sub key,c) Super key,d) Foreign key,c,Explanation: Super key is the superset of all the keys in a relation. 
Question 12,"2. Consider attributes ID , CITY and NAME . Which one of this can be considered as a super key ?",a) NAME,b) ID,c) CITY,"d) CITY , ID",b,Explanation: Here the id is the only attribute which can be taken as a key. Other attributes are not uniquely identified . 
Question 13,3. The subset of super key is a candidate key under what condition ?,a) No proper subset is a super key,b) All subsets are super keys,c) Subset is a super key,d) Each subset is a super key,a,Explanation: The subset of a set cannot be the same set.Candidate key is a set from a super key which cannot be the whole of the super set  
Question 14,"4. A _____ is a property of the entire relation, rather than of the individual tuples in which each tuple is unique.",a) Rows,b) Key,c) Attribute,d) Fields,b,Explanation: Key is the constraint which specifies uniqueness. 
Question 15,5. Which one of the following attribute can be taken as a primary key ?,a) Name,b) Street,c) Id,d) Department,c,"Explanation: The attributes name , street and department can repeat for some tuples.But the id attribute has to be unique .So it forms a primary key. "
Question 16,6. Which one of the following cannot be taken as a primary key ?,a) Id,b) Register number,c) Dept_id,d) Street,d,Explanation: Street is the only attribute which can occur more than once. 
Question 17,7. A attribute in a relation is a foreign key if the _______ key from one relation is used as an attribute in that relation .,a) Candidate,b) Primary,c) Super,d) Sub,b,Explanation: The primary key has to be referred in the other relation to form a foreign key in that relation. 
Question 18,8. The relation with the attribute which is the primary key is referenced in another relation. The relation which has the attribute as primary key is called,a) Referential relation,b) Referencing relation,c) Referenced relation,d) Referred relation,b,Explanation: None. 
Question 19,9. The ______ is the one in which the primary key of one relation is used as a normal attribute in another relation.,a) Referential relation,b) Referencing relation,c) Referenced relation,d) Referred relation,c,Explanation: None. 
Question 20,10. A _________ integrity constraint requires that the values appearing in specified attributes of any tuple in the referencing relation also appear in specified attributes of at least one tuple in the referenced relation.,a) Referential,b) Referencing,c) Specific,d) Primary,a,"Explanation: A relation, say r1, may include among its attributes the primary key of another relation, say r2. This attribute is called a foreign key from r1, referencing r2. The relation r1 is also called the referencing relation of the foreign key dependency, and r2 is called the referenced relation of the foreign key. "
Question 21,1. Using which language can a user request information from a database ?,a) Query,b) Relational,c) Structural,d) Compiler,a,Explanation: Query language is a method through which the database entries can be accessed. 
Question 22,"2. Student(ID, name, dept name, tot_cred)",In this query which attribute form the primary key?,a) Name,b) Dept,c) Tot_cred,d,"Explanation: The attributes name ,dept and tot_cred can have same values unlike ID . "
Question 23,3. Which one of the following is a procedural language ?,a) Domain relational calculus,b) Tuple relational calculus,c) Relational algebra,d) Query language,c,Explanation: Domain and Tuple relational calculus are non-procedural language.Query language is a method through which the database entries can be accessed. 
