Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of the following language is MongoDB written in ?,a) Javascript,b) C,c) C++,d) All of the mentioned,d,Explanation: MongoDB (from humongous) is a cross-platform document-oriented database.
Question 2,2. Point out the correct statement :,a) MongoDB is classified as a NoSQL database,b) MongoDB favours XML format more than JSON,c) MongoDB is column oriented database store,d) All of the mentioned,a,Explanation: MongoDB supports JSON format compared to XML.
Question 3,3. Which of the following format is supported by MongoDB ?,a) SQL,b) XML,c) BSON,d) All of the mentioned,c,Explanation: MongoDB eschews the traditional table-based relational database structure in favor of JSON-like documents with dynamic schemas.
Question 4,4. MongoDB Queries can return specific fields of documents which also include user-defined __________ functions.,a) Javascript,b) C,c) C++,d) All of the mentioned,a,"Explanation: MongoDB supports search by field, range queries, regular expression searches."
Question 5,5. Point out the wrong statement :,a) Secondary indices is not available in MongoDB,"b) MongoDB supports search by field, range queries, regular expression searches",c) MongoDB can store the business subject in the minimal number of documents,d) All of the mentioned,a,Explanation: Any field in a MongoDB document can be indexed.
Question 6,6. Initial release of MongoDB was in the year :,a) 2000,b) 2005,c) 2009,d) 2011,c,Explanation: MongoDB is developed by the software company 10gen in October 2007 as a component of a planned platform as a service product.
Question 7,7. MongoDB has been adopted as ________ software by a number of major websites and services.,a) frontend,b) backend,c) proprietary,d) all of the mentioned,b,Explanation: MongoDB is the most popular NoSQL database system.
Question 8,"8. MongoDB is a _________ database that provides high performance, high availability, and easy scalability.",a) graph,b) key value,c) document,d) all of the mentioned,c,Explanation: Documents (objects) map nicely to programming language data types.
Question 9,9. Dynamic schema in MongoDB makes ____________ easier for applications.,a) inheritance,b) polymorphism,c) encapsulation,d) none of the mentioned,b,Explanation: Relational databases require that schemas be defined before you can add data.
Question 10,10. With ________ MongoDB supports a complete backup solution and full deployment monitoring.,a) MMS,b) AMS,c) CMS,d) DMS,a,Explanation: MMS stands for MongoDB Management Service and is available to all users in the cloud and on-premises as part of MongoDB Standard and Enterprise Subscriptions.
Question 11,1. MongoDB provides high ____________  with replica sets.,a) performance,b) availability,c) scalability,d) none of the mentioned,b,Explanation: A replica set consists of two or more copies of the data.
Question 12,2. Point out the correct statement :,a) MongoDB cannot be used as a file system,b) MongoDB can run over single servers only,c) Embedded documents and arrays reduce need for joins,d) None of the mentioned,c,"Explanation: MongoDB can run over multiple servers, balancing the load and/or duplicating data to keep the system up and running in case of hardware failure."
Question 13,3. ___________ replicas maintain a copy of the data on the primary using built-in replication.,a) Primary,b) Secondary,c) Backup,d) All of the mentioned,b,"Explanation: When a primary replica fails, the replica set automatically conducts an election process to determine which secondary should become the primary."
Question 14,4. MongoDB scales horizontally using _________ for load balancing purpose.,a) Replication,b) Partitioning,c) Sharding,d) None of the mentioned,c,"Explanation: The user chooses a shard key, which determines how the data in a collection will be distributed."
Question 15,5. Point out the wrong statement :,a) Each replica set member will act in the role of primary replica only,b) The primary replica performs all writes and reads by default,"c) Secondaries can also perform read operations, but the data is eventually consistent by default",d) None of the mentioned,a,Explanation: Each replica set member may act in the role of primary or secondary replica at any time.
Question 16,"6. MongoDB can be used as a ____________, taking advantage of load balancing and data replication features over multiple machines for storing files.",a) AMS,b) CMS,c) File system,d) None of the mentioned,a,Explanation: The data is split into ranges (based on the shard key) and distributed across multiple shards.
Question 17,7. _____________ can be used for batch processing of data and aggregation operations.,a) Hive,b) MapReduce,c) Oozie,d) None of the mentioned,b,Explanation: The aggregation framework enables users to obtain the kind of results for which the SQL GROUP BY clause is used.
Question 18,8. MongoDB supports fixed-size collections called ____________ collections.,a) primary,b) secondary,c) capped,d) all of the mentioned,c,"Explanation: This type of collection maintains insertion order and, once the specified size has been reached, behaves like a circular queue."
Question 19,9. MongoDB uses a ____________ lock that allows concurrent read access to a database but exclusive write access to a single write operation.,a) readers,b) readers-writer,c) writer,d) none of the mentioned,b,"Explanation: Before version 2.2, this lock was implemented on a per-mongod basis. Since version 2.2, the lock has been implemented at the database level."
Question 20,10. Which of the following sorting is not supported by MongoDB ?,a) collation,b) collection,c) heap,d) none of the mentioned,a,Explanation: MongoDB does not support collation-based sorting and is limited to byte-wise comparison via memcmp.
