Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of the following shows the correct Gibbs phase rule equation?,a) F=C-P+2,b) P=C+P,c) C=F-P+2,d) C=P-F,a,"Explanation: According to Gibb’s F=C-P+2 for any system, where F is degree of freedom, C is number of components and P is the number of phases."
Question 2,"2. The higher the concentration of volatile species, the distillation",a) The higher the rate of liquid flow,b) The lower the rate of Separation,c) The higher the rate of separation,d) Cannot be specified,c,Explanation: Volatility is directly proportional to the ease of separation (_) while it is inversely proportional to difficulty of separation.
Question 3,3. VLE data once obtained is represented on which scale?,a) Binary Scale (0<x<1),b) Pressure Scales (0<Pa<1),c) Temperature Ranges (T1<x<T2),d) Not specific,a,Explanation: Binary scales are most suitable as they represent mole fractions of the both species x* and y* at all conditions.
Question 4,"4. When the boiling temperature is plotted against the liquid composition, then it is called",a) Cooling Curve,b) Heating Curve,c) Bubble point curve,d) Volatility Phase Diagram,c,"Explanation: The (T-x) curve is called as Bubble point Curve, Where T is boiling temperature and x is the mole fraction of the liquid."
Question 5,"5. When the temperature is plotted against the equilibrium vapor, then it is called",a) Condensing Curve,b) Dew Point curve,c) Equilibrium Curve,d) Bubble Curve,b,"Explanation: The (T-y*) curve is called as Dew point Curve, Where T is boiling temperature, and y is the equilibrium moles of the gaseous components."
Question 6,6. The K value can be expressed as,a)  y/x,b) yi/x,c) x/y,d) yi/xi,d,Explanation: The ratio of mole fraction of components in vapor and liquid phase is called as K value.
Question 7,7. The Relative Volatility of components i and j can be defined as,a) Ki/Kj,b) K/Kj,c) yi/y,d) xi/x,a,"Explanation: The ratio of K values is defined as the relative volatility, Where Ki is the gaseous components and Kj is the fluid components."
Question 8,"8. Given that _AB=2.0, Then equilibrium ratio of B is KB=0.7, Estimate _BA ?",a) 0.9,b) 0.65,c) 0.5,d) 0.6,c,"Explanation: As _=KB/KA, 2.0= 0.7/KA, KA = 0.35 and _AB =KA/KB =0.35/0.7 = 0.5."
Question 9,9. Which system can be said as an Ideal system that obeys?,a) Henrys Law,b) Daltons Law,c) Phase Rule,d) Cremer’s rule,d,"Explanation: The system that obeys Henry’s and Dalton’s Law is called an ideal system, as they are derived from the ideal gas relation PV=Nrt."
Question 10,10. Which of the below is the Dalton’s Law?,a)  pi = yi/P,b)  x = yi/ pi,c)  pi = yi/x,d)  pi = xi/y,a,Explanation: According to Dalton’s law the partial pressure of component is solution is equal to product of its mole fraction and vapor pressure of pure components.
Question 11,1. An ideal distillation stage is the one that,a) Operates at steady state,b) Operates at High temperature,c) Operates at Low pressure,d) Operates at high pressure,a,"Explanation: An ideal distillation stage operates at steady state has liquid product and vapor product, i.e. Liquid rate equals the gas flow rate."
Question 12,2. When heat is supplied to bottom of liquid stage to vaporize a portion it is called,a) Condensing,b) Boil up,c) Cooling,d) Desalting,b,"Explanation: Such operations used in stripping section called as Boil up, the boiler is used as a heat exchanger to reheat the condensed liquid."
Question 13,3. When Cooling is applied to condense a part of overhead product it is called,a) Reflux,b) Dew point,c) Boil Up,d) Relative BP,a,"Explanation: Such operations is called as Rectifying stages and called Reflux, It is also called the ratio of distillate and liquid flow rate."
Question 14,4. When rectifying and stripping both are combined in single stage process this is,a) Differentiation,b) Fractionation,c) Recycle,d) Purging,b,"Explanation: Such is an operation is also called Fractional Distillation, The moles of the components reduce with respect to time in this operation."
Question 15,5. Minimum number of trays can be calculated using,a) Bernoulli’s Eon,b) Henry’s Law,c) Fenske’s Equation,d) Homotomy Equation,c,Explanation: Minimum number of trays can be easily calculated using Fenske’s equation with use of relative volatility.
Question 16,6. The external reflux ratio can be defined as,a) L0/D,b) D/L,c) D0/L,d) V/L,d,"Explanation: The reflux ratio is defined as the ratio of liquid flow rate and distilled flow rate, also this is called as the slope of rectifying line."
Question 17,7. The boil up ratio can be defined as ratio of,a) V/L,b) D/V,c) V/W,d) L/W,c,"Explanation: Boil up ratio is the ratio of vapor leaving the rebuilder to liquid at bottom product, also it is defined as the slope of stripping line."
Question 18,8. Optimum reflux ratio ranges between,a) 2 to 5,b) 2 to 3,c) 1.0 to 1 .5,d) 1.0 to 2.5,c,"Explanation: Best optimum reflux is between ranges. 1.0<R<1.5, as it is very close to unity the optimum conditions are best condition to operate."
Question 19,"9. If stages are fixed, then Reflux ratio",a) Decreases,b) Increases,c) Equates to 0,d) Approaches infinity.,b,"Explanation: The stages and the reflux ratio are directly proportional, while when it approaches to 0 the distillate is not withdrawn and if infinite all feed is withdrawn."
Question 20,"10. If reflux increases, then the cost of operation",a) First increases then decreases,b) Goes on increasing,c) Approaches infinity,d) First decreases then increases,a,"Explanation: The reflux ratio follows an exponential relation with cost, cost grows exponentially as the reflux increases and can cause increase in cost. "
Question 21,1. The method of construction of an x-y diagram was explained by,a) Richardson and Coulson,b) Robinson and Gilliland,c) Murphree and Fenske,d) Cremer and Pullong,b,"Explanation: Pseudo properties were given by Robinson and Gilliland, while Murphree and Fenske gave equations to calculate trays and efficiency respectively."
Question 22,"2. Consider the following data, L’ = 363 and slope of section is 1.55. Estimate Vapor flow rate on either side",a) 234,b) 284,c) 303,d) 456,a,"Explanation: The slope is given by L’/V’=1.55, V’ = 363/1.55 = 234."
Question 23,3. The point where equilibrium curve and component balance meets is called as,a) Murphree point.,b) Intersection point,c) Junction point,d) Pinch point,d,Explanation: At infinite stages the where equilibrium curve and component balance meets is called as pinch point.
Question 24,4. HETP is defined?,a) Height equivalent to theoretical plate,b) High efficiency tower plate,c) High energy temperature point,d) Homotomy Engineer Temperature Point,a,"Explanation: HETP is Height equivalent to theoretical plate, also defined as ratio of HTU (height of transfer units) and NTU."
Question 25,5. The condition where reflux and stripping ratio approaches to infinity is called as,a) Minimum reflux,b) Total reflux,c) Optimum ratio,d) Feed ratio,b,"Explanation: Both balance lines approaches to coincide such a condition is called Total reflux, the slope of rectifying and stripping line matches each other."
Question 26,6. Which of following is an important assumption of McCabe Thiele method?,a) Heat loss is maximum,b) Heat loss is negligible,c) Heat loss is infinite,d) Can’t be specified,b,Explanation: The major assumption of McCabe Thiele method is Heat loss is negligible and also an overhead reboiler and condenser are used to recover heat loss.
Question 27,7. In which case Constant Molar overflow is true?,a) Equimolar counter diffusion,b) Equimolar co-current diffusion,c) Distinct overflow,d) Not Sure of Diffusion,a,"Explanation: CMO is totally based on the assumption of equal-molar counter diffusion, mainly used in the calculation of trays in the McCabe Thiele method."
Question 28,"8) In McCabe Thiele method, equilibrium line is drawn between",a) x-y,b) y-x,c) x*- y,d) y*-x,a,"Explanation: The equilibrium is always drawn between x-y mole ratios, where x is mole of liquid feed and y is the mole of gas at equilibrium conditions."
Question 29,9. The equilibrium line is plotted on the graph at,a) Middle of both sections,b) 900  from stripping section,c) 450  from axis meet up,d) At meetup of axis,c,"Explanation: Equilibrium line is always plotted between axes at 450, while the 90 0 perpendicular is used to find the feed point on x-y graph."
Question 30,10. The tray by tray approach method was given by,a) Sorel,b) McCabe,c) Fenske,d) Murphree,a,"Explanation: The oldest method of calculation was given by Sorel in 1893, Murphree gave equations for efficiency, Fenske for the minimum trays."
Question 31,"1. Separation of a volatile mixture of relatively pure products, is done in a",a) Steam distillation,b) Fractionating Column,c) Flash Distillation,d) Depending of product required,d,Explanation:  The separation always depends on the quality of product required independent of operation required.
Question 32,2. McCabe Thiele is based on the assumption?,a) Constant molar overflow,b) Constant reflux ratio,c) Volatile products are used for better separation,d) Boil up ratio is infinity,a,"Explanation: The best assumption of the McCabe Method is it is based on Constant molar overflow, while heat duties are neglected in the method."
Question 33,3.  The vapor rich section in the distillation column is called as,a) Rectifying Section,b) Boiling section,c) Stripping Section,d) Leaching section,a,Explanation: The part above the feed tray is rich in vapor which is called as rectifying or enriching section and contains only vapor in equilibrium with liquid.
Question 34,4. The liquid rich section in a distillation column is called as,a) Boil up section,b) Reflux section,c) Stripping Section,d) Enriching Section,c,Explanation:  The part below the feed tray is enriched with liquid feed which is called as Stripping Section and contains only liquid at the column temperature.
Question 35,5. The feed of a distillation column is related to be a,a) Binary mixture,b) Urinary mixture,c) Mixture of phases,d) Tertiary Mixture,d,"Explanation: Mixture of phases i.e. two phase mixture is necessary for distillation, either it can be a multicomponent mixture as per required conditions."
Question 36,6. The equilibrium curve of the column is given as,a) yn=x,b) y*=x,c) yn+1=xn,d) xn+1=y,c,"Explanation: The equilibrium curve is the locus of all equilibrium point given as yn+1=xn, while y*=x represents the equilibrium relation of gas and liquid. "
Question 37,7. The feed line equation is given by,a) F – L = q,b) L’ – L = qF,c) V – V’ =F,d) F = L – V,b,Explanation: The feed line equation is L’ – L = QF where q is the product of quantity of liquid contained in feed.
Question 38,8. The overall Energy balance of a column is given by,a) V1HV1 = L0HL0 + DHD + QC,b) QC = V1HV1,c) V1HV1 = DHD + H0,d) Can change with models,a,"Explanation: The energy balance equation is given as V1HV1 = L0HL0 + DHD + QC, where Qc is the heat provided through reboiler."
Question 39,"9. If the liquid flow rate is 212 and vapor flow rate is 284, then the slope of rectifying section is?",a) 0.55,b) 0.89,c) 1.33,d) 0.75,d,Explanation: As slope is given by L/V = 212/284 = 0.75.
Question 40,"10. If 0.75 is the fraction of liquid in the feed, Estimate the feed line slope?",a) -2.0,b) -1.5,c) -3.0,d) Cannot be calculated,c,Explanation: As given q=0.75 then feed slope is given by q/q-1 = 0.75/-0.25= -3.0.
Question 41,1. The overall material balance of the tower is given by,a) L= V+W,b) F=D+W,c) D= F+HD,d) D= V+HD,b,"Explanation: The overall material balance equation is given as F=D+W where F is the flow rate, D is the distillate and W is the withdrawn product."
Question 42,"2. If R=1.5 and xd= 0.96, then intercept of enriching line is estimated as",a) 0.384,b) 0.234,c) 0.5,d) 0.96,a,Explanation: As xD/R+1 = 0.96/1.5+1 =0.384.
Question 43,3. The real number of trays are obtained as ratio of,a) Number of ideal trays and flow rate,b) Number of ideal trays and efficiency,c) Number of ideal trays and reflux ratio,d) Number of ideal trays and stripping ratio,b,"Explanation: Number of ideal trays divided by the tray efficiency gives us the real number of trays, Number of ideal trays and reflux ratio gives us the ease of separation."
Question 44,"4. If the ideal trays are 7.7 and the efficiency of each one is 0.5, then real number of trays are",a) 15.4,b) 14.1,c) 15.0,d) 18.5,a,Explanation:  The real number of trays are 7.7/0.5 = 15.4.
