Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question1,1. How many grams of NaCl represent 1 mole?,"a)	23","b)	35.5","c)	58.5","d)	69.5",c,"Explanation: Molecular weight of NaCl is 58.5 grams, => 1 mole represent 58.5 grams of NaCl."
Question 2,2. How many atoms of carbon represent 1.5 mole?,"a)	6.022 X 1023","b)	1.2044 X 1023","c)	3.011 X 1023","d)	9.033 X 1023",d,"Explanation: Number of moles = number of atoms/AvogadroÕs number, => 1.5 = n/6.022 X 1023, => n = 9.033 X 1023."
Question3,3. Calculate the number of moles in 42 grams of NaHCO3?,"a)	0.5","b)	1","c)	1.5","d)	2",a,"Explanation: Molecular weight of NaHCO3 = 84 grams, => number of moles = 42/84 = 0.5."
Question4,4. Calculate the number of moles in 369 grams of CaOCl2?,"a)	1","b)	2","c)	3","d)	4",c,"Explanation: Molecular weight of CaOCl2 = 127, => number of moles = 369/127 = 3."
Question5,5. Which of the following has the same number of moles as in 398 grams of CuSO4?,"a)	2 grams of hydrogen","b)	40 grams of oxygen","c)	35 grams of nitrogen","d)	58.5 grams of Sodium chloride",b,"Explanation: Number of moles of CuSO4 = 398/ 159 Å 2.5, and number of moles of oxygen = 40/16 = 2.5."
Question6,6. What are the number of atoms of chlorine in 250.5 grams of Cl2O6?,"a)	1.806 X 1024","b)	2.408 X 1024","c)	9.033 X 1023","d)	6.022 X 1023",a,"Explanation: Number of moles of Cl2O6 = 250.5/167 = 1.5, => number of atoms of chlorine = 2*1.5*(6.022 X 1023) = 1.806 X 1024."
Question7,7. What are the number of moles of Hydrogen in 158 grams of Ammonium Bicarbonate?,"a)	5","b)	10","c)	15","d)	20",b,"Explanation: Molecular Weight of ammonium bicarbonate (NH4HCO3) = 79 grams, => moles = 158/79 = 2, => Number of moles of hydrogen = 2* 5 = 10."
Question8,8. What are the number of moles of nitrogen in 274 grams of (NH4)2Ce(NO3)6?,"a)	16","b)	8","c)	6","d)	4",d,"Explanation: Molecular Weight of (NH4)2Ce(NO3)6 = 548 grams, => moles of (NH4)2Ce(NO3)6 = 274/548 = 0.5, => number of moles of nitrogen = 0.5*8 = 4."
Question9,9. What are the number of moles of hydrogen in NH4[Cr(SCN)4(NH3)2] if the weight of nitrogen in it is 49 grams?,"a)	3.5","b)	5","c)	7","d)	10",b,"Explanation: Moles of nitrogen = 49/14 = 3.5, => moles of  NH4[Cr(SCN)4(NH3)2] = 3.5/7 = 0.5, => moles of hydrogen = 0.5*10 = 5."
Question10,"10. What are the number of molecules of water in CuSO4¥5H2O, if the weight of oxygen in it is 36 grams?","a)	3.25 X 1023","b)	5.25 X 1023","c)	7.52 X 1023","d)	9.52 X 1023",c,"Explanation: Number of moles of oxygen = 36/16 =2.25, => number of moles of CuSO4¥5H2O = 2.25/9 = 0.25, => number of molecules of water = 0.25*5*(6.022 X 1023) = 7.52 X 1023."
Question11,1. Which of the following is not a unit of density?,"a)	Kg/m3","b)	N/m3","c)	N.s2/m4","d)	g/cm3",b,"Explanation: Dimensions of density are M1L-3, which is not the dimension of N/m3, so N/m3 is not the unit of density."
Question12,2. What is the density of a substance of mass 10 grams and volume 5 liters?,"a)	2 kg/m3","b)	20 kg/m3","c)	200 kg/m3","d)	2000 kg/m3",a,Explanation: Density = (10*10-3)/(5*10-3) = 2 kg/m3.
Question13,"3. A solid of density d is dropped in a liquid of density D, if d>D then,","a)	Solid will completely sink","b)	Solid will completely float","c)	Solid will partially sink","d)	None of the mentioned",a,"Explanation: Since the density of solid is greater than that of liquid, this means that the weight of the solid will be higher than its buoyancy force so it will completely sink."
Question14,"4. A liquid of mass 10 kg is enclosed in a cylinder of radius 1 m and length 5 m, what is the density of liquid?","a)	0.54 kg/m3","b)	0.44 kg/m3","c)	0.63 kg/m3","d)	0.83 kg/m3",c,"Explanation: Volume of cylinder = ¹(12)5 = 5¹ m3, => Density = 10/5¹ = 0.63 kg/m3."
Question15,"5. What is the density of a liquid of mass 20 kg, enclosed in a cuboid of surface areas of three sides as 1 m2, 2 m2, 5 m2, and one of its sides is 2 m?","a)	1 kg/m3","b)	2 kg/m3","c)	3 kg/m3","d)	4 kg/m3",b,"Explanation: Sides of the cuboid are 1m, 2m and 5m, => volume = 10 m3, density = 20/10 = 2 kg/m3."
Question16,6. What is the density of a liquid of mass 10 kg and contained in a cylinder of radius 5 m and surface area (excluding top and bottom) of 10¹ m2?,"a)	0.2¹ kg/m3","b)	0.4¹ kg/m3","c)	0.5¹ kg/m3","d)	0.6¹ kg/m3",b,"Explanation: Height of cylinder = 10¹/(2¹*5) = 1 m, => volume of cylinder = ¹(52)1 = 25¹, => density of liquid = 10/25¹ = 0.4¹ kg/m3."
Question17,"7. What is the mass of a liquid having density 20 kg/m3, enclosed in a sphere of radius 1 m?","a)	80.7 kg","b)	83.7 kg","c)	85.7 kg","d)	88.7 kg",b,"Explanation: Volume of liquid = (4/3)¹13 = 4.18 m3, => mass of liquid = 20*4.18 = 83.7 kg."
Question18,"8. What is the mass of a cube having surface area 24 m2, and density 1 kg/m3?","a)	1 kg","b)	2 kg","c)	4 kg","d)	8 kg",d,"Explanation: Side of the cube = (24/6)0.5 = 2 m, => mass of cube = 1*23 = 8 kg."
Question19,"9. An empty vessel has with mass 5 kg with volume 0.1 m3, is now completely filled with a liquid of density 100 kg/m3, what is the final density of the cylinder?","a)	50 kg/m3","b)	100 kg/m3","c)	150 kg/m3","d)	200 kg/m3",c,"Explanation: Mass of liquid = 100*0.1 = 10 kg, => total mass of cylinder = 10 + 5 = 15 kg, => final density of liquid = 15/0.1 = 150 kg/m3."
Question20,"10. A cylinder completely filled with water has density = 10 kg/m3 and volume 5 m3 , now a cube with side 1 m and density 25 kg/m3 is dipped into the cylinder with some water dropping out, what is the final density of cylinder?(neglect the mass of cylinder)","a)	13 kg/m3","b)	15 kg/m3","c)	17 kg/m3","d)	19 kg/m3",a,"Explanation: Initial mass of cylinder = 10*5 = 50 kg, mass of cube = 25*1 = 25 kg, => mass of water coming out = 10*1 = 10 kg, => final density of cylinder = (50 + 25 Ð 10)/5 = 13 kg/m3."
Question21,1. What is the unit of specific gravity?,"a)	Kg/m3","b)	N/m3","c)	m/s2","d)	Dimensionless",d,"Explanation: Specific gravity of a substance is the ratio of density of the substance and density of a reference substance, so it is dimensionless."
Question22,2. What is the specific gravity of a substance with density 100 kg/m3 with respect to reference substance of density 100 lb/m3?,"a)	1.1","b)	2.2","c)	3.3","d)	4.4",b,"Explanation: Density of the substance = 100*2.2 = 220 lb/m3, Specific gravity = (100*2.2)/100 = 2.2."
Question23,"3. It is necessary to mention the temperature at which specific gravity is calculated, because","a)	Mass of the substance changes with temperature","b)	Rigidity of the substance changes with temperature","c)	Density of the substance changes with temperature","d)	None of the mentioned",c,"Explanation: Since the volume of the substance changes with temperature, which means density of the substance changes with temperature, thatÕs why it is required to mention the temperature at which specific gravity is calculated."
Question24,"4. What is the specific gravity of a substance with mass 10 kg and volume 2 m3, with respect to the reference density 50 g/m3?","a)	0.1","b)	0.2","c)	0.3","d)	0.4",a,"Explanation: Density of the substance = 10/2 = 5 kg/m3, => Specific gravity = 5/50 = 0.1."
Question25,5. What is the mass of a cone of radius 1 m and height 3 m having specific gravity 0.1? (Density of water = 1000 kg/m3),"a)	314.16 kg","b)	425.24 kg","c)	136.16 kg","d)	325.24 kg",a,"Explanation: Volume of cone = (1/3) ¹12*3 = 3.1416 m3, density of cone = 0.1*1000 = 100 kg/m3, => mass of cone = 100*3.1416 = 314.16 kg."
Question26,"6. API gravity is measured in,","a)	Gravity meter scale","b)	Hydrometer scale","c)	Richer scale","d)	None of the mentioned",b,Explanation: API gravity is measured in Hydrometer scale.
Question27,"7. API gravity is necessary for the calculation of specific gravity of petroleum products, because","a)	Volume of the petroleum products changes with temperature","b)	Mass of petroleum products changes with temperature","c)	Potential energy of petroleum products changes with temperature","d)	None of the mentioned",a,"Explanation: Since volume of petroleum products changes significantly with temperature, that means density of petroleum products changes significantly with temperature, so thatÕs why specific gravity of petroleum products changes with temperature, and thatÕs why API gravity is required."
Question28,8. What is the API gravity of a substance with specific gravity 1?,"a)	131.5","b)	141.5","c)	10","d)	50",c,Explanation: API = (141.5/sp.gr) Ð 131.5 = 141.5/1 Ð 131.5 = 10.
Question29,"9. What is the average mass of a substance with specific gravity 10, and its volume varies with time as V = t/500, from t = 2, to t = 0 seconds? (Density of water = 1000 kg/m3)","a)	25","b)	20","c)	40","d)	75",b,"Explanation: Density of substance = 10 * 1000 = 10000 kg/m3, => mass of substance = 10000*t/500 = 20t, => average mass = (1/2)º20t = 5t2 = 5(22 Ð 02) = 20."
Question30,"10. Mass of a substance is changing with respect to its volume as m = -v3 + 3v2 -2v, what is the maximum specific gravity of the substance between v = 1 m3 and v = 2 m3? (Density of reference substance = 0.25 kg/m3)","a)	1","b)	2","c)	3","d)	4",a,"Explanation: Density of substance D = m/v = -v2 + 3v Ð 2, => Specific gravity of substance S = D/0.25 = 4(-v2 + 3v Ð 2), => dS/dv = 4(-2v + 3) = 0, => v = 1.5, => S is maximum at v = 1.5, => maximum specific gravity = 4(-1.52 + 3*1.5 Ð 2) = 1."
Question31,11. What is the specific gravity of 10 Kg of water occupied in 10 m3 with respect to 200 g/m3?,"a)	0.2","b)	0.5","c)	1","d)	5",d,Explanation: Specific gravity = (10/10)/0.2 = 5.
Question32,12. What is the specific gravity of 5 Kg of water occupied in 10 m3 with respect to 500 g/m3?,"a)	0.5","b)	1","c)	2","d)	5",b,Explanation: Specific gravity = (5/10)/0.5 = 1.
Question33,13. What is the specific gravity of 10 Kg of water occupied in 5 m3 with respect to 100 g/m3?,"a)	1","b)	5","c)	10","d)	20",d,Explanation: Specific gravity = (10/5)/0.1 = 20.
Question34,14. What is the specific gravity of O2 at 27oC and 60 Pa with respect to 1 Kg/m3?,"a)	0.15","b)	0.28","c)	0.54","d)	0.76",d,Explanation: Specific gravity = (60*32/8.314*300)/1 = 0.76.
Question35,15. What is the specific gravity of N2 at 27oC and 6 Pa with respect to 0.1 Kg/m3?,"a)	0.16","b)	0.33","c)	0.51","d)	0.89",b,Explanation: Specific gravity = (6*14/8.314*300)/0.1 = 0.33.
Question36,1. Which of the following is the unit of flow rate?,"a)	Kg/s","b)	Liters/s","c)	Moles/s","d)	All of the mentioned",d,"Explanation: Mass flow rate = m/t, => unit = kg/s, volumetric flow rate = V/t, => unit = Liters/s, molar rate = n/t, => unit = moles/s."
Question37,2. Which of the following is not conserved for the flow of an incompressible liquid in a pipe with variable area?,"a)	Mass","b)	Volume","c)	Velocity","d)	Flow Rate",c,"Explanation: According to the equation of continuity, the product of area and velocity remains constant throughout the pipe, since the area of the pipe is variable, so the velocity if the liquid is variable."
Question38,3. What is the mass flow rate of a liquid flowing through a pipe of which 100 grams of water was collected in 10 seconds?,"a)	0.01 kg/s","b)	0.05 kg/s","c)	0.1 kg/s","d)	0.5 kg/s",a,Explanation: mass flow rate = 0.1/ 10 = 0.01 kg/s.
Question39,4. What is the volumetric flow rate if 100 kg of water is collected in 10 seconds? (Density of water = 1000 kg/m3),"a)	0.1 m3/s","b)	0.2 m3/s","c)	0.01 m3/s","d)	0.02 m3/s",c,"Explanation: volume of water collected = 100/1000 = 0.1 m3, => volumetric flow rate = 0.1/10 = 0.01 m3/s."
Question40,"5. A liquid is flowing through a pipe of cross section 4 m2 at a rate of 4 kg/s, at a point pipe is divided into two pipes of areas of equal areas, what will be the ratio of flow rate in both the pipes?","a)	1:3","b)	1:1","c)	1:2","d)	2:3",b,"Explanation: Since areas of the pipes are equal, by continuity equation flow will divide equally in the pipes, so their ratio will be 1:1."
Question41,"6. The velocity of water in a pipe of area 5 m2 is 10 m/s, what will be the flow rate of water?","a)	25 m3/s","b)	50 m3/s","c)	75 m3/s","d)	100 m3/s",b,Explanation: Flow rate = area*velocity = 5*10 = 50 m3/s.
Question42,"7. A liquid of density 0.1 kg/m3 is flowing through a pipe at a rate of 15 kg/s, what will be the area of the pipe if the fluid velocity is 5 m/s?","a)	30 m2","b)	45 m2","c)	75 m2","d)	90 m2",a,"Explanation: Volumetric flow rate of the liquid = 15/0.1 = 150 m3/s, => Area of pipe = 150/5 = 30 m2."
Question43,"8. 1 mole of Carbon dioxide enters in a reactor at a rate of 0.25 kg/s and leaves it at the rate of 1 kg/s, what are the number of moles of carbon dioxide leaves the reactor?","a)	0.25","b)	0.5","c)	0.75","d)	1",a,"Explanation: Applying reaction equilibrium equation, 1*0.25 = n*1, => n = 0.25."
Question44,"9. A Composition of carbon dioxide, oxygen and nitrogen with mole ratio 1:2:5 with 4 moles of oxygen, enters a reactor with a flow rate of 100 kg/s, the ratio of rates of leaving the reactor of the three is 5:2:1, and 5 moles of nitrogen leaves the reactor, what is the total number of moles leaving the reactor?","a)	6.1","b)	6.2","c)	6.3","d)	6.4",b,"Explanation: number of moles of carbon dioxide, oxygen and nitrogen are 2, 4 and 10 respectively, let the leaving flow rates of carbon dioxide, oxygen and nitrogen are 5y, 2y and y respectively, => for nitrogen, 10*100 = y*5 => y = 200 kg/s, => for oxygen, 4*100 = 400*n => n = 1, for carbon dioxide, 2*100 = 1000*n => n = 0.2, => total number of moles leaving the reactor = 5 + 1 + 0.2 = 6.2."
Question45,"10. 10 moles of oxygen divides and enters two reactors flow rate 45 kg/s and leaves the reactors at the flow rates of 6 kg/s and 9 kg/s, what are number of moles of oxygen that leaves the reactor with 9 kg/s?","a)	180","b)	450","c)	60","d)	90",d,"Explanation: Let number of moles entering and leaving the second reactor be n1 and n2 respectively, applying reaction equilibrium equation to whole system, => 10*45 = n*(6 + 9), => n = 30, => Applying reaction equilibrium equation to both the reactors separately, => n1*45 = n2*9 => n2 = 5n1, and (10 Ð n1)*45 = (30 Ð n2)*6, Solving both equations we get n2 = 90."
Question46,"11. 10 Kg/s of a fluid with density 10 Kg/m3 is passed into a tank of capacity 50 m3, how much time will it take to fill the tank?","a)	5 Second","b)	50 Second","c)	500 Second","d)	5000 Second",b,"Explanation: Flow rate of fluid = 10/10 = 1 m3/s, => Time = 50/1 = 50 second."
Question47,"12. 15 Kg/s of a fluid with density 5 Kg/m3 is passed into a tank of capacity 30 m3, how much time will it take to fill the tank?","a)	3 Second","b)	10 Second","c)	30 Second","d)	100 Second",b,"Explanation: Flow rate of fluid = 15/5 = 3 m3/s, => Time = 30/3 = 10 second."
Question48,"13. 20 Kg/s of a fluid with density 5 Kg/m3 is passed into a tank of capacity 60 m3, how much time will it take to fill the tank?","a)	5 Second","b)	10 Second","c)	15 Second","d)	20 Second",c,"Explanation: Flow rate of fluid = 20/5 = 4 m3/s, => Time = 60/4 = 15 second."
Question49,"14. 16 grams of oxygen is passed in the process in 5 minutes, what is the molar flow rate?","a)	0.1 mole/min","b)	1 mole/min","c)	10 mole/min","d)	16 mole/min",a,Explanation: Flow rate of fluid = (16/32)/5 = 0.1 mole/min.
