Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. What is night soil?,a) Soil containing urea,b) Human excreta,c) Animal excreta,"d) Human excreta, animal excreta and urea",d,"Explanation: Human excrement collected at night from buckets, cesspools, privies and sometimes used as manure is called night soil. The night soil consists of human excreta, animal excreta and urea originating at privies, water closets, urinals and stables."
Question 2,"2. Wastewater from different sources like bathrooms, kitchens and wash basins is called ______",a) Sewage,b) Garbage,c) Sullage,d) Discharge,c,"Explanation: Dry wastes such as dry leaves, paper and grass are called garbage. Discharge is the outflow of water or wastewater. Sewage is the wastewater from various houses. Sullage is the wastewater from bathroom, kitchen, wash basins, etc."
Question 3,3. Which of the following conditions is not suitable for the disposal of excreta or sewage?,a) The waste does not pollute the ground surface,b) It is not exposed to the atmosphere,c) It should be accessible for children,d) It does not give odour nuisance,c,Explanation: The place and criteria for the disposal of waste play a major role. It should be off the sight of the people so it doesn’t cause displease for the vision and it must not be accessible for children and household pets with respect to health aspects.
Question 4,"4. The system to collect night soil, garbage etc. in separate vessels or deposited in pools and pits is called _______",a) Conservancy system,b) Waste allocation system,c) Waste deposition system,d) Waste pit,a,"Explanation: Conservancy system is an old system in which various types of wastes such as night soil, garbage, etc. are collected separately in vessels and deposited in pools or pits and then removed periodically once in 24 hours."
Question 5,"5. In urban cities like Bangalore, which of the water carriage system is used?",a) Separate system,b) Combined system,c) Partially combined system,d) Partially separate system,a,"Explanation: Urban cities have a large area and high population, therefore water usage is more and sewage generated will also be more. Hence, a separate system to carry sewage and stormwater is necessary. Whereas in rural areas, precipitation will be absorbed by the ground and infiltered. Therefore only a little amount of precipitation forms storm. Hence the combined system is preferred."
Question 6,6. Which of the following is an advantage of the conservancy system over water carriage system?,a) Labour force,b) Water consumption,c) Compact house design,d) Spread of epidemic,b,"Explanation: In the conservancy system, compact house design is not possible, a large labour force is required and there is a spread of an epidemic. Hence, little water consumption is an advantage of the conservancy system over water carriage system."
Question 7,7. The means of promoting hygiene through the prevention of human contact with the hazards of wastes especially feces is called ________,a) Hygiene control,b) Disease prevention,c) Sanitation,d) Hygiene,c,Explanation: Sanitation generally refers to hygiene by the prevention of wastes coming into human contact especially feces. The various measures taken to reduce the occurrence of diseases are called disease prevention.
Question 8,"8. The relatively clean wastewater from baths, sinks, washing machines and other kitchen appliances is called ________",a) Grey water,b) Black water,c) Yellow water,d) Wastewater,a,Explanation: Yellow water refers to the wastewater containing only feces. Black water is the wastewater from bathrooms and toilets. Wastewater generally refers to the water that cannot be used or water produced out of various uses.
Question 9,3. The area of land where all the precipitation falls will flow downhill into a specific stream called _______,a) Reservoirs,b) Water tanks,c) Water towers,d) Drainage basin,d,"Explanation: The water that falls on the ground and flows across the surface until it hits a stream is called runoff. Each waterway has a drainage basin, which is an area of land where all precipitation that falls will flow downhill into a specific stream."
Question 10,4. What is the drainage basin also called as?,a) Watershed,b) Runoff area,c) Water pond,d) Wetland,a,"Explanation: Each waterway has a drainage basin which is an area of land where all the precipitation that falls will flow downhill into a specific stream and it is also called watershed. Watershed management is the process of creating and implementing programs, plans and projects to sustain and enhance watershed functions that affect the plant, animal and human communities within a watershed boundary."
