Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,2. The tributary area lines between two columns/beams are at how much distance from one of the beam?,a) 0.2 of the total in between length,b) 0.4 of the total in between length,c) 0.5 of the total in between length,d) Depends on the amount of load carried,c,"Explanation: Tributary area is bounded by lines lying halfway from next beam/column, irrespective of load carried."
Question 2,4. What is the maximum no. of structures to which an area can be a tributary are to?,a) 1,b) 2,c) 3,d) 4,a,Explanation: A particular area can’t be a tributary area to more than one member of a structure at one time.
Question 3,5. Which out of the following statements is true?,a) Tributary area > influence area,b) Tributary area <= influence area,c) Tributary area >= influence area,d) No relation can be defined,b,"Explanation: An influence area is always a tributary area. So, tributary area <= influence area."
Question 4,"6. If in an interior beam, adjacent structures are exactly similar then the tributary area is:-",a) Trapezium,b) Acute triangle,c) Obtuse triangle,d) Right angled triangle,d,"Explanation: Since, the structures are similar; angles of triangle will be 45 and 90 degrees."
Question 5,"8. When column supports the top floor of a building, then live load reduction is:-",a) Permitted,b) Not permitted,c) Depends upon type of beam,d) Depends upon amount of load,b,"Explanation: When column support a floor, it should be thought of as supporting a single floor only."
Question 6,"1. If influence area contributing to a particular load increases, then what happens to the possibility of having full design load on each square meter of area?",a) Increases,b) Decreases,c) Doesn’t affect,d) Depends on case,b,"Explanation: As area increases, likelihood of having max. Load decreases due to known forces."
Question 7,3. Reduction factors given in Section 4.8 of ASCE 7-02 & in Section 1607.9.1 of IBC-2003 are:-,a) Different,b) Same,c) Vary in some cases,d) There is no reduction factor in Section 4.8 of ASCE 7-02,b,Explanation: Both have same reduction factor which is L = Lo(0.25 + (15/((KLL*AT)0.5))).
Question 8,4. What is the minimum limit of influence area (in sq. ft) till which live loads can be reduced?,a) 100,b) 200,c) 300,d) 400,d,"Explanation: From the equation of reduction factor, it can be shown that the lower limit is 400sq.ft."
Question 9,"5. In the case of a structural member supporting more than one floor with load exceeding 100psf., what is the maximum permitted reduction %?",a) 10,b) 15,c) 20,d) 25,c,"Explanation: In buildings supporting more than one floor, studies have shown that rarely it is loaded (a floor) with more than 80% of its design load."
Question 10,6. Loads used to obtain column design forces and to obtain beam design forces are:-,a) Necessarily same,b) Necessarily different,c) Most likely same,d) Most likely different,d,Explanation: This happens because the reduction factor are most likely to be different.
Question 11,"7. When column supports the top floor of a building, then live load reduction is:-",a) Permitted,b) Not permitted,c) Depends upon type of beam,d) Depends upon amount of load,b,"Explanation: When column support a floor, it should be thought of as supporting a single floor only."
Question 12,"1. With the allowable stress method, which conditions are computed?",a) Most severe loading conditions and inelastic stresses,b) Most severe loading conditions and elastic stresses,c) Feeble loading conditions and inelastic stresses,d) Feeble loading conditions and elastic stresses,b,Explanation: This method computes most severe loading conditions and elastic stresses but appreciably below the ultimate stresses.
Question 13,2. Allowable stress method considers which type of loadings?,a) Simultaneous,b) Non- simultaneous,c) Mixture of both,d) Only dead loads,a,Explanation: It considers simultaneous loading possibilities to determine most severe loading conditions.
