Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which circuit is called as regenerative repeaters?,a) Analog circuits,b) Digital circuits,c) Amplifiers,d) A/D converters,b,Explanation: The main advantage of digital communication is that the signals can be reproduced easily. Thus digital circuits are called as regenerative repeaters.
Question 2,2. What are the advantages of digital circuits?,a) Less noise,b) Less interference,c) More flexible,d) All of the mentioned,d,"Explanation: Digital circuits are less subject to noise, distortion and interference as it works on digital pulses and also the pulses can be regenerated."
Question 3,3. How many different combinations can be made from a n bit value?,a) 2(n+1),b) 2(n),c) 2(n)+1,d) None of the mentioned,b,"Explanation: 2(n) different combinations can be made from n bit value. For example, from 2 bit value 22 different combinations-00,01,10,11 can be made."
Question 4,4. How many bytes does a gigabyte have?,a) 1 million bytes,b) 10 million bytes,c) 1 billion bytes,d) 10 billion bytes,c,Explanation: One gigabyte has 1 billion bytes.
Question 5,5. What is the ASCII value of space?,a) 32,b) 48,c) 96,d) 65,a,Explanation: The ASCII value of space is 32 and ASCII value of 0 is 48.
Question 6,6. Which block or device does the data compression?,a) Channel encoder,b) Source encoder,c) Modulator,d) None of the mentioned,b,Explanation: Source encoder converts the digital or analog signal to a sequence of binary digits. This process is called as source encoding or compression.
Question 7,7. What is the code rate?,a) k/n,b) n/k,c) All of the mentioned,d) None of the mentioned,a,Explanation: Here n is the total bits of sequence and k bits are mapped. Amount of redundancy introduced is given by n/k and its reciprocal is the code rate.
Question 8,8. Pulse shaping is done by which block or system?,a) Encoder,b) Baseband modulator,c) Pulse code modulator,d) Demodulator,c,Explanation: Pulse code modulator does filtering process to build pulses that occupy more than one bit time.
Question 9,9. Equalizer is used for?,a) Filtering,b) Diminish distortion,c) All of the mentioned,d) None of the mentioned,c,Explanation: Equalizer is used as a filtering option and also diminishes or reduces the distortion.
Question 10,10. Source coding block is used for?,a) Compressing,b) Digitizing,c) A/D conversion,d) All of the mentioned,d,"Explanation: Source encoding does all these processes-compression, digitizing the signal and performs analog to digital conversion."
Question 11,11. Which measurement considers phase as an important parameter?,a) Coherent,b) Non-coherent,c) All of the mentioned,d) None of the mentioned,a,Explanation: Coherent measurement considers phase as an important parameter.
Question 12,12. The size of the alphabet M in symbol is calculated as?,a) 2(k+1),b) 2k,c) 2(k-1),d) 1+2k,b,Explanation: The size of the alphabet is calculated using 2^k where k is the number of bits in the symbol.
Question 13,1. What is the period of a signal x(t)?,a) T,b) 2T,c) T/2,d) None of the mentioned,a,Explanation: A signal is said to be periodic if the duration of one complete cycle is T and it repeats itself after this duration.
Question 14,2. Which of the given signals are periodic?,a) x(t) = 4 cos(5πt),b) x(t) = u(t) – 1/2,c) x(t) = 4u(t) + 2sin(3t),d) x[n] = 2sin(3n),a,"Explanation:	T=2π / 5π = 2/5, periodic with period 2/5."
Question 15,3. Check whether the signal is periodic or not?,x(t) = cos(4t) + 2sin(8t),a) Periodic with period π/2,b) Periodic with period 2,c) Periodic with period 2/π,a,"Explanation: T1=2π /4   T2=2π /8, T1/T2 = 2   T=T1 or 2T2, T=π /2. "
Question 16,4. Find the periodicity of the following signal. x(t)=cos((2π/7)t)sin((3π/5)t),a) 30,b) 7,c) 35,d) 5/3,c,"Explanation: T1=2π/2π/7 = 7, T2=2π/3π/5=5/3, T1/T2=5/21, T=21T1 or 5T2, T=35. "
Question 17,5. Find the fundamental period of 1+sin^2 (3π/5)n.,a) 10/3,b) 5,c) 3π/5,d) None of the mentioned,b,Explanation: sin2(3π/5)n = (1-cos(6π/5)n)/2 = 1/2-1/2cos(6π/5)n ; period = 6π/(5*2π) = k/N = 3/5 ; N=5. 
Question 18,6. Which signal is called as energy signal?,a) Finite energy and zero power,b) Finite energy and non-zero power,c) Infinite energy and zero power,d) Infinite energy and non-zero power,a,Explanation: A signal is said to be an energy signal if it has finite energy and zero average power.
Question 19,7. Which signal is said to be power signal?,a) Infinite power and zero energy,b) Infinite power and non-zero energy,c) Finite power and infinite energy,d) Finite power and zero energy,c,Explanation: A signal is said to be power signal if it has finite power and infinite energy.
Question 20,8. Determine the periodicity and also find whether it is a power or energy signal?,"		e(-at)u(t)",a) Periodic and energy signal,b) Non periodic and energy signal,c) Periodic and power signal,b,Explanation: This is non periodic as it does not repeat itself after any period. And on calculating we will get energy as 1/2a which is finite. Thus it is an energy signal.
Question 21,9. Continuous Impulse signal is a power or energy signal?,a) Power signal,b) Energy signal,c) Both power and energy,d) Neither power nor energy signal,d,Explanation: On calculating using the power and energy calculation formula we will arrive at it is neither power nor energy signal.
Question 22,10. Discrete impulse signal is a power or energy signal?,a) Power signal,b) Energy signal,c) Both  power and energy signal,d) Neither power or energy signal,b,Explanation: On calculating using energy formula we will get the energy of this signal as 1 which is a finite value. Thus it is a energy signal.
Question 23,11. A unit impulse function has?,a) Large amplitude,b) Zero pulse width,c) Unity weight,d) All of the mentioned,d,"Explanation: An impulse function has infinite or large amplitude, zero pulse width and unity weight which is concentrated at zero."
