1. An electro-mechanical energy conversion device is one which converts _______,a) Electrical energy to mechanical energy only,b) Mechanical energy to electrical energy only,c) All of the mentioned,d) None of the mentioned,c,"Explanation: The operating principles of electrical to mechanical and mechanical to electrical conversion devices are similar, hence, the common name electro-mechanical device.However, their structural details differ depending on their function."
2. What is the coupling field used between the electrical and mechanical systems in an energy conversion devices?,a) Magnetic field,b) Electric field,c) Magnetic field or Electric field,d) None of the mentioned,c,"Explanation: Either electric field or magnetic field can be used, however most commonly we use magnetic field because of its greater energy storage capacity."
3. The energy storing capacity of magnetic field is about ________ times greater than that of electric field?,"a) 50,000","b) 25,000","c) 10,000","d) 40,000",b,"Explanation: As the energy storage capacity of the magnetic field is higher, it is most commonly used as coupling medium in electro-mechanical energy conversion devices."
4. The formula for energy stored in the mechanical system of linear motion type is ______,a)  1/2 Jwr2,b) 1/2 mv2,c) 1/2 mv,d) Jwr2,b,"Explanation: Energy stored is kinetic energy, since the system is of linear motion."
"7. The developed electromagnetic force and/or torque in electromechanical energy conversion system, acts in such a direction that tends to ___________",a) increase the stored energy at constant mmf,b) decrease the stored energy at constant mmf,c) decrease the co-energy at constant mmf,d) increase the stored energy at constant flux,b,"Explanation: fe=-(∂Wfld (_,x))/∂x= -(∂Wfld (_,x))/∂x  and Te=-(∂Wfld (_,_))/∂_=-(∂Wfld(_,_))/∂_."
"9. A physical system of electromechanical energy conversion, consists of a stationary part creating a magnetic field with electric energy input, and a moving part giving mechanical energy output. If the movable part is kept fixed, the entire electrical energy input will be _______",a) stored in the magnetic field,b) stored in the electric field,c) divided equally between the magnetic and electric fields,d) zero,a,"Explanation: As the movable part is fixed, Wmech=0, we know, Welec=Wmech+ Wfld,therefore, Welec=Wfld."
"1. For a toroid to extract the energy from the supply system, the flux linkages of the magnetic field must be ________",a) zero,b) changing or varying,c) constant,d) any of the mentioned,b,"Explanation:  dWelec=id_=eidt, where dWelec= differential electrical energy to coupling field, and if the flux linkages are either constant or zero, i.e, d_=0, then dWelec=0."
2. Magnetic stored energy density for iron is given by ______,a) 1/2  B/_,b) 1/2 B2 _,c) 1/2  _2 Rl,d) 1/2  B2/_,d,"Explanation: Magnetic stored energy density for iron is given aswfld=Wfld/((Length of the magnetic path through Iron)*(Iron area normal to the magnetic flux))=1/2  (F_)/(length*Area)=1/2  F/length  _/area=1/2  H*BAlso,   H=  B/_,thus wfld=1/2  B2/_."
3. The energy stored in a magnetic field is given by ____________ where L=self-inductance and Rl=reluctance.,a) 1/2 Li2,b) 1/2 (mmf*Rl)2,c) 1/2_Rl,d) 1/2 _2i,a,"Explanation:  We know that Wfld=1/2 _i and L=_/i  , thus Wfld=1/2 Li2."
"4. When a current of 5A flows through a coil of linear magnetic circuit, it has flux linkages of 2.4 wb-turns. What is the energy stored in the magnetic field of this coil in Joules?",a) 6,b) 12,c) 1.2,d) 2.4,a,Explanation: Wfld=1/2 _*i=  1/2*2.4*5=6 Joules.
