Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The abbreviation PIV in the case of a diode stands for,a) Peak Inferior Voltage,b) Problematic Inverse Voltage,c) Peak Inverse Voltage,d) Peak Internal Voltage,c,Explanation: PIV stands for Peak Inverse Voltage. It is the maximum reverse bias voltage which a diode can bear without breakdown.
Question 2,2. What is mean by PIV rating of a diode,a) Maximum reverse bias potential which can be applied across a diode without breakdown,b) Maximum forward bias potential which can be applied across a diode without breakdown,c) Minimum potential required by a diode to reach conduction state,d) Maximum power allowable to a diode,a,Explanation: PIV rating indicate the maximum allowable reverse bias voltage which can be safely applied to a diode. If reverse potential is greater than PIV rating then the diode will enter reverse breakdown region.
Question 3,3. The voltage after which the diode current exponentially increases with forward bias is NOT known as,a) Offset voltage,b) Threshold potential,c) Firing potential,d) Peak forward voltage,d,"Explanation: The voltage after which a diode increases rapidly is known as  offset voltage, threshold voltage, firing potential and cut-in voltage. Beyond this voltage the forward bias voltage overcomes the potential barrier and rapid conduction occurs."
Question 4,4. The diode current equation is not applicable in,a) Forward biased sate,b) Reverse biased state,c) Unbiased state,d) It is applicable in all bias sates,d,"Explanation: Diode equation is I=I0 (e(qV/kT)-1). It is applicable in all bias condition that is forward, reverse and unbiased states."
Question 5,5. Emission coefficient of Germanium is,a) 1,b) 1.1,c) 1.5,d) 2,a,Explanation: Emission coefficient or ideality factor accounts the effect of recombination taking place in the depletion region. The range of factor is from 1 to 2.For Germanium it is 1.
Question 6,6. The ideality factor of Silicon is,a) 1,b) 2,c) 1.3,d) 1.7,b,Explanation: Emission coefficient or ideality factor accounts the effect of recombination taking place in the depletion region. The range of factor is from 1 to 2.For silicon it is 2.
Question 7,7. The value of voltage equivalent of temperature at room temperature(27oC),a) 26mV,b) 36mV,c) 0.26mV,d) 260mV,a,Explanation: Voltage equivalent of temperature VT is equal to the product of boltzman constant and temperature.  At room temperature it is 26mV.
Question 8,9. When temperature increases reverse saturation current,a) Increases,b) Decreases,c) DoesnÍt depend on temperature,d) Either increases or decreases,a,Explanation: As temperature increases conductivity of a semiconductor increases. Reverse saturation current increases as temperature increases.
Question 13,5. Which of the following statement is false for a zener diode voltage rated as ñVZ ñ,a) Reverse breakdown occurs at VZ,b) Forward breakdown occurs at VZ,c) Zener diode is a heavily doped diode,d) Usually operates in reverse bias mode,b,Explanation: Voltage rating is the voltage at which reverse breakdown occurs. Voltage rating of a zener diode indicates the voltage beyond which current increases rapidly. Beyond this point increase in reverse bias voltage will only reflect on current which means voltage drop beyond this point is almost constant. This phenomenon holds the key role in the working of zener diode as a voltage regulator. Zenor diode is a heavily doped diode because for zenor breakdown we need a narrow junction. It operates in reverse bias mode. In forward bias mode it operates as a normal diode.
Question 14,6. Voltage rating of a zener diode denoted,a) Reverse breakdown voltage,b) Forward breakdown voltage,c) Voltage at which current is maximum,d) maximum forward voltage which a diode can withstand,a,Explanation: Voltage rating of a zener diode indicates the voltage beyond which current increases rapidly. Beyond this point increase in reverse bias voltage will only reflect on current which means voltage drop beyond this point is almost constant. This phenomenon holds the key role in the working of zener diode as a voltage regulator.
