Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"2. In a series circuit, which of the parameters remain constant across all circuit elements such as resistor, capacitor and inductor etcetera?",a) Voltage,b) Current,c) Both voltage and current,d) Neither voltage nor current,b,"Explanation: In a series circuit, the current across all elements remain the same and the total voltage of the circuit is the sum of the voltages across all the elements."
Question 2,"5. If there are two bulbs connected in series and one blows out, what happens to the other bulb?",a) The other bulb continues to glow with the same brightness,b) The other bulb stops glowing,c) The other bulb glows with increased brightness,d) The other bulb also burns out,b,"Explanation: Since the two bulbs are connected in series, if the first bulb burns out there is a break in the circuit and hence the second bulb does not glow."
Question 3,7. A voltage across a series resistor circuit is proportional to?,a) The amount of time the circuit was on for,b) The value of the resistance itself,c) The value of the other resistances in the circuit,d) The power in the circuit,b,Explanation: V=IR hence the voltage across a series resistor circuit is proportional to the value of the resistance.
Question 4,8. Many resistors connected in series will?,a) Divide the voltage proportionally among all the resistors,b) Divide the current proportionally,c) Increase the source voltage in proportion to the values of the resistors,d) Reduce the power to zero,a,"Explanation: In a series circuit, the current remains the same across all resistors hence the voltage divides proportionally among all resistors."
Question 5,9. What is the voltage measured across a series short?,a) Infinite,b) Zero,c) The value of the source voltage,d) Null,b,Explanation: A short is just a wire. The potential difference between two points of a wire is zero hence the voltage measured is equal to zero.
Question 6,10. What happens to the current in the series circuit if the resistance is doubled?,a) It becomes half its original value,b) It becomes double its original value,c) It becomes zero,d) It becomes infinity,a,Explanation: I=V/R. Hence if R=2R V=I/2R and I=I/2.
Question 7,"1. If two bulbs are connected in parallel and one bulb blows out, what happens to the other bulb?",a) The other bulb blows out as well,b) The other bulb continues to glow with the same brightness,c) The other bulb glows with increased brightness,d) The other bulb stops glowing,b,"Explanation: In a parallel circuit, if one bulb blows out, it acts as an open circuit. Current does not flow in that branch but it continues to flow in the other branch hence the bulb continues to glow."
Question 8,"3. In a parallel circuit, with a number of resistors, the voltage across each resistor is ________",a) The same for all resistors,b) Is divided equally among all resistors,c) Is divided proportionally across all resistors,d) Is zero for all resistors,a,"Explanation: In parallel circuits, the current across the circuits vary whereas the voltage remains the same."
Question 9,4. The current in each branch of a parallel circuit is proportional to_______,a) The amount of time the circuit is on for,b) Proportional to the value of the resistors,c) Equal in all branches,d) Proportional to the power in the circuit,b,"Explanation: In a parallel circuit, I=V/R hence the value of the current id proportional to the value of the resistance."
Question 10,"9. The currents in the three branches of a parallel circuit are 3A, 4A and 5A. What is the current leaving it?",a) 0A,b) Insufficient data provided,c) The largest one among the three values,d) 12A,d,Explanation: The total current leaving a node is the same as the current that enters it. Total I=I1+I2+I3=3+4+5=12A.
Question 11,1. It is preferable to connect bulbs in series or in parallel?,a) Series,b) Parallel,c) Both series and parallel,d) Neither series nor parallel,b,"Explanation: Bulbs are connected in parallel so that even if one of the bulbs blow out, the others continue to get a current supply."
Question 12,5. Batteries are generally connected in______,a) Series,b) Parallel,c) Either series or parallel,d) Neither series nor parallel,a,Explanation: Batteries are generally connected in series so that we can obtain the desired voltage since voltages add up once they are connected in series.
Question 13,"6. In a _________ circuit, the total resistance is greater than the largest resistance in the circuit.",a) Series,b) Parallel,c) Either series or parallel,d) Neither series nor parallel,a,"Explanation: In series circuits, the total resistance is the sum of all the resistance in the circuit, hence the total is greater than the largest resistance."
Question 14,"7. In a ____________ circuit, the total resistance is smaller than th smallest resistance in the circuit.",a) Series,b) Parallel,c) Either series or parallel,d) Neither series nor parallel,b,"Explanation: in a parallel circuit, the equivalent resistance=1/sum of the reciprocals of all the re-sistances in the circuit. Hence it is smaller than the smallest resistance in the circuit."
Question 15,8. Which is the most cost efficient connection?,a) Series,b) Parallel,c) Either series or parallel,d) Neither series nor parallel,a,"Explanation: The advantage of series-connections is that they share the supply voltage, hence cheap low voltage appliances may be used. "
Question 16,6. What is the value of current if a 50C charge flows in a conductor over a period of 5 seconds?,"a)	5A","b)	10A","c)	15A","d)	20A",b,"Explanation: Current=Charge/Time. Here charge = 50c and time = 5seconds, so current = 50/5 = 10A."
Question 17,7. KCL deals with the conservation of?,a) Momentum,b) Mass,c) Potential Energy,d) Charge,d,"Explanation: KCL states that the amount of charge entering a junction is equal to the amount of charge leaving it, hence it is the conservation of charge."
Question 18,8. KCL is applied at _________,a) Loop,b) Node,c) Both loop and node,d) Neither loop nor node,b,"Explanation: KCL states that the amount of charge leaving a node is equal to the amount of charge entering it, hence it is applied at nodes."
Question 19,9. KCL can be applied for __________,a) Planar networks,b) Non-planar networks,c) Both planar and non-planar,d) Neither planar nor non-planar,c,Explanation: KCL is applied for different nodes of a network whether it is planar or non-planar.
Question 20,2. KCL deals with the conservation of?,a) Mass,b) Momentum,c) Charge,d) Energy,d,"Explanation: KVL states that the sum of the potential energy and taken with the right sign is equal to zero, hence it is the conservation of energy since energy doesnÕt enter or leave the system."
Question 21,5. The sum of the voltages over any closed loop is equal to __________,a) 0V,b) Infinity,c) 1V,d) 2V,a,"Explanation: According to KVL, the sum of the voltage over any closed loop is equal to 0."
Question 22,6. What is the basic law that has to be followed in order to analyze the circuit?,a) NewtonÕs laws,b) FaradayÕs laws,c) AmpereÕs laws,d) KirchhoffÕs law,d,"Explanation: KirchhoffÕs laws, namely KirchhoffÕs Current Law and KirchhoffÕs Voltage law are the basic laws in order to analyze a circuit."
Question 23,7. Every____________ is a ____________ but every __________ is not a __________,"a) Mesh, loop, loop, mesh","b) Loop, mesh, mesh, loop","c) Loop, mesh, loop, mesh","d) Mesh, loop, mesh, loop",a,"Explanation: According to KirchhoffÕs Voltage Law, Every mesh is a loop but every loop is not a mesh."
Question 24,10. KVL is applied in ____________,a) Mesh analysis,b) Nodal analysis,c) Both mesh and nodal,d) Neither mesh nor nodal,a,Explanation: Mesh analysis helps us to utilize the different voltages in the circuit as well as the IR products in the circuit which is nothing but KVL.
Question 25,1. Which of the following is not an expression power?,a) P=VI,b) P=I2R,c) P=V2/R,d) All of the mentioned,d,"Explanation: Power is the product of voltage and current. Writing I in terms of V, we get P=V2/R and writing V in terms of I, we get P=I2r. "
Question 26,2. Which of the following statements are true?,a) Power is proportional to Voltage,b) Power is proportional to current,c) Neither of the statements are right,d) Both the statements are right,d,Explanation: Power is proportional to both voltage and current. Hence both the options are right.
Question 27,3. A 250V bulb passes a current of 0.3A. Calculate the power in the lamp.,a) 75W,b) 50W,c) 25W,d) 90W,a,"Explanation: Here, V = 250v and I = 0.3A. P=VI. Which implies that, P=250*0.3=75W."
Question 28,4. Kilowatt-hour(kWh) is a unit of?,a) Current,b) Power,c) Energy,d) Resistance,c,"Explanation: Power is the energy per unit time. That is, P=E/t. If the unit of power in kW and the unit of time is an hour, then the unit of energy=unit of power*unit of time=kWh."
Question 29,6. A current of 5A flows in a resistor of 2 ohms. Calculate the power in the resistor and the energy dissipated in 300 seconds.,a) 15kJ,b) 15000kJ,c)1500J,d) 15J,a,"Explanation: P=I2R =52*2=50W.E= Pt=50*300=15000J=15kJ."
Question 30,9. Calculate the work done in a resistor of 20 ohm carrying 5A of current in 3 hours.,a) 1.5J,b) 15J,c) 1.5kWh,d) 15kWh,c,"Explanation: To find power: P=I2R=52*20=500W=0.5kW.To find Work done: W=Pt=0.5*3=1.5kWh."
Question 31,10. The SI unit of power is?,a) kW(kilo-watt),b) J/s(joules per second),c) Ws(watt-second),d) J/h(joules per hour,b,Explanation: Power = energy/time =J/s(joules per second). Hence the Si unit of Power is J/s.
Question 32,1. Which among the following is a unit for electrical energy?,a) V(volt),b) Wh(kilowatt-hour),c) Ohm,d) C(coloumb),b,"Explanation: Watt is a unit of power and hour is a unit of time. Energy is the product of power and time, hence the unit for power is kWh."
Question 33,2. A bulb has a power of 200W. What is the energy dissipated by it in 5 minutes?,a) 60J,b) 1000J,c) 60kJ,d) 1kJ,c,"Explanation: Here, Power = 200w and time = 5min. E=Pt => E= 200*5= 1000Wmin=60000Ws= 60000J= 60kJ."
Question 34,"3. Out of the following, which one is not a source of electrical energy?",a) Solar cell,b) Battery,c) Potentiometer,d) Generator,c,Explanation: A potentiometer is an instrument used for measuring voltage hence it is not a source for electrical energy.
Question 35,5. Which among the following is an expression for energy?,a) V2It,b) V2Rt,c) V2t/R,d) V2t2/R,c,"Explanation: Expression for power= VI, substituting I from ohmÕs law we can write, P=V2/R. Energy is the product of power and time, hence E=Pt= V2t/R."
Question 36,7. A battery converts___________,a) Electrical energy to chemical energy,b) Chemical energy to electrical energy,c) Mechanical energy to electrical energy,d) Chemical energy to mechanical energy,b,Explanation: A battery is a device in which the chemical elements within the battery react with each other to produce electrical energy.
Question 37,8. A current of 2A flows in a wire offering a resistance of 10ohm. Calculate the energy dissipated by the wire in 0.5 hours.,a) 72Wh,b) 72kJ,c) 7200J,d) 72kJh,b,Explanation: Here I (current) = 2A and Resistance(R) = 10ohm. Power= I2R= 22*10=40. Energy=Pt= 40*0.5*60*60= 72000J=72kJ.
Question 38,"10. Practically, if 10kJ of energy is supplied to a device, how much energy will the device give back?",a) Equal to10kJ,b) Less than 10kJ,c) More than 10kJ,d) Zero,b,"Explanation: Practically, if 10kJ of energy is supplied to a system, it returns less than the supplied energy because, some of the energy is lost as heat energy, sound energy etc."
Question 39,1. Materials which allow the passage of electric current are known as ______,a) Insulators,b) Conductors,c) Dielectrics,d) Semi-conductors,b,"Explanation: Conductors are materials(mostly metals), which freely allow the passage of electrons through it. If electrons can flow freely through a material, it implies that even current can flow freely through that material since current is the rate of flow of electrons."
Question 40,"2. A wire of length 2m and another wire of length 5m are made up of the same material and have the same area of cross section, which wire has higher resistance?",a) Both have equal resistance,b) The 2m wire has higher resistance,c) The 5m wire has higher resistance,d) The value of resistance cannot be determined from the given data,c,"Explanation: Resistance is directly proportional to the length of the wire, hence as the length of the wire increases, resistance increases. "
Question 41,"3. A wire having an area of cross section = 10sqm and another wire having an area of cross section= 15sqm, have the same length and are made up of the same material. Which wire has more resistance?",a) Both have equal resistance,b) The 10sqm wire has higher resistance,c) The 15sqm wire has higher resistance,d) The value of resistance cannot be determined from the given data,b,"Explanation: Resistance is inversely proportional to the area of cross-section. As an area of cross-section increases, resistance decreases. Hence the 10sqm wire has a higher resistance than the 15sqm wire."
