Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Source of Bioelectric potential is ____________ in nature.,a) electronic,b) electric,c) ionic,d) mechanical,c,"Explanation: Bioelectric potentials are generated at cellular level and the source of these potentials is ionic in nature. The prominent ions are K+, Na+, and Cl–. Electronic potential is seen in commonly used cells for example the Galvanic cell. Mechanical potential is found nowhere. Electrical potential is found in electricity. "
Question 2,2. Palsied muscles mean _____________,a) paralyzed muscles,b) active muscles,c) voluntary muscles,d) involuntary muscles,a,Explanation: Palsied is an adjective that means paralyzed. It is used to describe a muscle on which an individual has lost all control (cannot move). Voluntary muscles are the muscles on which the individual has complete control. Involuntary muscles are the ones on which the individual has no control for example heart wall muscles. 
Question 3,3. The principal ion that is not involved with the phenomena of producing cell potentials is ______________,a) sodium,b) potassium,c) chlorine,d) hydrogen,d,"Explanation: Sodium (Na+), Potassium (K+), and Chlorine (Cl–) are the principal ions involved with the phenomena of producing cell potentials. Na+ is present outside the cell membrane and creates a positively charged environment outside the cell membrane. Cl- is present inside the cell membrane and is responsible for the negative environment inside the cell membrane. "
Question 4,4. What is the relatively static membrane potential of quiescent cells called?,a) half-cell potential,b) action potential,c) resting membrane potential,d) cell potential,c,Explanation: Resting membrane potential or the resting potential is the relative static membrane potential of quiescent cell. That is if resting membrane potential of a neuron is about -70 mV (mV=millivolt) it means that the inside of the neuron is 70 mV less than the outside of the neuron. An action potential occurs when the potential of the membrane of a given axonal position increases and decreases rapidly. This depolarization causes depolarization of adjacent positions in a similar way.
Question 5,5. The variation of the electrical potential associated with the passage of a pulse along the membrane of a muscle cell or a nerve cell is called __________,a) muscle potential,b) action potential,c) resting potential,d) half cell potential,b,Explanation: An action potential occurs when the potential of the membrane of a given axonal position increases and decreases rapidly. This depolarization causes depolarization of adjacent positions in a similar way. Resting membrane potential or the resting potential is the relative static membrane potential of quiescent cell.
Question 6,"7. After a cell is stimulated, a finite period of time is required for the cell to return to its pre-stimulus state. This period is known as ____________",a) restoration period,b) refactory period,c) regain period,d) regenerative period,b,"Explanation: After a cell is stimulated, a finite period of time is required for the cell to return to its pre-stimulus state. This is because the energy associated with the action potential is developed from metabolic process within the cell which takes time for completion. This time period is called refactory period. "
Question 7,8. Electrooculography (EOG/E.O.G.) is a technique for measuring what?,a) abnormal function of the retina,b) heart rate,c) respiration rate,d) cornea-retinal standing potential,d,Explanation: Electrooculography (EOG / E.O.G) is a technique for measuring the potential of the corneal retinal standing potential that exists between the front and back of the human eye. The resulting signal is called electrooculogram. The main applications are in the diagnosis of ophthalmology and the recording of eye movements.
Question 8,9. EKG stands for _________________,a) Electrocardiography,b) Electroencephalography,c) Electromyography,d) Electrtokinetcography,a,Explanation: Electrocardiography (ECG or EKG) is the way toward recording the electrical action of the heart over some stretch of time utilizing anodes put on the skin. It could simply be understood as the electrical representation of heart beat. Electroencephalography is the electrical recording of brain. 
Question 9,10. Phonocardiography is listening to __________,a) arm muscle sound,b) lungs sound,c) heart sound,d) respiratory tract sound,c,"Explanation: A phonocardiogram (or PCG) is a record high-constancy recording of sounds and mumble made by the heart with the assistance of the machine called phonocardiography. Consequently, phonocardiography is the chronicle of the considerable number of sounds made by the heart amid a heart cycle. Mostly stethoscope is used phonocardiography."
Question 10,1. Electrodes make a transfer from the __________ in the tissue to the electronic conduction which is necessary to make measurements.,a) electronic conduction,b) ionic conduction,c) electric conduction,d) impulsive conduction,b,Explanation: Electrodes make an exchange from the ionic conduction in the tissue to the electronic conduction which is important to make measurements. An electrolytic paste is applied between the electrodes and the skin to reduce skin contact impedance. The electrolyte also facilitates ionic conduction from the skin to the electrodes.
Question 11,3. Deep-seated electrodes indicates the electric potential difference arising ________ the living tissues or cells.,a) inside,b) outside,c) around,d) adjacent,a,Explanation: Deep-seated electrodes indicate the electric potential difference arising inside the living tissues or cells. Surface electrodes indicates the electric potentials arising outside the living tissues that is on the surface of the skin. Needle electrodes are example of deep seated electrodes.
Question 12,4. Impedance pneumography is a commonly-used technique to monitor a person’s _______,a) respiration rate,b) heart rate,c) pulse rate,d) skin impedance,a,"Explanation: Impedance pneumography is a commonly-used technique to monitor a person’s respiration rate, or breathing rate. It is implemented by using two electrodes or four electrodes. Skin impedance is the resistance between the skin and the electrode. Heart rate measurement is called ECG."
Question 13,5. Electrode paste ____________,a) increases contact impedance,b) equates contact impedance,c) reduces contact impedance,d) absorbs contact impedance,c,Explanation: In order to obtain a clearly established contact (low contact impedance) an electrolyte or electrode paste is usually employed as an interface between the electrode and the surface of the source of the event. It is placed between the skin and the electrode. It helps to get better signal acquisition.
Question 14,6. Heart wall is made up of __________ layers.,a) 2,b) 4,c) 3,d) 7,c,Explanation: Heart wall is made up of three layers. First pericardium which is the outer layer of the heart. Second is the myocardium which is the middle layer of the heart and finally endocardium which is the inner layer of the heart wall. 
Question 15,7. All electrode potentials are measured with respect to which reference electrode?,a) hydrogen electrode,b) platinum electrode,c) calomel electrode,d) hydrogen absorbed on platinum electrode,d,"Explanation: All electrode potentials are measured with respect to a reference electrode, usually that of hydrogen absorbed on platinum black. Thus, considering potential of hydrogen absorbed on platinum electrode to be zero, other all have positive of negative potentials. "
Question 16,8. What is the frequency range of ECG?,a) 70-120 Hz,b) 0.05-120 Hz,c) 5-120 Hz,d) 12-120 Hz,b,"Explanation: Primary signal characteristics of ECG are:Frequency range: 0.05-120 Hz.Signal amplitude: 0.1-5 mV.Typical signal: 1mV."
Question 17,9. What is the signal amplitude of EEG?,a) 2-200 µV,b) 2-200mV,c) 2-2000 µV,d) 2-2000mV,a,Explanation: The signal amplitude of EEG is between 2-200 µV. It is very small and requires special type of electrodes namely scalp electrodes. EEGs are difficult to capture because its signal range in very small and motion artifacts are much greater. 
Question 18,10. Needle electrode is used to measure ____________,a) EKG,b) EEG,c) EOG,d) EMG,d,"Explanation: EMG stands of Electromyogram. For recording action potential for individual motor units of muscle fiber, needle electrodes are used for better diagnostic information. These electrodes fall in the category of deep seated electrodes. "
Question 19,"11. From equipment point of view, the respiratory system in the human body is a _________ system.",a) hydraulic,b) pneumatic,c) mechanical,d) electrical,b,Explanation: Respiratory system is a pneumatic system in which an air pump (diaphragm) alternately creates negative and positive pressures in a sealed chamber (thoracic cavity) and causes air to be sucked into and forced out of a pair of elastic bags (lungs). Blood circulatory system is related to hydraulic system. 
Question 20,12. Off-set potential is _____________,a) difference in half-cell potentials between two electrodes,b) sum of half-cell potentials between two electrodes,c) average of half-cell potentials between two electrodes,d) complement of half-cell potentials between two electrodes,a,Explanation: The difference in half cell potential that exists between two electrodes is called off-set potential. The differential amplifies used to measure potentials between two electrodes are generally designed to cancel the electrode offset potential so that only the signals of interest are recorded. 
Question 21,13. Which of the following is not preferred for electrode making?,a) Ag-AgCl,b) Copper,c) Stainless-steel,d) Gold,c,Explanation: Stainless steel in contact with a saline electrolyte produce a potential difference of 10 mV between the electrodes which is much more than the limit (i.e 2.5 mV). Ad-AgCl electrodes give almost noise free characteristics. They are also found to be acceptable from the point of view of long term drift. 
Question 22,14. Which of the following statement is false about polarizable electrodes?,a) they are made using stainless steel,b) used for recording resting ECG,c) retain a residual charge when exposed to large pulse of energy,d) can transmit small bioelectric signals even after getting exposed to large pulse of energy.,d,"Explanation: Polarizable electrodes usually employ stainless steel and are used for resting ECG or other situations where there is small likelihood that the electrode would be exposed to a large pulse of energy (such as defibrillation discharge) in which case they would retain a residual charge, become polarized, and will no longer transmit the relatively small bioelectric signals, thus become useless."
Question 23,15. Which electrodes can work even after being induced to large electric discharge such as defibrillation?,a) polarizing electrodes,b) magnetic electrodes,c) non-polarizing electrodes,d) electrolytic electrodes,c,"Explanation: Non-polarizing electrodes are designed to rapidly dissipate any charge imbalance induced by powerful electric discharges such as a defibrillation procedure. Rapid depolarization enables the immediate reappearance of bioelectric signals on the monitor after defibrillation. For this reason, non-polarizing electrodes have become the electrodes of choice for monitoring in the intensive care units and stress testing procedures. "
Question 24,1. On increasing the chloride deposit the Ag-AgCl electrode ______________,a) increases impedance,b) reduces impedance,c) has no effect on impedance,d) cannot be determined,a,"Explanation: Studies have shown that impedance of electrode was different layers of chloride. There is an optimum chloriding, which gives the lowest impedance.  Above and below that value the impedance is high. "
Question 25,2. Ag-AgCl  electrodes are ___________,a) polarized,b) non-polarized,c) partially polarized,d) cannot be said,b,Explanation: The most important and desirable property of the electrodes designed to pick up signals from biological objects is that they should not polarize. This means that he electrodes potential must not vary considerably even when current passes through it. Electrodes made of Ag-AgCl yield acceptable standards of performance. 
Question 26,3. Silver -Silver Chloride electrodes are prepared by the process of ____________,a) centrifugation,b) etching,c) manually,d) electrolysis,d,Explanation: Silver-Silver Chloride electrodes are normally prepared by electrolysis. Two silver discs are suspended in a saline solution. The positive pole of dc supply is connected to the disc to be chloride and the negative pole goes to the other disc. 
