Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The dimension of strain is?,a) LT-2,b) N/m2,c) N,d) Dimensionless,d,Explanation: Strain is the ratio of change in dimension to original dimension. So it is dimensionless.
Question 2,2. What is tensile stress?,a) The ratio of change in length to the original length,b) The ratio of original length to the change in length,c) The ratio of tensile force to the change in length,d) The ratio of change in length to the tensile force applied,a,"Explanation: The tensile stress is the ratio of change in length to the original length. It is the stress induced in a body, when subjected to two equal and opposite pulls. The ratio of increase in length to the original length is the tensile strain."
Question 3,3. Find the strain of a brass rod of length 250mm which is subjected to a tensile load of 50kN when the extension of rod is equal to 0.3mm?,a) 0.025,b) 0.0012,c) 0.0046,d) 0.0014,b,Explanation: Strain = dL/L  = 0.3/250  = 0.0012.
Question 4,4. Find the elongation of an steel rod of 100mm length when it is subjected to a tensile strain of 0.005?,a) 0.2mm,b) 0.3mm,c) 0.5mm,d) 0.1mm,c,Explanation: dL = strain x L = 0.005 x 100 = 0.5mm.
Question 5,5. A tensile test was conducted on a mild steel bar. The diameter and the gauge length of bat was 3cm and 20cm respectively. The extension was 0.21mm. What is the value to strain ?,a) 0.0010,b) 0.00105,c) 0.0105,d) 0.005,b,Explanation: Strain = dL/L = 0.21/200 = 0.0005.
Question 6,6. q. Strain is a fundamental behaviour of material.,   r. Strain does not have a unit.,a) Both q. and r. are true and  r. is the correct explanation of q,b) Both q. and r. ate true but r. is not the correct explanatio of q,c)  q. is true but r. is false,b,"Explanation: Strain is measured in laboratory that is why it is called a fundamental quantity. Also since it is the ratio of dimension of length to the dimension of length, it is dimensionless."
Question 7,7. A tensile test was conducted on a steel bar. The gauge length of the bar was 10cm and the extension was 2mm. What will be the percentage elongation ?,a) 0.002,b) 0.02,c) 0.2,d) 2,d,Explanation: The percentage elongation = dL/L x 100 = 2/100 x 100 = 2.
Question 8,8. The lateral strain is ?,a) The ratio of axial deformation to the original length,b) The ratio of deformation in area to the original area,c) The strain at right angles to the direction of applied load,d) The ratio of length of body to the tensile force applied on it,c,Explanation: The lateral strain is the strain at right angles to the direction of applied load. The lateral strain is accompanied by the longitudinal strain.
Question 9,9. The unit of force in S.I. units is ?,a) Kilogram,b) Newton,c) Watt,d) Dyne,b,Explanation: Force = mass x acceleration = kg x m/s2 =  N.
Question 10,10. Which of the following is not the unit of distance?,a) Angstrom,b) Light year,c) Micron,d) Milestone,d,Explanation: Milestone means achievement . it is not and unit of distance.
Question 11,11. A solid cube is subjected to equal normal forces on all its faces. The volumetric strain will be x-times the linear strain in any of the three axes when ?,a) X=1,b) X=2,c) X=3,d) X=4,c,Explanation: The volumetric strain is the change in dimension in three directions and the linear strain depends on change in only one direction so volumetric strain is 1 times the linear strain in any of the three directions.
Question 12,12. A rod 200cm long is subjected to an axial pull due to which it elongates about 2mm. Calculate the amount of strain?,a) 0.001,b) 0.01,c) 0.02,d) 0.002,a,Explanation: The strain is given by = dL / L = 2/2000 = 0.001. 
Question 13,13. Some structural members subjected to long time sustained loads deform progressively with time especially at elevated temperatures. What is such a phenomenon called?,a) Fatigue,b) Creep,c) Creep relaxation,d) Fracture,b,Explanation: Creep is the deformation progressively with time. It comes when the body is subjected to long time load. After the instant deflection due to load the deformation occurs slowly with time.  
Question 14,14. Find the strain of a brass rod of length 100mm which is subjected to a tensile load of 50kN when the extension of rod is equal to 0.1mm?,a) 0.01,b) 0.001,c) 0.05,d) 0.005,b,Explanation: Strain = dL/L = 0.1/100 = 0.001.
Question 15,"1. The property by which a body returns to its original shape after removal of the force, is called",a) Plasticity,b) Elasticity,c) Ductility,d) Malleability,b,"Explanation: When an external force acts on a body,  the body tends to undergo some deformation. If the external force is removed and the body comes back to its original shape and size, the body is known as elastic body and this property is called elasticity."
Question 16,"2. The property of a material by which it can be beaten or rolled into thin plates, is called",a) Malleability,b) Plasticity,c) Ductility,d) Elasticity,a,Explanation: A material can be beaten into thin plates by its property of malleability.
Question 17,3. Which law is also called as the elasticity law,a) Bernoulli’s law,b) Stress law,c) Hooke’s law,d) Poisson’s law,c,Explanation: The hooke”s law is valid under the elastic limit of a body. It itself states that stress is proportional to the strain within elastic limit.
Question 18,"4. The materials which have the same elastic properties in all directions, are called",a) Isotropic,b) Brittle,c) Homogeneous,d) Hard,a,Explanation: Same elastic properties in all direction is called the homogenity of a material. 
Question 19,5. A member which does not regain its original shape after removal of load producing deformation is said,a) Plastic,b) Elastic,c) Rigid,d) None of the mentioned,a,Explanation: A plastic material does not regain its original shape after removal of load. An elastic material regain its original shape after removal of load. 
Question 20,"6. The body will regain it is previous shape and size only when the deformation caused by the external forces, is within a certain limit. What is that limit?",a) Plastic limit,b) Elastic limit,c) Deformation limit,d) None of the mentioned,b,Explanation: The body only regain its previous shape and size only upto its elastic limit.
Question 21,"7. The materials which have the same elastic properties in all directions, are called",a) Isotropic,b) Brittle,c) Homogenous,d) Hard,a,Explanation: Isotropic materials have the same elastic properties in all directions.
Question 22,"8. As the elastic limit reaches, tensile strain",a) Increases more rapidly,b) Decreases more rapidly,c) Increases in proportion to the stress,d) Decreases in proportion to the stress,a,"Explanation: On reaching of the tensile stress to the elastic limit after the proportionality limit, the stress is no longer proportional to the strain. Then the value of strain rapidly increases. "
Question 23,9. What kind of elastic materials are derived from a strain energy density function?,a) Cauchy elastic materials,b) Hypo elastic materials,c) Hyper elastic materials,d) None of the mentioned,c,Explanation: The hyper elastic materials are derived from a strain energy density function. A model is hyper elastic if and only if it is possible to express the cauchy stress tensor as a function of the deformation gradient.
