Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"1. In terms of which of the following properties, metals are better than ceramics?",a) Hardness,b) Ductility,c) Toughness,d) Yield Strength,b,"Explanation: Generally ceramics have equal or better hardness, toughness and yield strength but are highly susceptible to plastic deformation. Even a small stress beyond their yield point leads to fracture."
Question2,2. Steels mainly contain iron and carbon. Under which of the following categories do they belong?,a) Metallic Solid,b) Polymer,c) Composites,d) Ceramics,a,"Explanation: Since steels have very small amounts of carbon (usually less than 6%), they are considered iron alloy; hence metallic solid."
Question 3,3. GFRP is an important composite. It stands for,a) Gelatin Fibre Reinforced Polymer,b) Graphite Fibre Reinforced Polymer,c) Germanium Fibre Reinforced Polymer,d) Glass Fibre Reinforced Polymer,d,"Explanation: Glass Fibre Reinforced Polymer (GFRP) or commonly called fiberglass is a lightweight, high-strength, and corrosion-resistant industrial material."
Question 4,4. Ceramics make excellent refractory materials. A material is said to be refractory if it:,a) resists the flow of electric current,b) has high refractive index,c) retains its strength at high temperatures,d) all of the mentioned,c,"Explanation: Ceramics, which mainly consist of oxides, carbides and nitrides, can withstand very high temperatures; furnaces are generally lined with such ceramics."
Question 5,5. Which of the following cannot be used as bio-materials?,a) Metals,b) Ceramics,c) Polymers,d) None of the mentioned,d,"Explanation: Bio-materials are implanted into living bodies for replacement of damaged parts and hence, must be compatible with the body tissues and be non-toxic. As long as these criteria are met, all of the above materials – metals, ceramics, polymers and their combinations can be used as bio-materials."
Question 6,6. Which of the following is true for polymers?,a) They have very high molecular mass,b) They do not have linear stress-strain curve,c) They have high strength to mass ratio,d) All of the mentioned,d,"Explanation: Polymeric molecules are aggregates of large number of monomer units and possess high molecular mass. Hooke’s law generally does not apply to polymers as the stress developed is not directly proportional to deformation. Due to low densities, strength to mass ratio of polymers is often comparable to metals and ceramics."
Question 7,8. Calcium is an isobar of Argon. They differ in:,a) Atomic weight,b) Number of nucleons,c) Number of neutrons,d) None of the mentioned,c,"Explanation: Isobars differ in number of protons as well as that of neutrons but total number of nucleons( protons and neutrons) is same for all the isobars. Hence, isobars have same atomic weight."
Question 8,1. Species with the same number of neutrons but the different number of protons are called:,a) Isotones,b) Isotopes,c) Isomers,d) Isobars,a,"Explanation: Isotones are atoms of different elements having the same number of neutrons but different atomic and mass numbers. For e.g., Boron-12 and Carbon-12 are isotones each having 7 neutrons. "
Question 9,2. Atomic number of a species is the number of:,a) Neutrons,b) Protons,c) Valence electrons,d) Nucleons,b,"Explanation: Atomic number or the number of protons is the property that differentiates atoms of one species from another. For e.g., atomic numbers of Hydrogen and Helium are 1 and 2 respectively."
Question 10,4. Which of the following has the least number of atoms?,a) One gram of Hydrogen gas,b) One gram of Helium gas,c) One gram-mole of Oxygen gas,d) One gram-mole of Chlorine gas,b,"Explanation: One gram-mole of any gas contains Avogadro’s number of atoms/molecules. Hence, one gram-mole of Hydrogen gas and Helium gas weigh two grams and three grams respectively. 1g H2 = 1/2 g-mol H2; 1g He = 1/3 g-mol He. Thus, one gram of Helium has the least number of atoms."
