Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,,,,,,,,,,,,,
Question 1,1. _________ computing refers to applications and services that run on a distributed network using virtualized resources.,a) Distributed,b) Cloud,c) Soft,d) Parallel,b,Explanation: Cloud Computing applications are accessed by common Internet protocols and networking standards.,,,,,,,,,,,,,,,,,,,
Question 2,2. Point out the wrong statement :,a) The massive scale of cloud computing systems was enabled by the popularization of the Internet,b) Soft computing represents a real paradigm shift in the way in which systems are deployed,"c) Cloud computing makes the long-held dream of utility computing possible with a pay-as-you-go, infinitely scalable, universally available system",d) All of the mentioned,b,Explanation: Cloud Computing is distinguished by the notion that resources are virtual and limitless and that details of the physical systems on which software runs are abstracted from the user.,,,,,,,,,,,,,,,,,,,
Question 3,3. ________ as a utility is a dream that dates from the beginning of the computing industry itself.,a) Model,b) Computing,c) Software,d) All of the mentioned,b,"Explanation: Cloud computing takes the technology, services, and applications that are similar to those on the Internet and turns them into a self-service utility.",,,,,,,,,,,,,,,,,,,
Question 4,4. Which of the following is essential concept related to Cloud ?,a) Reliability,b) Productivity,c) Abstraction,d) All of the mentioned,c,Explanation: Cloud computing abstracts the details of system implementation from users and developers.,,,,,,,,,,,,,,,,,,,
Question 5,5. Point out the wrong statement :,a) All applications benefit from deployment in the cloud,"b) With cloud computing, you can start very small and become big very fast","c) Cloud computing is revolutionary, even if the technology it is built on is evolutionary",d) None of the mentioned,a,"Explanation: Issues with latency, transaction control, and in particular security and regulatory compliance are of particular concern.",,,,,,,,,,,,,,,,,,,
Question 6,6. Which of the following cloud concept is related to pooling and sharing of resources ?,a) Polymorphism,b) Abstraction,c) Virtualization,d) None of the mentioned,c,"Explanation: Applications run on physical systems that aren’t specified, data is stored in locations that are unknown, administration of systems is outsourced to others, and access by users is ubiquitous.",,,,,,,,,,,,,,,,,,,
Question 7,7. ________ has many of the characteristics of what is now being called cloud computing.,a) Internet,b) Softwares,c) Web Service,d) All of the mentioned,a,"Explanation: The Internet offers abstraction, runs using the same set of protocols and standards, and uses the same applications and operating systems.",,,,,,,,,,,,,,,,,,,
Question 8,8. Which of the following can be identified as cloud ?,a) Web Applications,b) Intranet,c) Hadoop,d) All of the mentioned,c,"Explanation: When an intranet becomes large enough that a diagram no longer wishes to differentiate between individual physical systems, the intranet too becomes identified as a cloud.",,,,,,,,,,,,,,,,,,,
Question 9,9. Cloud computing is an abstraction based on the notion of pooling physical resources and presenting them as a ________ resource.,a) real,b) virtual,c) cloud,d) none of the mentioned,b,"Explanation: Cloud Computing is a new model for provisioning resources, for staging applications, and for platform-independent user access to services.",,,,,,,,,,,,,,,,,,,
Question 10,10. Which of the following is Cloud Platform by Amazon ?,a) Azure,b) AWS,c) Cloudera,d) All of the mentioned,b,"Explanation: One of the most successful cloud-based businesses is Amazon Web Services, which is an Infrastructure as a Service offering that lets you rent virtual computers on Amazon’s own infrastructure.",,,,,,,,,,,,,,,,,,,
Question 11,1. _________ model consists of the particular types of services that you can access on a cloud computing platform.,a) Service,b) Deployment,c) Application,d) None of the mentioned,a,Explanation: Service models describe the type of service that the service provider is offering.,,,,,,,,,,,,,,,,,,,
Question 12,2. Point out the correct statement :,a) The use of the word “cloud” makes reference to the two essential concepts,b) Cloud computing abstracts systems by pooling and sharing resources,c) cloud computing is nothing more than the Internet,d) All of the mentioned,b,Explanation: Abstraction and Virtualization are the two essential concepts.,,,,,,,,,,,,,,,,,,,
Question 13,3. ________ refers to the location and management of the cloud’s infrastructure.,a) Service,b) Deployment,c) Application,d) None of the mentioned,b,Explanation: The deployment model tells you where the cloud is located and for what purpose.,,,,,,,,,,,,,,,,,,,
Question 14,4. Which of the following is deployment model ?,a) public,b) private,c) hybrid,d) all of the mentioned,d,"Explanation: Public, private, community, and hybrid clouds are deployment models.",,,,,,,,,,,,,,,,,,,
Question 15,5. Point out the wrong statement :,a) Cloud Computing has two distinct sets of models,b) Amazon has built a worldwide network of datacenters to service its search engine,c) Azure enables .NET Framework applications to run over the Internet,d) None of the mentioned,b,Explanation: Google has built mega data centres for its search engine.,,,,,,,,,,,,,,,,,,,
Question 16,6. Which of the following is best known service model ?,a) SaaS,b) IaaS,c) PaaS,d) All of the mentioned,d,"Explanation: The best-known service models are Software as a Service, Platform as a Service, and Infrastructure as a Service—the SPI model.",,,,,,,,,,,,,,,,,,,
Question 17,7. The __________ model originally did not require a cloud to use virtualization to pool resources.,a) NEFT,b) NIST,c) NIT,d) All of the mentioned,b,Explanation: NIST stands for National Institute of Standards and Technology.,,,,,,,,,,,,,,,,,,,
Question 18,8. _______ model attempts to categorize a cloud network based on four dimensional factors.,a) Cloud Square,b) Cloud Service,c) Cloud Cube,d) All of the mentioned,c,Explanation: Cloud Cube model is mainly used for secure collaboration.,,,,,,,,,,,,,,,,,,,
Question 19,9. How many types of dimensions exists in Cloud Cube Model ?,a) 1,b) 2,c) 3,d) 4,d,Explanation: There are four types of dimensions in Cloud Cube.,,,,,,,,,,,,,,,,,,,
Question 20,10. Which of the following dimension is related to organization’s boundaries ?,a) Physical location of data,b) Ownership,c) Security boundary,d) All of the mentioned,a,Explanation: Internal (I) / External (E) determines your organization’s boundaries.,,,,,,,,,,,,,,,,,,,
Question 21,1. How many types of security boundary values exist in Cloud Cube model ?,a) 1,b) 2,c) 3,d) None of the mentioned,b,Explanation: There are two types depending upon network firewall.,,,,,,,,,,,,,,,,,,,
Question 22,2. Point out the correct statement :,a) A deployment model defines the purpose of the cloud and the nature of how the cloud is located,b) Service model defines the purpose of the cloud and the nature of how the cloud is located,c) Cloud Square Model is meant to show is that the traditional notion of a network boundary being the network’s firewall no longer applies in cloud computing,d) All of the mentioned,a,Explanation: Four types of deployment models exist.,,,,,,,,,,,,,,,,,,,
Question 23,3. Which of the following is provided by ownership dimension of Cloud Cube Model ?,a) Proprietary,b) Owner,c) P,d) All of the mentioned,b,Explanation: P stands for Proprietary ownership.,,,,,,,,,,,,,,,,,,,
Question 24,4. __________is a measure of whether the operation is inside or outside the security boundary or network firewall.,a) Per,b) P,c) Pre,d) All of the mentioned,d,Explanation: Per stands for Perimeterised.,,,,,,,,,,,,,,,,,,,
Question 25,5. Point out the wrong statement :,a) Public cloud may be managed by the constituent organization(s) or by a third party,b) A community cloud may be managed by the constituent organization(s) or by a third party,c) Private clouds may be either on- or off-premises,d) None of the mentioned,a,Explanation: The public cloud infrastructure is available for public use alternatively for a large industry group.,,,,,,,,,,,,,,,,,,,
Question 26,6. Which of the following is related to service provided by Cloud ?,a) Sourcing,b) Ownership,c) Reliability,d) AaaS,a,Explanation: Insourced or Outsourced means whether the service is provided by the customer or the service provider.,,,,,,,,,,,,,,,,,,,
Question 27,7. ________ dimension corresponds to two different states in the eight possible cloud forms.,a) Physical location of data,b) Ownership,c) Security boundary,d) None of the mentioned,d,Explanation: The sourcing dimension addresses the deliverer of the service.,,,,,,,,,,,,,,,,,,,
Question 28,8. The ________ cloud infrastructure is operated for the exclusive use of an organization.,a) Public,b) Private,c) Community,d) All of the mentioned,b,Explanation: The cloud may be managed by that organization or a third party.,,,,,,,,,,,,,,,,,,,
Question 29,9. __________ cloud is one where the cloud has been organized to serve a common function or purpose.,a) Public,b) Private,c) Community,d) All of the mentioned,c,Explanation: A community cloud may be managed by the constituent organization(s) or by a third party.,,,,,,,,,,,,,,,,,,,
Question 30,"10. A hybrid cloud combines multiple clouds where those clouds retain their unique identities, but are bound together as a unit.",a) Public,b) Private,c) Community,d) Hybrid,d,"Explanation: A hybrid cloud may offer standardized or proprietary access to data and applications, as well as application portability.",,,,,,,,,,,,,,,,,,,
Question 31,1. Which of the following is owned by an organization selling cloud services ?,a) Public,b) Private,c) Community,d) Hybrid,a,Explanation: The public cloud infrastructure is available for public use alternatively for a large industry group.,,,,,,,,,,,,,,,,,,,
Question 32,2. Point out the wrong statement :,a) Everything from the application down to the infrastructure is the vendor’s responsibility,"b) In the deployment model, different cloud types are an expression of the manner in which infrastructure is deployed","c) AaaS provides virtual machines, operating systems, applications, services, development frameworks, transactions, and control structures",d) All of the mentioned,c,"Explanation: PaaS provides virtual machines, operating systems, applications, services, development frameworks, transactions, and control structures.",,,,,,,,,,,,,,,,,,,
Question 33,"3. _______ provides virtual machines, virtual storage, virtual infrastructure, and other hardware assets",a) IaaS,b) SaaS,c) PaaS,d) All of the mentioned,a,"Explanation: The IaaS service provider manages all the infrastructure, while the client is responsible for all other aspects of the deployment.",,,,,,,,,,,,,,,,,,,
Question 34,4. Which of the following provides development frameworks and control structures ?,a) IaaS,b) SaaS,c) PaaS,d) All of the mentioned,c,Explanation: Infrastructure as a Service (IaaS) is a form of cloud computing that provides virtualized computing resources over the Internet.,,,,,,,,,,,,,,,,,,,
Question 35,5. Point out the wrong statement :,"a) A PaaS service adds integration features, middleware, and other orchestration and choreography services to the IaaS model",b) XaaS or ‘anything as a service’ is the delivery of IT as a Service through hybrid Cloud computing,c) Monitoring as a Service (MaaS) is at present still an emerging piece of the Cloud jigsaw,d) None of the mentioned,d,Explanation: Monitoring as a Service provides the option to offload a large majority of those costs by having it run as a service as opposed to a fully invested in house tool.,,,,,,,,,,,,,,,,,,,
Question 36,"6. _______ is a complete operating environment with applications, management, and the user interface.",a) IaaS,b) SaaS,c) PaaS,d) All of the mentioned,b,"Explanation: In the SaaS model, the application is provided to the client through a thin client interface.",,,,,,,,,,,,,,,,,,,
Question 37,7. How many types of service model are mainly present in Cloud ?,a) 1,b) 2,c) 3,d) 4,c,Explanation: Three types of Service model exist.,,,,,,,,,,,,,,,,,,,
Question 38,8. The three different service models is together known as the _____ model of cloud computing.,a) SPI,b) SIP,c) CPI,d) All of the mentioned,a,Explanation: Many other service models are also present.,,,,,,,,,,,,,,,,,,,
Question 39,9. CaaS stands for _____________ as service.,a) Compliance,b) Computer,c) Community,d) Communication,d,"Explanation: Communication as a Service (CaaS), enables the consumer to utilize Enterprise level VoIP, VPNs, PBX and Unified Communications without the costly investment of purchasing, hosting and managing the infrastructure.",,,,,,,,,,,,,,,,,,,
Question 40,10. Which of the following is IaaS service provider ?,a) EC2,b) EC1,c) EC10,d) Hybrid,a,"Explanation: On Amazon EC2, a client would provision a computer in the form of a virtual machine image.",,,,,,,,,,,,,,,,,,,
Question 41,1. Which of the following was one of the top 5 cloud applications in 2010 ?,a) Cloud backup,b) Web applications,c) Business applications,d) All of the mentioned,d,Explanation: Cloud computing has shifted the economics of software delivery in a manner similar to the way that music downloads have shifted the delivery of commercial music.,,,,,,,,,,,,,,,,,,,
Question 42,2. Point out the correct statement :,a) Google’s cloud includes perhaps some 10 data centers worldwide,b) Flipkart.com’s infrastructure was built to support elastic demand so the system could accommodate peak traffic,c) Data centers have been sited to optimize the overall system latency,d) All of the mentioned,c,Explanation: Datacenter can Keep land costs modest and occupation unobtrusive.,,,,,,,,,,,,,,,,,,,
Question 43,3. Which of the following benefit is related to creates resources that are pooled together in a system that supports multi-tenant usage ?,a) On-demand self-service,b) Broad network access,c) Resource pooling:,d) All of the mentioned,a,Explanation: A cloud service provider creates resources that are pooled together in a system that supports multi-tenant usage.,,,,,,,,,,,,,,,,,,,
Question 44,4. The _____ is something that you can obtain under contract from your vendor.,a) PoS,b) QoS,c) SoS,d) All of the mentioned,b,"Explanation: Depending upon the type of service being offered, you may find that you do not require hardware or software licenses to implement your service.",,,,,,,,,,,,,,,,,,,
Question 45,5. Point out the wrong statement :,a) Internet consumes roughly 1 percent of the world’s total power,b) The cost advantages of cloud computing have enabled new software vendors to create productivity applications,c) A client can provision computer resources without the need for interaction with cloud service provider personnel,d) None of the mentioned,a,Explanation: Data centers have been sited to have access to low cost power.,,,,,,,,,,,,,,,,,,,
Question 46,6. All cloud computing applications suffer from the inherent _______ that is intrinsic in their WAN connectivity.,a) propagation,b) latency,c) noise,d) all of the mentioned,b,"Explanation: While cloud computing applications excel at large-scale processing tasks, if your application needs large amounts of data transfer, cloud computing may not be the best model for you.",,,,,,,,,,,,,,,,,,,
Question 47,7. Cloud computing is a _______ system and it is necessarily unidirectional in nature.,a) stateless,b) stateful,c) reliable,d) all of the mentioned,a,"Explanation: Cloud computing is a stateless system, as is the Internet in general.",,,,,,,,,,,,,,,,,,,
Question 48,8. Which of the following is most important area of concern in cloud computing ?,a) Security,b) Storage,c) Scalability,d) All of the mentioned,a,"Explanation: When your data travels over and rests on systems that are no longer under your control, you have increased risk due to the interception and malfeasance of others.",,,,,,,,,,,,,,,,,,,
Question 49,9. You can’t count on a cloud provider maintaining your _____ in the face of government actions.,a) scalability,b) reliability,c) privacy,d) none of the mentioned,c,Explanation: Cloud computing industry continues to address security concerns.,,,,,,,,,,,,,,,,,,,
Question 50,10. Which of the following architectural standards is working with cloud computing industry ?,a) Service-oriented architecture,b) Standardized Web services,c) Web-application frameworks,d) All of the mentioned,a,"Explanation: These standards help to enable different business models that cloud computing vendors can support, most notably Software as a Service (SaaS), Web 2.0 applications, and utility computing.",,,,,,,,,,,,,,,,,,,
Question 51,1. Which of the following is one of the unique attribute of Cloud Computing ?,a) utility type of delivery,b) elasticity,c) low barrier to entry,d) all of the mentioned,d,"Explanation: These attributes change how applications are created, priced, and delivered.",,,,,,,,,,,,,,,,,,,
Question 52,2. Point out the correct statement :,a) Service Level Agreements (SLAs) is small aspect of cloud computing,b) Cloud computing does not have impact on software licensing,c) Cloud computing presents new opportunities to users and developers,d) All of the mentioned,c,Explanation: Because it is based on the paradigm of a shared multi-tenant utility.,,,,,,,,,,,,,,,,,,,
Question 53,3. Applications that work with cloud computing that have low margins and usually low risk are :,a) high touch,b) low touch,c) moderate touch,d) all of the mentioned,b,Explanation: The “high touch” applications that come with high margins require committed resources and pose more of a risk.,,,,,,,,,,,,,,,,,,,
Question 54,4. A service that concentrates on hardware follows the _________ as a Service model.,a) IaaS,b) CaaS,c) PaaS,d) All of the mentioned,a,Explanation: Amazon web service follows PaaS model.,,,,,,,,,,,,,,,,,,,
Question 55,5. Point out the wrong statement :,a) A cloud is defined as the combination of the infrastructure of a datacenter with the ability to provision hardware and software,b) High touch applications are best done on-premises,c) The Google App Engine follows IaaS,d) None of the mentioned,c,Explanation: The Google App Engine follows PaaS.,,,,,,,,,,,,,,,,,,,
Question 56,"6. When you add a software stack, such as an operating system and applications to the service, the model shifts to _____ model.",a) SaaS,b) PaaS,c) IaaS,d) All of the mentioned,a,Explanation: Microsoft’s Windows Azure Platform  is best described as currently using SaaS model.,,,,,,,,,,,,,,,,,,,
Question 57,7. Which of the following is most refined and restrictive service model ?,a) IaaS,b) CaaS,c) PaaS,d) All of the mentioned,C,"Explanation: When the service requires the client to use a complete hardware/software/application stack, it is using the most refined and restrictive service model.",,,,,,,,,,,,,,,,,,,
Question 58,8. _______ is a pay-as-you-go model matches resources to need on an ongoing basis.,a) Utility,b) Elasticity,c) Low barrier to entry,d) All of the mentioned,a,Explanation: This eliminates waste and has the added benefit of shifting risk from the client.,,,,,,,,,,,,,,,,,,,
Question 59,9. _______ feature allows you to optimize your system and capture all possible transactions.,a) scalability,b) reliability,c) elasticity,d) none of the mentioned,c,Explanation: You have the ability to right-size resources as required.,,,,,,,,,,,,,,,,,,,
Question 60,"10. _______ enables batch processing, which greatly speeds up high-processing applications.",a) Scalability,b) Reliability,c) Elasticity,d) Utility,a,Explanation: This feature obviates the need for planning and provisioning.,,,,,,,,,,,,,,,,,,,
Question 61,1. _______ blurs the differences between a small deployment and a large one because scale becomes tied only to demand.,a) Leading,b) Pooling,c) Virtualization,d) All of the mentioned,b,"Explanation: The virtualization of pooled resources—processors or compute engines, storage, and network connectivity—optimizes these investments and allows the cloud provider to pass along these economies to customers.",,,,,,,,,,,,,,,,,,,
Question 62,2. Point out the correct statement :,a) A branded cloud computing platform cannot extend customer relationships by offering additional service options,b) A cloud computing platform extends the company’s products and defends their franchise,c) The economies of scale cannot make a profitable business,d) All of the mentioned,b,Explanation: This is the case for Microsoft’s Windows Azure Platform.,,,,,,,,,,,,,,,,,,,
Question 63,3. A _____ is a facility that is a self-contained semiconductor assembly line.,a) fab,b) touch,c) rep,d) all of the mentioned,a,"Explanation: Companies such as TSMC (Taiwan Semiconductor Manufacturing Company) have come along that provides fabrication based on customer designs, spreading their risk and optimizing their operation.",,,,,,,,,,,,,,,,,,,
Question 64,4. How many laws exist for Cloudonomics by Weinman?,a) 4,b) 5,c) 10,d) 15,c,Explanation: Joe Weinman of AT&T Global Services has concisely stated the advantages that cloud computing offers over a private or captured system.,,,,,,,,,,,,,,,,,,,
Question 65,5. Point out the wrong statement :,a) Google App Engine allows a developer to scale an application immediately,b) The customer relationship management provider SalesForce.com has a development platform called Force.com that is an IaaS offering,c) A cloud computing provider can become a hub master at the center of many ISVs offerings,d) None of the mentioned,b,"Explanation: For Google, its office applications can be rolled out quickly and to large audiences.",,,,,,,,,,,,,,,,,,,
Question 66,6. Cutting latency in half requires ______ times the number of nodes in a system.,a) two,b) three,c) four,d) all of the mentioned,c,"Explanation: Latency, or the delay in getting a response to a request, requires both large-scale and multi-site deployments that are a characteristic of cloud providers.",,,,,,,,,,,,,,,,,,,
Question 67,7. Weinman argues that a large cloud’s size has the ability to repel ______ and DDoS attacks better than smaller systems do.,a) sniffers,b) botnets,c) trojan horse,d) all of the mentioned,b,Explanation: Superiority in numbers is the most important factor in the result of a combat.,,,,,,,,,,,,,,,,,,,
Question 68,8. The reliability of a system with n redundant components and a reliability of r is :,a) 1-(1-r)n,b) 1-(1+r)n,c) 1+(1-r)n,d) All of the mentioned,a,"Explanation: Therefore, when a datacenter achieves a reliability of 99 percent, two redundant data centers have a reliability of 99.99 percent (four nines) and three redundant data centers can achieve a reliability of 99.9999 percent (six nines).",,,,,,,,,,,,,,,,,,,
Question 69,9. A __________ site is one that is environmentally friendly: locations that are on a network backbone.,a) greenfield,b) redfield,c) greenful,d) none of the mentioned,a,Explanation: Private data centers tend to be located in places where the company or unit was founded or acquired.,,,,,,,,,,,,,,,,,,,
Question 70,10. The peak of the sum is never ________ than the sum of the peaks.,a) smaller,b) greater,c) equal to,d) none of the mentioned,b,Explanation: A cloud can deploy less capacity because the peaks of individual tenants in a shared system are averaged over time by the group of tenants.,,,,,,,,,,,,,,,,,,,
Question 71,1. Which of the following subject area deals with pay-as-you-go usage model?,a) Accounting Management,b) Compliance,c) Data Privacy,d) All of the mentioned,a,"Explanation: For cloud computing, the pay-as-you-go usage model allows for costs to be applied to individual accounts directly.",,,,,,,,,,,,,,,,,,,
Question 72,2. Point out the correct statement :,"a) Except for tightly managed SaaS cloud providers, the burden of resource management is still in the hands of the user",b) Cloud computing vendors run very reliable networks,c) The low barrier to entry cannot be accompanied by a low barrier to provisioning,d) All of the mentioned,b,"Explanation: Often, cloud data is load-balanced between virtual systems and replicated between sites.",,,,,,,,,,,,,,,,,,,
Question 73,3. ________ captive requires that the cloud accommodate multiple compliance regimes.,a) Licensed,b) Policy-based,c) Variable,d) All of the mentioned,b,Explanation: Compliance with laws and policies varies by geographical area.,,,,,,,,,,,,,,,,,,,
Question 74,"4. Security methods such as private encryption, VLANs and firewalls comes under __________ subject area",a) Accounting Management,b) Compliance,c) Data Privacy,d) All of the mentioned,c,"Explanation: To ensure data privacy in the cloud, additional security methods such as private encryption, VLANs, firewalls, and local storage of sensitive data is necessary.",,,,,,,,,,,,,,,,,,,
Question 75,5. Point out the wrong statement :,"a) Large cloud providers with geographically dispersed sites worldwide, therefore, achieve reliability rates that are hard for private systems to achieve",b) Private data centers tend to be located in places where the company or unit was founded or acquired,c) A network backbone is a very low-capacity network connection,d) None of the mentioned,c,"Explanation: On the Internet, an Internet backbone consists of the high-capacity routes and routers that are typically operated by an individual service provider such as a government or commercial entity.",,,,,,,,,,,,,,,,,,,
Question 76,6. Which of the following captive area deals with monitoring?,a) Licensed,b) Variable but under control,c) Low,d) All of the mentioned,b,"Explanation: For private systems, any monitoring system the organization wishes to deploy can be brought to bear.",,,,,,,,,,,,,,,,,,,
Question 77,7. Network bottlenecks occur when ______ data sets must be transferred.,a) large,b) small,c) big,d) all of the mentioned,a,"Explanation: This is the case for staging,",,,,,,,,,,,,,,,,,,,
