Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,
Question 1,The ratio in which tea costing Rs. 192 per kg is to be mixed with tea costing Rs. 150 per kg so that the mixed tea when sold for Rs. 194.40 per kg gives a profit of 20%.,2:05,3:05,5:03,5:02,A, CP of first tea = Rs. 192 per kg.CP of Second tea = Rs. 150 per kg.Mixture is to be sold in Rs. 194.40 per kg which has included 20% profit. SoSP of Mixture = Rs. 194.40 per kg.Let the CP of Mixture be Rs. X per kg. ThereforeX + 20% of X = SP6X /5 = 194.406X = 194.40 *5X = Rs. 162 per kg.Let N kg of first tea and M kg of second tea to be added.Now Using AlligationWe getN/M = 12/30N : M = 2 : 5.,,,,,,,
Question 2,An alloy contains zinc copper and tin in the ratio 2:3:1 and another contains copper tin and lead in the ratio 5:4:3. If equal weights of both alloys are melted together to form a third alloy then the weight of lead per kg in new alloy will be:,1/2 kg,1/8 kg,3/14 kg,7/9 kg,B, Ratio of Zinc Copper and Tin is given asZ : C : T = 2 : 3 : 1.Now let the first alloy be 12 kg (taken as 4 kg Zinc 6 kg Copper and 2 Kg Lead). Weight of second alloy = 12 kg as C : T : L = 5 : 4 : 3. (taken as 5 kg Copper 4 kg Tin and 3 Kg Lead.)Alloys are mixed together to form third alloy. Then the ratio of content in itZ : C : T : L = 4 : (6+5) : (2+4) : 3Weight of third alloy = 12+12 = 24 Kg.So weight of the Lead = 3/24 = 1/8 kg.,,,,,,,
Question 3,In a 729 litres mixture of milk and water the ratio of milk to water is 7:2. to get a new mixture containing milk and water in the ratio 7:3 the amount of water to be added is:,81 litres,71 litres,56 litres,50 litres,A, Quantity of milk in 729 litre of mixture= 7*729/9 = 567 litreQuantity of water= 729-567 = 162 litre.Let x litre of water be added to become ratio 7:3.Or 7/3 = 567/(162+x)Or 162*7 +7x = 567*3Or 7x = 1701-1134 = 567Or x = 567/7 = 81 litre water is to be added.,,,,,,,
Question 4,In what ratio must a mixture of 30% alcohol strength be mixed with that of 50% alcohol strength so as to get a mixture of 45% alcohol strength?,1:02,1:03,2:01,3:01,B,None,,,,,,,
Question 5,To gain 10% on selling sample of milk at the cost price of pure milk the quantity of water to be mixed with 50 kg. of pure milk is:,2.5 kg,5 kg,7.5 kg,10 kg,B,1st Method (Method of Alligation):Let the quantity of water to be mixed is x kg.Let cost of milk be Rs. 1 per kg. Then SP of 50 kg of milk with gain 10% = Rs. 55 [As Cost of 50 kg milk = Rs. 50 then SP = (50 +10% of 50)]Then water to be mixed is 5 kg As the selling price of the milk is Rs. 1 per kg. Seller has to have 10% gain on 50 kg milk he must have to add 5 kg water to 50 kg milk.2nd Method (Simple Method):Let the quantity of water mixed be x kg.Let CP of 1 kg of pure milk = Rs. 1.Hence% gain = x*100/5010 = 100x/50Or 2x = 10or x = 5 kg.,,,,,,,
Question 6,From a container full of pure milk 20% is replaced by water and this process is repeated three times. At the end of third operation the quantity of pure milk reduces to:,40.00%,50.00%,51.20%,58.80%,C, Let pure milk was 100L. SoWater is replaced 20% in per process = 20% of 100 = 20L.Now we use short-cut formula for it.Quantity of Milk reduced to= X* [1 - (Y/X)]n= 100 * [1- (20/100)]3= (100* 64)/(125)= 51.2 L.HereX = Initial quantity of milk.Y = Replaced water in per process.n = No. of process repeated.Note:The formula used in above problem is quite similar to depreciation formula or Compound interest formula.AlternativelyLet pure milk be 100 litres initially.After third operation milk will be100==20%äÊñ(- 20L)==> 80==20%äÊñ(- 16L)==>64==20%äÊñ(-12.8L)==>51.2 L.,,,,,,,
Question 7,Three types of wheat of Rs. 1.27 Rs. 1.29 and Rs. 1.32 per kg are mixed together to be sold at Rs. 1.30 per kg. In what ratio should this wheat be mixed?,1:02:03,2:02:03,2:03:01,1:01:02,D, Average cost: Rs. 1.30 per kg.AndHence ratio of 1.27 1.29 and 1.32 = 2:2:(3+1)= 1:1:2.,,,,,,,
Question 8,In a zoo there are deers and ducks. If the heads are counted there are 180 while the legs are 448. What will be the number of deers in the zoo?,136,68,44,22,C, Average legs per head = 448/180.Deers: Ducks = 88: 272Hencethe number of Deers = (180*88)/360 = 44.,,,,,,,
Question 9,An amount of Rs. 680 was invested at 6% rate of interest and another sum of money was invested at 10% interest. If the average interest on the total at the end of the year was 7.5% how much was invested at 10%?,Rs. 408,Rs. 412.6,Rs. 267.5,None of these,A,Now 680/x = 2.5/1.5Or x = (680*3)/5Hence x = Rs. 408.,,,,,,,
Question 10,A trader has 50 kg of pulses part of which he sells at 14% profit and rest at 6% loss. On the whole his loss is 4%. How much quantity is sold at 14% profit and that at 6% loss?,5 kg 45 kg,15 kg 35 kg,10kg 40 kg,None of these,A,Hence ratio of quantity sold at 14% profit and 6% loss= 2:18 = 1:9Hence pulses sold at 14% profit= (50*1)/10 = 5 kgAt 6% Wheat sold at loss = 45 kg.,,,,,,,
Question 11,Weights of two friends Ram and Shyam are in the ratio 4:5. If Ram's weight is increased by 10% and total weight of Ram and Shyam become 82.8 kg with an increases of 15%. By what percent did the weight of Shyam has to be increased?,19%,10%,21%,16%,A,Now given ratio of Ram and Shayam's weight = 4:5Hence (x-15)/(15-10) = 4/5Or x = 19%.,,,,,,,
