Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Supply-and-demand model is a partial equilibrium model of,partial equilibrium,equilibrium,economic equilibrium,price equilibrium,C,No Explanation
Question 2,Companies are supposed to sell where marginal costs meet marginal revenue where largely profit is generated is,perfect factor mobility,zero transaction costs ,profit maximization,property rights,C,No Explanation
Question 3,Global bond market consists of all bonds sold by issued companies governments or other firms,within their own countries,outside their own countries,to London banks,to developing nations only,B,No Explanation
Question 4,Banking or banking action that is consistent with main beliefs of Shariah and its realistic application from beginning to end improvement of Islamic economics is,islamic banking,development Bank,conventional banking,b&amp; c,A,No Explanation
Question 5,Price augments of product impact sales,positively,natural,a &amp; b,negatively,D,No Explanation
Question 6,Numerous European nations accepted Euro as their currency in,1998,1997,1999,1996,C,No Explanation
Question 7,A number of Islamic banks were formed to provide to this particular banking market in late,20th century,19th century,18th century,none of all of these,A,No Explanation
Question 8,Promotion aims are,to present information to consumers as well as others,to increase demand,to differentiate a product,all of options,D,No Explanation
Question 9,Private tag brands moreover entitled,own brands,store brands,a &amp; b,none of these,C,No Explanation
Question 10,Push money also known as,spiffs,promotion,commodities,all of options,A,No Explanation
Question 11,If an authoritarian agency follows a rule of normal cost pricing then an ordinary monopolist will,be forced to shut down.,produce more than it would if it were unregulated. ,earn economic profit greater than zero. ,earn more profit that it would if it were unregulated.,B,No Explanation
Question 12,NOT single of five phases of buyer choice procedure is,purchase decision,need recognition,brand identification,information search,C,No Explanation
Question 13,Idea of advertising efficiency initial come to prominence in the,1991,1990,1997,1995,B,No Explanation
Question 14,Features of a workforce like age gender or societal group is,diversity,demographics,skills,selection,B,No Explanation
Question 15,In short run balance will be affected by,price,demand,supply,cost,B,No Explanation
Question 16,A good can be categorized as tangible or,raw materials,commodities, intangible,services,C,No Explanation
Question 17,Marketing of services as opposite to physical products is,services marketing ,marketing mix,advertising,right-time marketing,A,No Explanation
Question 18,Step which is not related to product life cycle is,growth stage,cash cow stage,maturity stage,introduction stage,B,No Explanation
Question 19,A bank is considered as a custodian and trustee of money is,Wadiah,safekeeping,a &amp; b,Hibah,C,No Explanation
Question 20,More instability in currency is called as,country risk,financial risk,currency risk,liquidity risk,C,No Explanation
Question 21,Determine your brand,managing your brand right ,measuring your strategies ,maintaining your brand position ,maintaining your brand picture ,A,No Explanation
Question 22,Financial account was earlier called as,capital account,current account,factor income,liability account,A,No Explanation
Question 23,Factor proceeds are part of which section of balance of payments,liabilities,current account ,balance of trade ,both a &amp; b,B,No Explanation
Question 24,Foreign bonds issued in Japan are known,bulldog bonds,dragon bonds,Yankee bonds,samurai bonds,D,No Explanation
Question 25,Incremental trades are parts of,marketing-mix models,base and incremental volume model,base Sales,all of above,A,No Explanation
Question 26,Good at a place which is easy for customers to access is,product,price,promotion,distribution,D,No Explanation
Question 27,Negotiation of a selling price among two parties exclusive of reference by seller to either costs or asking price is,ijarah wa iqtna,ijarah,musawamah,musharika,C,No Explanation
Question 28,Political hazard is related to danger of loss of worth due to,Government or Public actions,Exchange rate movements,Poor corporate governance,Unfavourable trade negotiations,A,No Explanation
Question 29,A influential brand has high,brand equity,brand loyalty,brand strategy,brand  marketing,A,No Explanation
Question 30,Largest number of buyers and sellers greater the,liquidity,speculation,hedging,forward rate,A,No Explanation
Question 31,Structural Adjustment Lending boosts country's,short term economic growth,long-term economic growth,short term financing,long-term financing,B,No Explanation
Question 32,Evaluate sensitivity of quantity variable Q to vary in price variable P is,elasticity of demand ,price elasticity of demand ,price elasticity of supply,elasticity,B,No Explanation
Question 33,In small run perfectly-competitive places are not,productively efficient,inefficient,imperfect market,productively inefficient,A,No Explanation
Question 34,World Bank Group recognized in,1940,1945,1944,1947,C,No Explanation
Question 35,Push cash also recognized as,sampling,point-of-purchase displays,spiffs,glorifier,C,No Explanation
