Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Business means ________.,Commerce,Industry and commerce,Trade and commerce,Selling and buying of goods,B,No explanation
Question 2,Which of the following is not an economic activity?,A doctor practicing,A lawyer practicing law,A professional cricketer playing cricket,A student playing cricket,D,No explanation
Question 3,Which of the following is an extractive industry?,Cattle breeding,Forest cultivation,Hunting,Flour mills,C,No explanation
Question 4,Which of the following is not a manufacturing industry?,Iron and steel works,Flour Mills,Fruit canning,Mining,D,No explanation
Question 5,A valid definition of a business purpose is to ______.,Create a customer,Maximize profits,Serve the society,Increase the wealth of the firm,A,No explanation
Question 6,Sole-trade organization is also called as ______.,Individual proprietorship,Partnership,Joint stock company,Co-operative society,A,No explanation
Question 7,Who is dormant partner?,One who takes no active part in business,A working partner,Partner for profits,Minor partner,A,No explanation
Question 8,In case of minor acting as a partner his personal properties are ________.,Liable for the debts of the firm,Not liable for the debts of the firm,Partly liable for the debts of the firm,Only debts of the firm,B,No explanation
Question 9,When a partnership is dissolved?,In any case of death of any of the partner,By mutual consent,By insolvency of any of the partner,All of above,D,No explanation
Question 10,The liability of a sole proprietor is _______.,Limited to the extent of his capital invested in the business,Limited to the extent of the value of business assets,Limited to the extent of the value of business assets and his all private assets,Limited value of the business assets,C,No explanation
Question 11,The maximum number of partners in a firm carrying on banking business is_________.,7,10,50,20,C,According to section 464(1) of the Companies Act2013 no association or partnership consisting of more than such number of persons as may be prescribed shall be formed for the purpose of carrying on any business that has for its object the acquisition of gain by the association or partnership or by the individual members thereof unless it is registered as a company under this Act or is formed under any other law for the time being in force: Provided that the number of persons which may be prescribed under this sub-section shall not exceed one hundred. Further the Companies (Miscellaneous) Rules 2014 provides that no association or partnership shall be formed consisting of more than 50 persons for the purpose of carrying on any business that has for its objects the acquisition of gain by the association or partnership or by individual members thereof unless it is registered as a company under the Act or is formed under any other law for the time being in force.
Question 12,The agreement of partnership _______.,Must be oral,Must be in writing,Can be either oral or in writing,Must be in writing on a stamp paper,D,No explanation
Question 13,Liability of partners in respect of the firms debts is _______.,limited up to the amount of his capital in the business,Unlimited,limited up to the amount of guarantee given by the partner,limited up the amount of his capital and loan to the firm if any,D,No explanation
Question 14,A partner in a firm _______.,cannot transfer his share to an outsider,can transfer his share to an outsider with the consent of majority partners,can transfer his share to an outsider without the consent of any other partners,can transfer his share to an outsider with the consent of all other partners,A,No explanation
Question 15,A manager with a share in the profits ______.,is only a servant of the firm,becomes a partner by the operation of law,becomes a partner by implied agreement,becomes a partner from status,A,No explanation
Question 16,A nominal partner is ______.,not entitled to share the profits of the concern,entitled to equal share in the profits unless there is an agreement to any other profit sharing ratio,not liable for the acts of other partners,not able to third parties,A,No explanation
Question 17,The minimum number of members in a private limited company is _________.,2,3,7,10,A,No explanation
Question 18,A Joint stock company is governed by _______.,Companies Act 2006,Companies Act 1936,Companies Act 2012,Companies Act 2013,D,No explanation
Question 19,Memorandum of association of a firm contains _______.,rules regarding the internal management of the company,rules regarding the constitution and activities of the company,rules regarding the external management,rules regarding the constitution,B,No explanation
Question 20,The liability of shareholders of a public company is limited to the _________.,nominal value of shares,extent of their private assets,paid up value of shares,accounts called up,C,No explanation
Question 21,A Government company is one in which ________.,the entire share capital is held by the central and / or state government,50% of capital is held by central government and the remaining 50% by one or more state governments,at least 51% of the capital is held by central and / or state governments,all of above,D, A Government companyù is defined under Section 2(45) of the Companies Act 2013 as any company in which not less than 51% of the paid-up share capital is held by the Central Government or by any State Government or Governments or partly by the Central Government and partly by one or more State Governments and includes a company which is a subsidiary company of such a Government companyù. Thus the cardinal feature of a government company is not less than 51% ownership by Central/state government either individually or jointly.
Question 22,A Company is called an artificial person because _________.,It does not have the shape of a natural person,It cannot be used in the court of law,It is invisible and intangible,It exists only in contemplation of law,C,No explanation
Question 23,The liability of members of a co-operative society is _________.,limited to the amount of nominal value of capital held,limited to the amount of paid up value of the capital held,unlimited,limited or unlimited depending upon what the society has opted for it,D,No explanation
Question 24,Membership of a co-operative is_________.,compulsory,voluntary,not essential,not compulsory,B,No explanation
Question 25,The minimum number of members required for registration of a co-operative society is ________.,2,7,10,20,C,No explanation
Question 26,A member of a co-operative society can leave the society by _________.,transferring his share to another person without anybodys consent,transferring his share to another person with the consent of the managing committee,transferring his share to a fellow number,withdrawing his capital from the society,D,No explanation
Question 27,Which of the following is an example of a company incorporated by a special act of parliament?,Delhi cloth and general mills ltd,Tata iron and steel Co Ltd,Industrial Finance Corporation of India Ltd,Swadesh Cotton Mills Ltd,C,No explanation
Question 28,Dividend on preference capital will be paid _________.,only when there are profits,even if there are no profits,only when directors recommend,only when share holders recommend,C,No explanation
Question 29,A public corporation means _________.,Public company,Government company,Statutory corporation,Department of union government,C,No explanation
Question 30,The partnership entity is __________.,legal entity,legal entity and accountable entity,neither entity nor accountable entity,group of individuals without legal status,B,No explanation
Question 31,Promoter is a person who ________.,takes part in the incorporation of a company,is a director,is a relative of the managing director,works to publicity to the company,A,No explanation
Question 32,The minimum number of shareholders in a public limited company is __________.,2,3,5,7,D, Section 3 of companies act 2013 (1) A company may be formed for any lawful purpose by (a) seven or more persons where the company to be formed is to be a public company; (b) two or more persons where the company to be formed is to be a private company; or (c) one person where the company to be formed is to be One Person Company that is to say a private company by subscribing their names or his name to a memorandum and complying with the requirements of this Act in respect of registration
Question 33,A private company should have at least _________ members.,2,7,10,50,A,No explanation
Question 34,The charter of a company is its _________.,prospectus,statement lieu of prospectus,memorandum of association,articles of association,C,No explanation
