Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,The capital that is consumed by an economy or a firm in the production process is known as,Capital loss,Production cost,Dead-weight loss,Depreciation,D,No explanation
Question 2,Who propounded the opportunity cost theory of international trade?,Ricardo,Marshall,Heckscher & Ohlin,Haberler,D,No explanation
Question 3,Which among the following statement is INCORRECT?,On a linear demand curve all the five forms of elasticity can be depicted,If two demand curves are linear and intersecting each other then coefficient of elasticity would be same on different demand curves at the point of intersection.,If two demand curves are linear and parallel to each other then at a particular price the coefficient of elasticity would be different on different demand curves.,The price elasticity of demand is expressed in terms of relaive not absolute changes in Price and Quantity demanded.,B,No explanation
Question 4,If the demand for a good is inelastic an increase in its price will cause the total expenditure of the consumers of the good to,Increase,Decrease,Remain the same,Become zero,A,No explanation
Question 5,The horizontal demand curve parallel to x-axis implies that the elasticity of demand is,Zero,Infinite,Equal to 1,Greater than zero but less than infinity,B,No explanation
Question 6,An individual demand curve slopes downward to the right because of the,Working of the law of diminishing marginal utility,Substitution effect of decrease in price,Income effect of fall in price,All of the above,D,No explanation
Question 7,Income elasticity of demand is defined as the responsiveness of,Quantity demanded to a change in income,Quantity demanded to a change in price,Price to a change in income,Income to a change in quantity demanded,A,No explanation
Question 8,The supply of a good refers to,Stock available for sale,Total stock in the warehouse,Actual production of the good,Quantity of the good offered for sale at a particular price per unit of time,D,No explanation
Question 9,The cost of one thing in terms of the alternative given up is called,Real cost,Production cost,Physical cost,Opportunity cost,D,No explanation
Question 10,Assume that consumer's income and the number of sellers in the market for good X both falls. Based on this information we can conclude with certaintty that the equilibrium,Price will decrease,Price will increase,Quantity will decrease,Quantity will increase,C,No explanation
Question 11,The economist's objections to monopoly rest on which of the following grounds?,There is a transfer of income from consumers to the monopolist,There is welfare loss as resources tend to be misallocated under monopoly,Both A and B are incorrect,Both A and B are correct,D,No explanation
Question 12,In which of the following market structure is the degree of control over the price of its product by a firm very large?,Imperfect competition,Perfect competition,Monopoly,In A and B both,C,No explanation
Question 13,The offer curves introduced by Alfred Marshall helps us to understand how the ___ is established in international trade.,Terms of trade,Equilibrium price ratio,Exchange rate,Satisfaction level,A,No explanation
Question 14,Demand for factors of production is,Derived demand,Joint demand,Composite demand,None of the above,A,No explanation
Question 15,The producer's demand for a factor of production is governed by the ____ of the factor.,Price will decrease,Marginal productivity,Availability,Profitability,B,No explanation
Question 16,Under conditions of perfect competition in the product market,MRP = VMP,MRP > VMP,VMP > MRP,None of the above,A,No explanation
Question 17,Which statistical measure helps in measuring the purchasing power of money?,Arithmetic average,Index numbers,Harmonic mean,Time series,B,No explanation
