Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,In primary markets first time issued shares to be publicly traded in stock markets is considered as ,traded offering ,public markets ,issuance offering ,initial public offering ,D,No explanation
Question 2,Exchange markets and over counter markets are considered as two types of ,floating market ,risky market ,secondary market ,primary market ,C,No explanation
Question 3,Current market price of common stock is $15 and conversion rate received on conversion is $320 to calculate ,$3800 ,$2800 ,$4800 ,$5800 ,C,No explanation
Question 4,Transaction cost of trading of financial instruments in centralized market is classified as ,flexible costs,low transaction costs,high transaction costs ,constant costs,B,No explanation
Question 5,Bonds that are backed by cash flow from project and are sold to finance particular project are classified as ,finance bonds ,revenue bonds ,financing bonds ,project bonds ,B,No explanation
Question 6,Liquidity status of certificate of deposit which is more negotiable is considered as ,certified liquidity ,term liquidity ,more liquid ,less liquid ,C,No explanation
Question 7,Treasury notes that provide returns tied to inflation rate are classified as ,clean price bonds ,discount index bonds ,premium index bonds ,inflation index bonds ,D,No explanation
Question 8,Type of bonds in which there are many maturity dates and part of issue is paid off at every maturity date is considered as ,pledged bonds ,serial bonds ,series bonds ,parallel bonds ,B,No explanation
Question 9,Equilibrium interest rate decreases and economic conditions increases then supply curve must shift to ,up and to the left ,up and to the right ,down and to the left ,down and to the right ,D,No explanation
Question 10,Markets in which derivatives are traded are classified as ,assets backed market ,cash flow backed markets ,mortgage backed markets ,derivative securities markets,D,No explanation
Question 11,Commercial paper issued with low interest rate thus commercial paper are categorized as ,payables rating ,commercial rating ,poor credit rating ,better credit rating ,D,No explanation
Question 12,Stocks or shares that are sold to investors without transacting through financial institutions are classified as ,direct transfer ,indirect transfer ,global transfer ,pension transfer ,A,No explanation
Question 13,Type of financial security which have linked payoff to another issued security is classified as ,linked security ,derivative security ,payable security ,non-issuing security ,B,No explanation
Question 14,Consider buying of put option probability that a buyer would have negative payoff increases with the,increase in stock price ,decrease in stock price ,increase in maturity duration ,decrease in maturity duration ,A,No explanation
Question 15,Special provisions that can have adverse or beneficial effects and are reflected in interest rates do not include ,tax-ability ,covert ability ,call ability ,inflation premium ,D,No explanation
Question 16,Placement of financial issue in which investment bank and municipality together find large buyers is classified as ,reserve placement ,federal placement ,private placement ,government placement ,C,No explanation
Question 17,Bonds having longer maturity on original loans than promised payments are classified as ,developed bonds ,developing bonds ,Brady bonds ,swapped bonds ,C,No explanation
Question 18,If trading of municipal bonds is infrequent then secondary market is considered as ,thin markets ,thick markets ,higher underwriting ,lower underwriting ,A,No explanation
Question 19,Difference between face value of bond and call price of bond is considered as ,call premium ,call provision,discount premium ,discount provision ,A,No explanation
Question 20,Type of bonds that pay coupon interest are classified as ,forward bond ,payment bonds,coupon bond ,interest bonds ,C,No explanation
Question 21,Price of an option is subtracted form time value of option to calculate,book value index,market index,intrinsic value ,extrinsic value ,C,No explanation
Question 22,For given change in interest rates percentage change in present value of bond is classified as ,price sensitivity ,yield sensitivity ,maturity sensitivity ,premium sensitivity,A,No explanation
Question 23,If intrinsic value of an option is $450 and price of an option is $560 then time value of an option is,$110 ,$1010 ,$450.00 ,$560 ,A,No explanation
Question 24,Larger fluctuations in portfolio value of foreign exchange of financial institutions leads to ,greater liquidity of assets ,greater volatility of rates ,lesser volatility of rates ,lesser liquidity of assets ,B,No explanation
Question 25,Type of swaps in which fixed payments of interest are exchanged by two counterparties for floating payments of interest are called,float-fixed swaps,interest rate swaps ,indexed swaps,counter party swaps,B,No explanation
Question 26,Preferred stock is considered as hybrid security because it includes,representation of ownership interest ,fixed periodic payment ,higher liquidity ,both A and B,D,No explanation
Question 27,Maximum maturity days of holding commercial paper are,170 days ,270 days ,120 days ,5 days,B,No explanation
Question 28,Bonds that are considered investment rating bonds are given rating of ,triple B rating bonds ,double B,triple A,double A,A,No explanation
Question 29,Commercial mortgages farm mortgages and home mortgages are categories of ,swapped mortgages,sovereign mortgages,secondary mortgages,primary mortgagees,D,No explanation
Question 30,Type of bond whose present value is lesser than that of its face value is classified as ,discount bond ,premium bond ,coupon bond ,interest bonds ,A,No explanation
Question 31,In borrowing and lending of federal funds federal funds rate is result of function between,assets and liability ,cost and marketing ,supply and demand,income and expense,C,No explanation
Question 32,Considering yields of bonds secured bonds as compared to unsecured bonds have ,higher yields ,lower yields ,untimed yields ,termed yields ,A,No explanation
Question 33,IN negotiated sale services provided by investment banks are ,origination services ,document collection services ,advising services ,both a and c ,D,No explanation
Question 34,Auction of TIPS security is classified as ,premium bid auction ,discount bid auction,multiple bid auction ,One bid auction ,D,No explanation
Question 35,Situation in which large portion of majority is borrowed from broker of investor is classified as,future investment ,forward investment,leveraged investment ,non-leveraged investment ,C,No explanation
Question 36,In primary markets property of shares which made it easy to sell newly issued security is considered as ,increased liquidity ,decreased liquidity ,money flow ,large funds ,A,No explanation
Question 37,Services such as commercial trade transactions and positions in financial investments provided by financial institutions are classified as ,trade services ,investment services ,agent services ,commercial services ,C,No explanation
Question 38,Source of funds for repayment of municipal bonds is considered as ,local tax and revenue ,global tax and revenue ,print notes ,commercial notes ,A,No explanation
Question 39,Bond holder can make profit by returning bonds and exchanging with other securities if market value with conversion value ,exceed non-convertible value,exceed collateral value ,exceed mortgage value ,exceeds market value of bond,D,No explanation
Question 40,Eurobonds are placed for buying and selling in primary markets by ,investment banks ,commercial banks ,euro transfer agencies ,currency deposit banks,A,No explanation
Question 41,Treasury bonds and notes pay interest rate is classified as ,LIBOR rate monthly ,coupon interest monthly ,coupon interest semiannually ,coupon interest annually,C,No explanation
Question 42,The demand for heavy loans can cause ,excess funds for banks ,deficiencies for banks ,organized reservation ,competitive reservations ,B,No explanation
Question 43,Loan-able funds theory is used to determine ,savings ,interest rate ,future value ,present value ,B,No explanation
Question 44,Securities with lower default risk and having highest credit quality are assigned rating of ,double B,triple B,triple A,double A,C,No explanation
Question 45,Financial securities issued by local and state governments are classified as ,municipal bonds ,reserve bonds,state bonds ,federal bonds ,A,No explanation
Question 46,As compared to Treasury bonds trading of municipal bonds in trading market is considered as ,more index inflation ,less indexed inflation ,less active ,more active ,C,No explanation
Question 47,Current selling price of municipal bonds available to bond holders is used to calculate,yield to income tax ,yield to municipal bonds ,yield to tax rate ,yield to revenue bonds ,B,No explanation
