Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Information systems that monitor the elementary activities and transactions of the organizations are _________________.,Management level system,Operational level system,Knowledge level system,Strategic level system,A,No explanation
Question 2,Projections and responses to queries are Information output characteristics associated with ______________________.,Decision Support System (DSS),Management Information System (MIS),Executive Support System (ESS),Transaction Processing System (TPS),C,No explanation
Question 3,Summary transaction data high-volume data and simple models are information inputs characteristic of _________________.,Decision Support System (DSS),Management Information System (MIS),Executive Support System (ESS),Transaction Processing System (TPS),B,No explanation
Question 4,Which of the following individuals typically have less formal advanced educational degrees and tend to process rather than create information?,Knowledge workers,Executives,System analysts,Data workers,D,No explanation
Question 5,Prototype is a ______________.,Working model of existing system,Mini model of existing system,Mini model of processed system,None of the above,A,No explanation
Question 6,______________System can be any organized combination of people hardware software communications networks and data resources that collects transforms and disseminates information in an organization.,Information,Integrated,Horizontal,Vertical,A,No explanation
Question 7,System development is a __________.,Process of successive changes of system from new and changed requirement,It is a development of SRS of a system,Both (a) and (b),None of the above,C,No explanation
Question 8,The most creative and challenging phase of system life cycle is ___________.,Feasibility study,Maintenance,Design,None of the above,C,No explanation
Question 9,The advantages of creating a prototype are ____________________.,It allows developers to experiment with number of different design options,It can serve as means of communication between developers and customers,Both (a) and (b),None of the above,C,No explanation
Question 10,_________is the real world object such as a person place etc.,Attribute,Entity,Records,All of these,B,No explanation
Question 11,In computer the number system of 0 and 1 is called as ____.,octal,hexadecimal,decimal,binary,D,No explanation
Question 12,SDLC stands for ____________.,Software design life cycle,Software development life cycle,System design life cycle,System development life cycle,D,No explanation
Question 13,The ___ language is used to solve the numeric problems.,C,Cobol,Fortran,Basic,C,No explanation
Question 14,System Development process is also called as ______________.,System Development Life Cycle,System Life Cycle,Both A and B,System Process Cycle,A,No explanation
Question 15,A sequence of instructions that works together to perform a task is called a ______.,program,statements,block,grouping,A,No explanation
Question 16,The first step in the systems development life cycle (SDLC) is _______________.,Analysis,Design,Problem/Opportunity Identification,Development and Documentation,C,No explanation
Question 17,In compilation process the program is placed in the memory in the form ___.,octal,binary,hexadecimal,decimal,B,No explanation
Question 18,________is the information about data.,Data,Meta-Data,Entity,Relations,B,No explanation
