Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,An impel action by strong internal stimulus is being classified as,learning,breaking,motivation,drive,D,No explanation
Question 2,Services provided by marketing channels to their customer in a collective way is classified as,functional integration,product integration,channel integration,location integration,C,No explanation
Question 3,Strategy to integrate larger gains with smaller losses involved,lining principle,cancellation principle,golden lining principle,segregate principle,B,No explanation
Question 4,Product mix pricing technique through which companies develop product lines for pricing instead of single product is classified as,by-product pricing,optional-feature pricing,product line pricing,Two-part pricing,C,No explanation
Question 5,According to VALS framework consumer's dimension groups having high resources do not include ,innovators ,thinkers ,achievers ,strivers ,D,No explanation
Question 6,Discount in a well manner way on performance awarded by manufacturers to members of distribution channels is classified as,non-functional discount,functional discount,quantity discount,descriptive discount,B,No explanation
Question 7,A person who offers informal reviews or advice about specific category is called as,associative leader,inspiration leader,opinion leader,group leader,C,No explanation
Question 8,Pricing technique used by sellers while selling individual products in bundles is,optional-feature pricing,pure bundling pricing,mixed bundling pricing,pure bundling pricing,C,No explanation
Question 9,Non-significant social and economical marketing activity is called,fad,fade fashion,marketing shade,short-term marketing wave,A,No explanation
Question 10,Product line stretching in which company serves middle market to enter in low priced product as well as high priced product line is called,left-market stretch,down-market stretch,up-market stretch,Two-way stretch,D,No explanation
Question 11,Business can be defined in dimensions of,customer groups,customer needs,technology,all of the above,D,No explanation
Question 12,An unlimited and permanent repository of useful information is classified as,temporary memory ,motivational memory ,long term memory,short term memory,C,No explanation
Question 13,Young and impulsive people who seek excitement and variety can be best,innovators ,non-innovators ,experiences ,non-achievers,C,No explanation
Question 14,Consumer's seek for answer of 'how we like to view ourselves' is a concept named by,self-concept,self-monitors,ideal self-concept,actual self-concept,C,No explanation
Question 15,Formal decision making process by which large organization buy services and products is classified as,organizational buying,large buying,small buying,procedure buying,A,No explanation
Question 16,Process of learning differences from similar stimulus and adjusting responses accordingly is classified as,discrimination,motivation drive,motivation cue,behavior learning,A,No explanation
Question 17,According to expectancy model redesigning of whole product is classified as,fake positioning,real positioning,brand positioning,market positioning,B,No explanation
Question 18,Regular customers of company's products are rewarded by designed programs are classified as,customer's program,frequency programs,distribution programs,None of above,B,No explanation
Question 19,A persons feeling of pleasure which results in products performance that match expectations is called,satisfaction,dissatisfaction,distinctive proposition,superior value,A,No explanation
Question 20,Price of product is subtracted from variable cost than divided by fixed cost for calculation is,unit cost,break-even volume,target return price,target return cost,B,No explanation
Question 21,Marketing messages that are based to respect consumer's wishes and willingness is classified as,permission marketing,supplier marketing,customer specified marketing,activity marketing,A,No explanation
Question 22,Design strategy of business includes,marketing strategy,technology strategy,sourcing strategy,all of the above,D,No explanation
Question 23,VALS segmentation framework dimension 'consumer motivation' is classified as,the horizontal dimension,the vertical dimension,the stretch dimension,the strength dimension,A,No explanation
Question 24,First phase of value creation in sequence is,choosing the value,providing the value,communicating the value,making the superior product,A,No explanation
Question 25,Consumer's primary motivation does not include,ideals ,leadership,achievement ,self-expression,B,No explanation
Question 26,In brand mantra process of defining category and setting brand boundaries is classified in dimension of,communication,inspiration,simplifying,straddling ,A,No explanation
Question 27,Marketing response which comes into action after change happens is classified as,geographical anticipation ,selective anticipation ,responsive anticipation,reactive anticipation ,D,No explanation
Question 28,Second step in 'customer value analysis' is,assessing quantitative importance,examining specific segment,monitoring customer value,identifying benefits,A,No explanation
Question 29,Price discrimination in which same market offers it's priced at two different levels on basis of consumer perception is classified as,image pricing,channel pricing,customer segment pricing,product-form pricing,A,No explanation
