Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,The use of decision models.,Is possible when the variables value is known,Reduces the scope of judgement & intuition known with certainty in decision-making,Require the use of computer software,None of the above,D,No explanation
Question 2,Every mathematical model.,Must be deterministic,Requires computer aid for its solution,Represents data in numerical form,All of the above,C,No explanation
Question 3,A physical model is example of.,An iconic model,An analogue model,A verbal model,A mathematical model,C,No explanation
Question 4,The qualitative approach to decision analysis relies on.,Experience,Judgement,Intuition,All of the above,D,No explanation
Question 5,Operations Research which is a very powerful tool for ___________.,Research,Decision ‰ÛÒ Making,Operations,None of the above,B,No explanation
Question 6,Who coined the term Operations Research?,J.F. McCloskey,F.N. Trefethen,P.F. Adams,Both A and B,D,No explanation
Question 7,Who defined Operations Research as scientific approach to problem solving for executive management ?,E.L. Arnoff,P.M.S. Blackett,H.M. Wagner,None of the above,C,No explanation
Question 8,Who defined Operations Research as an aid for the executive in marketing his decisions by providing him with the quantitative information based on the scientific method of analysis ?,C. Kitte,H.M. Wagner,E.L. Arnoff,None of the above,A,No explanation
Question 9,The term Operations Research was coined in the year ____________.,1950,1940,1978,1960,B,No explanation
Question 10,This innovative science of Operations Research was discovered during _____________.,Civil War,World War I,World War II,Industrial Revolution,C,No explanation
Question 11,Operations Research was known as an ability to win a war without really going in to a _____________.,Battle field,Fighting,War,Both A and B,D,No explanation
Question 12,Who defined Operations Research as scientific method of providing executive departments with a quantitative basis for decisions regarding the operations under their control?,Morse and Kimball (1946),P.M.S. Blackett (1948),E.L. Arnoff and M.J. Netzorg,None of the above,A,No explanation
Question 13,Operations Research has the characteristics the it is done by a team of _____________.,Scientists,Mathematicians,Academics,All of the above,A,No explanation
Question 14,There is a great scope for ____________ working as a team to solve problems of defence by using the Operations Research approach.,Economists,Administrators,Statisticians and Technicians,All of the above,D,No explanation
Question 15,Operations Research emphasizes on the overall approach to the system. This characteristics of Operations Research is often referred as.,System Orientation,System Approach,Interdisciplinary,Team Approach,D,No explanation
Question 16,Operations Research cannot give perfect __________ to problems.,Answers,Solutions,Both A and B,Decisions,C,No explanation
Question 17,Operations Research study generally involves how many phases ?,Three,Four,Five,Two,A,No explanation
Question 18,__________ models involves the allocation of resources to activities in such a manner that some measure of effectiveness is optimized.,Sequencing,Allocation Models,Queuing Theory,Decision Theory,C,No explanation
Question 19,Allocation problems can be solved by.,Linear Programming Technique,Non ‰ÛÒ Linear Programming Technique,Both A and B,None of the above,A,No explanation
Question 20,In ___________ models everything is defined and the results are certain.,Deterministic Models,Probabilistic Models,Both A and B,None of the above,B,No explanation
Question 21,___________ models are obtained by enlarging or reducing the size of the item.,Iconic Models,Analogue Models,Symbolic Models,None of the above,A,No explanation
Question 22,Operations Research attempts to find the best and __________ solution to a problem.,Optimum,Perfect,Degenerate,None of the above,B,No explanation
Question 23,The word __________ may be defined as some action that we apply to some problems or hypothesis.,Research,Operation,Both A and B,None of the above,B,No explanation
