Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Process of selecting segments to serve by offering product is referred as,Market segmentation,Targeting,Marketing,Both a and b,B,No explanation
Question 2,Pricing strategy used to set prices of products that are must be used with main product is called,optional product pricing,product line pricing,competitive pricing,captive product pricing,D,No explanation
Question 3,Promotion technique for consumers according to which demonstrations and displays of products made at place of sale is called,point of purchase promotion,cents off deals,sales premium,advertising specialties,A,No explanation
Question 4,Method of managing promotion budget by defining objectives determining tasks to achieve objectives and estimating costs for activities is called,percentage of sales method,affordable method,competitive parity method,objective and task method,D,No explanation
Question 5,Forms of direct marketing includes,direct mail marketing,catalog marketing,personal selling,all of above,D,No explanation
Question 6,A company's microenvironment ' customer markets' are of,5 types,4 types,3 types,2 types,A,No explanation
Question 7,Considering industrial structures economies who are rich in mineral resources but are poor in other manufacturing ways are classified as,raw material exporting economies,subsistence economies,emerging economies,industrial economies,A,No explanation
Question 8,In 'stages of adoption process' customer decides to become regular user in,awareness stage,interest stage,evaluation stage,adoption,D,No explanation
Question 9,Markets in which market offerings are bought from sellers for reselling purpose are known as,business markets,reseller markets,government markets,international markets,B,No explanation
Question 10,An idea for a possible product that company will offer is classified as,product idea,product image,customer management,none of the above,A,No explanation
Question 11,Variables such as market and product variability plays a role in designing of,positioning strategy,targeting strategy,differentiation,market segmentation,B,No explanation
Question 12,Major sources of ideas for product development comes from,internal sources,external sources,product lines extension,both a and b,D,No explanation
Question 13,Adopter group 'laggards' are,deliberate,guided by respect,skeptical,tradition bound,D,No explanation
Question 14,Personal selling step in which sales person asks for an order to customer is classified as,shipper approach,handling shipment,closing,follow up,C,No explanation
Question 15,Growth share matrix divides SBU's in,2 types,3 types,4 types,5 types,C,No explanation
Question 16,Kind of advantage gained by offering greater value to customers as compared to competitors is classified as,competitive advantage,corporate advantage,branding advantage,premium advantage,A,No explanation
Question 17,"Products such as ""VHS tapes"" are examples of",product classes,product forms,branding,product perception,B,No explanation
Question 18,In new product development process after analysis of business next step to be taken is,test marketing,One channel marketing,penetration marketing,individual marketing,A,No explanation
Question 19,Whole sellers and retailers buying behavior is classified as,business buyer behavior,derived demand,business buying process,cognitive dissonance,A,No explanation
Question 20,Sales force structure in which a sales representatives works to sell specific items of product line is classified as,indirect sales force structure,territorial sales force structure,customer sales force structure,product sales force structure,D,No explanation
Question 21,If customers perceive that price of product is greater than value it provides to customer then customer,would get free products,would get discount,would buy product,would not buy product,D,No explanation
Question 22,Segmentation on basis of values and attitudes and behavioral patterns is an example of,geographic location,cultural factors,economic factors,political and legal factors,B,No explanation
Question 23,Retail stores such as Best Buy Staples and Pet Smart are examples of,superstore,outbound stores,inbound stores,intensive stores,A,No explanation
Question 24,Targeting affluent customers with luxurious goods is an example of,geographic segmentation,income segmentation,psychographic segmentation,behavioral segmentation,B,No explanation
Question 25,Demand of business buyers is derived from,final consumer demand,raw materials suppliers,production controller,logistic managers,A,No explanation
Question 26,Segmentation of international markets on basis of monetary regulations is an example of,geographic location,cultural factors,economic factors,political and legal factors,D,No explanation
Question 27,Social class group which earns through exceptional ability is best classified as,upper middles,working class,lower uppers,upper uppers,C,No explanation
Question 28,Products that are bought without detailed comparisons are best classified as,sought products,unsought products,less convenient products,convenient products,D,No explanation
Question 29,Message framework design AIDA stands for,action intention design and attention,action interest desire and attention,agency intention design and attention,attention interest desire and action,D,No explanation
Question 30,Products that consists of activities and benefits offered for sale are called,product membership in category,services,market segmentation,pricing of product,B,No explanation
Question 31,Segmentation of international markets on basis of common languages religions and customs is example of,geographic location,cultural factors,economic factors,political and legal factors,B,No explanation
Question 32,Paints nails and brooms are classic examples of,unsought specialty products,business services,accessory equipment,business advisory services,B,No explanation
Question 33,Third step in personal selling process after completion of pre-approach step is to,prospecting and qualifying,handling objections,approach,presentation and demonstration,C,No explanation
Question 34,Strategic business unit with low market share and high market growth is considered as,Cash Cows,Stars,Dogs,Question marks,D,No explanation
Question 35,Supplies such as lubricants coal paper and pencils are best classified as,operating supplies,repair and maintenance supplies,business advisory services,consumer specialty products,A,No explanation
Question 36,In positioning statement first thing that must be stated is,target segment,market segmentation,differentiation,positioning,A,No explanation
Question 37,Return on Investment (ROI) can be calculated as Net return from investment on marketing divided by,Cost of investment on marketing,Relative market share,Market growth rate,Relative market share plus market growth rate,A,No explanation
Question 38,New product pricing strategy through which companies set lower prices to gain large market share is classified as,optional product pricing,skimming pricing,penetration pricing,captive product pricing,C,No explanation
Question 39,Pricing strategy in which prices are set lower to actual price to trigger short term sales is classified as,promotional pricing,short term pricing,quick pricing,cyclical pricing,A,No explanation
Question 40,Company marketing mix that target market segments very broadly is called,mass marketing,segmented marketing,niche marketing,micromarketing,A,No explanation
Question 41,Comprehensive and organized collection about individual prospect of customer including psychographic geographic and demographic data is called,premium database,customer database,event database,rebate database,B,No explanation
Question 42,Product quality level is considered as part of,actual product,augmented product,de-augmented product,customer value,A,No explanation
Question 43,Pricing strategy in which company divides location into different sectors and charge same price for each sector is classified as,freight on board origin pricing,zone pricing,basing point pricing,uniform delivered pricing,B,No explanation
Question 44,Theme of message content which directs to audience sense of what is proper and right is classified as,irrational appeal,moral appeal,rational appeal,emotional appeal,B,No explanation
Question 45,Customer market division done on basis of 'compulsive ambitious and outgoing customers' classified as,geographic segmentation,demographic segmentation,psychographic segmentation,behavioral segmentation,C,No explanation
Question 46,Company whose strategies are based on idea of delivering superior brand value to its targeted segment is classified as,competitor centered company,customer centered company,profit centered company,market centered company,B,No explanation
Question 47,Considering franchise organization independent business people involved other than service organization is represented as,specialty  line handlers,corporate units,franchisor,franchisee,D,No explanation
Question 48,Category of products that come with warranty offered at time of product buying and expires at some specific date is an example of,augmented product,actual product,actual ownership,tangible products,A,No explanation
Question 49,Product support services are part of,actual product,augmented product,differentiation,competitive strategy,B,No explanation
Question 50,First step of value based pricing is to,assess needs of customer,set target price ,determine incurred costs,design product,A,No explanation
Question 51,When new developed product concept is tested next immediate step is to,develop market strategy,develop a testing technique,develop intermediaries,develop logistic network,A,No explanation
Question 52,Global communication and product strategy in which communication is adjusted but product would not be changed is classified as,product adaptation,straight product extension,dual adaptation,communication adaptation,D,No explanation
Question 53,Firm's performance can be better measured by,Current sales,Customer equity,Market share,Both a and b,B,No explanation
Question 54,Tendency to which results of innovation are communicated to others is classified as,relative advantage,divisibility,communicability,compatibility,C,No explanation
Question 55,Person's own living or interacting and acting pattern is classified,lifestyle,personality and self-concept,social class,None of the above,A,No explanation
Question 56,Needs of customers are triggered by,internal stimuli,external stimuli,both a and b,none of above,C,No explanation
Question 57,Detailed stated version of shortlisted new ideas in meaningful consumer terms is best classified as,product concept,production phase,production screening,raw-material screening,A,No explanation
Question 58,Second step in marketing research process is,define research objectives,develop research plan,implement research plan,none of above,B,No explanation
Question 59,"Burger King segments and targets its brands market ""Super Fans"" who visit store roughly 13 times a month is an example of",user status,usage rate,loyalty status,benefits sought,B,No explanation
Question 60,Group which can exert influences on other because of specialized knowledge and skills is called,opinion leader,leading adopters,influential,all of above,D,No explanation
Question 61,SBU's considered as 'Cash Cows' requires,Heavy investment,Less investments,More marketing,Both a and c,B,No explanation
Question 62,Particular communication that must be achieve within definite target audience within specific time is classified as,message decision,media decision,advertising objective,advertising evaluation,C,No explanation
Question 63,In macro environment 'pressure groups' and 'government agencies' are part of,the cultural environment,the demographic environment,the economic environment,the political environment,D,No explanation
Question 64,Products that customers buy after careful comparison on price and quality are called,specialty products,less specialty products,shopping products,unsought products,C,No explanation
Question 65,Considering non-personal communication channels radio and television are considered as,broadcast media,display media,online media,print media,A,No explanation
Question 66,Customers in growth stage of life cycle of products are classified as,innovators,early adopters,middle majority customers,laggards,B,No explanation
