Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Strategy is developed by the visionary chief executive in ___________ mode of strategic management,planning mode,adaptive mode,strategic mode,entrepreneurial mode,D,No explanation
Question 2,stability strategy is a ____________ strategy,corporate level,business level,functional level,strategic level,A,No explanation
Question 3,What are the means by which long term objectives will be achieved?,Strategies,Policies,Strength,Opportunities,A,No explanation
Question 4,Marketing strategy is a ___________ type of strategy,business level,Growth strategy,corporate strategy,functional strategy,D,No explanation
Question 5,When an industry relies heavily on government contracts which forecasts can be the most important part of an external audit,Economic,Competitive,Political,Multinational,C,No explanation
Question 6,A possible and desirable future state of an organization is called:,Mission,Vision,Strategy implementation,Strategy formulation,B,No explanation
Question 7,What does Question mark symbolize in BCG matrix?,Remain Diversified,Invest,Stable,Liquidate,A,No explanation
Question 8,Selling all of a companys assets in parts for their tangible worth is called:,Divestiture,Concentric Diversification,Liquidation,Unrelated integration,C,No explanation
Question 9,What do Cash Cows symbolize in BCG matrix?,Remain Diversified,Invest,Stable,Liquidate,C,No explanation
Question 10,The BCG matrix is based on,Industry attractiveness and Business strength,Industry Growth rate and Business strength,Industry Attractiveness and Relative Market share,Industry growth rate and relative market share,D,No explanation
Question 11,What are the guides to decision making?,Rules,Procedures,Goals,Policies,D,No explanation
Question 12,In strategic thinking how long is the long term approximately?,1 month to 1 year,2 to 3 years,3 to 5 years,More than 5 years,D,No explanation
Question 13,Buying another company by one company means:,Joint venture,Acquisition,Amalgamation,Merger,B,No explanation
Question 14,Low cost Differentiation and Focus are examples of,Corporate strategies,Operational strategies,Business strategies,Functional strategies,C,No explanation
Question 15,Which environment can create new market and new business segments?,Political environment,Economic environment,Socio cultural environment,Technological environment,D,No explanation
Question 16,The word tactics is most likely to be associated with,Business strategy,Corporate strategy,Operational strategy,All of the abvoe,C,No explanation
Question 17,Buyers market exist when:,few suppliers in the market,buyers purchases in small volume,buyers purchases in large volume,product of suppliers are unique and differentiated,C,No explanation
Question 18,How many cells are in a SWOT matrix?,9,6,3,2,A,No explanation
Question 19,The Reasons for diversification is:,to reduce competition,to increase organizational capabilities,to get tax advantage,to get quick entry into a business,B,No explanation
Question 20,Strategic Management handles:,external issues,management issues,internal issues,administrational issues,A,No explanation
Question 21,What is the starting point of strategic intent?,Objectives,Goals,Mission,Vision,D,No explanation
Question 22,Corporate level strategy deals with:,objectives of specific functions,objective of Single strategic Business Unit,objectives of the corporate,objectives of specific operations,C,No explanation
Question 23,From the following activity which does not comes under the primary activities of value Chain analysis:,Operations,Technology development,Marketing and sales,Services,B,No explanation
Question 24,Which of the following can be identified as a best statement that represents a firms big picture statements describing a desired end state general in scope and not restrictive?,Corporate philosophy statement,Company creed,Vision statement,Mission statement,C,No explanation
Question 25,One of the top level manager of a large manufacturing plant uses to spend her day trying to ensure that the material waste is not more than 10%  she spends her day performing the management process of:,Planning,Organizing,Leading,Controlling,D,No explanation
Question 26,All of the following are key opportunities and threats in external environment because of political government and legal forces except:,Tax rate,Social security program,Cross boarder relationship,Patent law,B,No explanation
Question 27,Internal audit is done:,Before external audit,After external audit,Parallel to external audit,Vertical to external audit,C,No explanation
Question 28,Bargaining power of customers is high if:,Differentiation of competitors product is low,Switching costs are low for substitute products,The buyer has little information about the market,The buyer requires a high quality product for own production,A,No explanation
Question 29,The magnitude and changes that may affect an organization is survival owing to all of the following except:,Merger-mania,Demographics,E-commerce,Dubious firms,D,No explanation
Question 30,Which of the following requires a firm to establish annual objectives devise policies motivates employees and allocate resources for the execution of strategies?,Strategy formulation,Strategy evaluation,Strategy implementation,Strategy estimation,C,No explanation
Question 31,Which type of trend can be exemplified by the increasing numbers of two income households in a society?,Solid,Economic,Cultural,Technological,B,No explanation
Question 32,The primary benefit brought from restructuring is:,employee involvement,cost reduction,increased morale,increased number and organizational hierarchy,B,No explanation
Question 33,Technological advancements can create which of the following advantage besides many other existing powerful advantages for the businesses?,Economic,Social,Environmental,Competitive,D,No explanation
Question 34,Which strategies aim at improving internal weakness by taking advantage of external opportunities?,SO,WO,SW,ST,B,No explanation
Question 35,the sketch of the BCG matrix what is the label of the horizontal axis?,Industry growth rate,Market share,Market growth rate,Business strength,B,No explanation
Question 36,the sketch of the BCG matrix what is the label of the vertical axis?,Market growth rate,Business strength,Market share,Industry growth rate,D,No explanation
