Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Investment is the _______________.,net additions made to the nation‰Ûªs capital stocks,person‰Ûªs commitment to buy a flat or house,employment of funds on assets to earn returns,employment of funds on goods and services that are used in production process,C,No explanation
Question 2,Financial Management is mainly concerned with ______________.,All aspects of acquiring and utilizing financial resources for firms activities,Arrangement of funds,Efficient Management of every business,Profit maximization,A,No explanation
Question 3,The primary goal of the financial management is ____________.,to maximize the return,to minimize the risk,to maximize the wealth of owners,to maximize profit,D,No explanation
Question 4,In his traditional role the finance manager is responsible for ___________.,proper utilisation of funds,arrangement of financial resources,acquiring capital assets of the organization,Efficient management of capital,D,No explanation
Question 5,Market value of the shares are decided by ____________.,the respective companies,the investment market,the government,shareholders,B,No explanation
Question 6,Which one of the following is not a money market securities?,Treasury bills,National savings certificate,Certificate of deposit,Commercial paper,B,No explanation
Question 7,Capital budgeting is related to ________.,long terms assets,short term assets,long terms and short terms assets,fixed assets,A,No explanation
Question 8,The expansion of CAPM is ____________.,Capital amount pricing model.,Capital asset pricing model.,Capital asset printing model.,Capital amount printing model.,B,No explanation
Question 9,Working capital management is managing ____________.,short term assets and liabilities,long term assets,long terms liabilities,only short term assets,A,No explanation
Question 10,The company‰Ûªs average cost of capital is ____________.,the average cost of equity shares and debentures,the average cost of equity preference shares,the average cost of shares and all sources of long-term funds,the average cost of short term funds,C,No explanation
Question 11,The underwriter has to take up ________________.,the fixed portions of the issue capital,the unsubscribed part of the agreed portion,the agreed portion or can refuse if,the unfixed portions of the issue capital,B,No explanation
Question 12,Future value interest factor takes ____________.,Compounding rate,Discounting rate,Inflation rate,Deflation rate,A,No explanation
Question 13,Financial leverage measures ____________.,sensitivity of EBIT with respect of % change with respect to output,% variation in the level of production,sensitivity of EPS with respect to % change in level of EBIT,no change with EBIT and EPS,C,The Financial Leverage (FL) measures the relationship between the EBIT and the EPS and it reflects the effect of change in EBIT on the level of EPS. The FL measures the responsiveness of the EPS to a change in EBIT and is defined as the % change in EPS divided by the % change in EBIT. Symbolically = Increase in EPSüEPS/Increase in EBITüEBIT
Question 14,___________ are financial assets.,Bonds,Machines,Stocks,A and C,D,No explanation
Question 15,Present value takes _________.,Discounting rate,Compounding rate,Inflation rate,Deflation rate,A,No explanation
Question 16,Operating leverage measures ____________.,business risk,financial risk,both risks,production risk,A,Operating leverage measures a company fixed costs as a percentage of its total costs. It is used to evaluate the break-even point of a business as well as the likely profit levels on individual sales.
Question 17,An example of a derivative security is ______.,a common share of General Motors,a call option on Mobil stock,a commodity futures contract,B and C,D,No explanation
Question 18,Financial leverage helps one to estimate ____________.,business risk,financial risk,both risks,production risk,B,No explanation
Question 19,Traditional approach confines finance function only to _________ funds,raising,mobilizing,utilizing,financing,A, The traditional approach to the finance function relates to the initial stages of its evolution during 1920s and 1930s. According to this approach the scope of finance function was confined to only procurement of funds needed by a business on most suitable terms.The utilisation of funds was considered beyond the purview of finance function. It was felt that decisions regarding the application of funds are taken somewhere else in the organisation. However institutions and instruments for raising funds were considered to be a part of finance function.
Question 20,Operating leverage x financial leverage= _____.,Combined Leverage,Financial Combined Leverage,Operating Combined Leverage,Fixed leverage,C, The Combined Leverage (CL) is not a distinct type of leverage analysis rather it is a product of the Operating Leverage and the Financial Leverage. The CL may be defined as the % change in EPS for a given % change in the sales level and may be calculated as follows: Combined Leverage = Operating Leverage x Financial Leverage = % Change in EPS / % Change in sales
Question 21,Most investors are risk averse which means____________.,they will assume more risk only if they are compensated by higher expected return,they will always invest in the investment with the lowest possible risk,they will always invest in the investment with the lowest possible risk,they avoid the stock market due to the high degree of risk,D,No explanation
